pl_name,hostname,pl_orbsmax,obs_geometry,C/O,e_C/O,E_C/O,C_O_star,sigma_star,CCR,sigma_CCR,h_universal_class,is_direct,is_capture
51 Eri b,51 Eri,13.2,Direct,0.38,0.09,0.09,0.54,0.06,0.1526101632061583,0.1136158372960107,GRAY_ZONE,True,False
AB Pic b,AB Pic,260.0,Direct,0.59,0.01,0.01,0.52,0.09,0.054848668007345,0.0755259145088023,CAPTURE,True,True
AF Lep b,AF Lep,7.99,Direct,0.5,0.1,0.1,0.53,0.06,0.0253058652647702,0.0998083449437673,CAPTURE,True,True
DH Tau b,DH Tau,330.0,Direct,0.54,0.05,0.06,0.52,0.08,0.0163904161881693,0.0801299079526704,CAPTURE,True,True
GJ 3470 b,GJ 3470,0.03557,Transit,0.35,0.1,0.1,0.49,0.09,0.146128035678238,0.1475122596677204,GRAY_ZONE,False,False
GQ Lup b,GQ Lup,100.0,Direct,0.5,0.01,0.01,0.51,0.08,0.0086001717619175,0.0686761178093811,CAPTURE,True,True
HAT-P-14 b,HAT-P-14,0.0606,Transit,0.41,0.2,0.24,0.53,0.06,0.1114920128810535,0.2381660024290071,GRAY_ZONE,False,False
HD 149026 b,HD 149026,0.0432,Eclipse,0.84,0.03,0.03,0.58,0.06,0.1608512924989443,0.047529073777436,GRAY_ZONE,False,False
HD 189733 b,HD 189733,0.0312,Eclipse,0.43,0.05,0.06,0.49,0.06,0.0567276244489271,0.0769007230708295,CAPTURE,False,True
HD 189733 b,HD 189733,0.0312,Transit,0.41,0.12,0.13,0.49,0.06,0.0774122233087782,0.1426869726795458,CAPTURE,False,True
HD 209458 b,HD 209458,0.04707,Transit,0.08,0.05,0.09,0.54,0.05,0.829303772831025,0.3821293914665914,DISK,False,False
HD 80606 b,HD 80606,0.4564,Eclipse,0.69,0.14,0.14,0.54,0.07,0.1064553309142867,0.1045664080501805,GRAY_ZONE,False,False
HR 8799 b,HR 8799,67.96,Direct,0.78,0.04,0.03,0.54,0.06,0.1597008428675118,0.0520413774514332,GRAY_ZONE,True,False
HR 8799 c,HR 8799,38.0,Direct,0.66,0.01,0.01,0.54,0.06,0.0871501757189001,0.0487015272546053,CAPTURE,True,True
HR 8799 d,HR 8799,24.0,Direct,0.6,0.06,0.04,0.54,0.06,0.045757490560675,0.0603186780421183,CAPTURE,True,True
HR 8799 e,HR 8799,14.5,Direct,0.6,0.07,0.08,0.54,0.06,0.045757490560675,0.0726333066511889,CAPTURE,True,True
KELT-20 b,KELT-20,0.0542,Transit,0.1,0.1,0.4,0.55,0.06,0.7403626894942439,1.0867694058053254,DISK,False,False
KELT-7 b,KELT-7,0.04415,Transit,0.59,0.16,0.16,0.56,0.06,0.0226639846359436,0.1266336561327477,CAPTURE,False,True
