element,n_multi,n_match,sigma_multi,sigma_match,ratio,p_levene,pass_pre_reg
FE_H,255,2521,0.17428280531061466,0.21798643403794976,0.7995121626709732,0.001561423722767283,True
MG_FE,255,2521,0.07291469750595335,0.08787066544080409,0.829795667759838,0.007476307521167729,False
SI_FE,255,2521,0.05293209409798161,0.06235729526638203,0.8488516679862842,0.013369938316389758,False
CA_FE,255,2520,0.050134536067971865,0.06941870597509646,0.7222049930743066,0.0023293423703067383,True
AL_FE,255,2509,0.09144587275056358,0.09564500978567572,0.9560966427362839,0.25223522033797374,False
TI_FE,243,2425,0.2010146316843317,0.20694242007239658,0.9713553732193182,0.7944914355840631,False
MN_FE,255,2519,0.061463606622730683,0.0811797624863738,0.7571296680382316,0.0003310534249725578,True
NI_FE,255,2521,0.04271680354568628,0.046926402084840724,0.9102936012110264,0.21736555437367552,False
C_FE,255,2520,0.07232289155229876,0.08328073233744526,0.8684228575134713,0.012952050386332306,False
O_FE,254,2517,0.09776718839207098,0.11089041936461835,0.8816558630786946,0.06096843627510426,False
N_FE,245,2409,0.21058942382593315,0.22505628448835385,0.9357189216230515,0.5068948691108608,False
ALPHA_M,255,2521,0.04189095874630707,0.057782917514989,0.7249713331875373,7.386907685471047e-05,True
