element,n_multi,n_single,sigma_multi,sigma_single,ratio,p_levene
FE_H,255,541,0.17428280531061466,0.17109685544322265,1.0186207388741242,0.8013794429203585
MG_FE,255,541,0.07291469750595335,0.08025559695700067,0.9085309968477285,0.18207388466538693
SI_FE,255,541,0.05293209409798161,0.05312082666300809,0.9964471079069651,0.5090859548610903
CA_FE,255,541,0.050134536067971865,0.0600563887033549,0.8347910547137382,0.2928034569488039
AL_FE,255,540,0.09144587275056358,0.10140150809785269,0.9018196520540711,0.10345132275331105
TI_FE,243,524,0.2010146316843317,0.20110237106543685,0.9995637078735556,0.7212412411792695
MN_FE,255,541,0.061463606622730683,0.06679831366713755,0.9201371000024008,0.21951467987313858
NI_FE,255,541,0.04271680354568628,0.04049253330193402,1.0549303800571554,0.9385689908892852
C_FE,255,541,0.07232289155229876,0.07305129115072406,0.9900289291681044,0.3867866539096722
O_FE,254,541,0.09776718839207098,0.1044935767126094,0.9356286909477878,0.2393224460201187
N_FE,245,529,0.21058942382593315,0.21414014962640102,0.9834186825466283,0.9784579446611555
ALPHA_M,255,541,0.04189095874630707,0.049118193792561195,0.8528603255083727,0.08250402330216997
