element,n_single,n_match,sigma_single,sigma_match,ratio,p_levene
FE_H,541,5261,0.17109685544322265,0.21365876425643632,0.8007949312946028,3.305203604932668e-07
MG_FE,541,5260,0.08025559695700067,0.09417188947829638,0.8522245587468756,0.0017045610680025253
SI_FE,541,5261,0.05312082666300809,0.06419175630816565,0.8275334671946145,0.00171257523233453
CA_FE,541,5257,0.0600563887033549,0.06836969368799013,0.8784065784677406,0.0003133508097666031
AL_FE,540,5252,0.10140150809785269,0.09578910124497027,1.0585912883609723,0.28688269552870177
TI_FE,524,5048,0.20110237106543685,0.20635949889891234,0.97452442043363,0.8521578049877001
MN_FE,541,5260,0.06679831366713755,0.09001730445208858,0.7420608079048927,0.0002817784960509387
NI_FE,541,5260,0.04049253330193402,0.04901620697702259,0.8261049925979742,0.029772680472243497
C_FE,541,5257,0.07305129115072406,0.08522754563165326,0.8571324048969565,0.005218702595823668
O_FE,541,5253,0.1044935767126094,0.11205363429696406,0.9325317948695977,0.3077735635292509
N_FE,529,5135,0.21414014962640102,0.22190166092375566,0.9650227435655767,0.5324877756935433
ALPHA_M,541,5261,0.049118193792561195,0.06351019194301663,0.7733907313117807,8.843384467963984e-06
