MAIN RUN: 8000 simulations
  to do: 8000 simulations across 4 workers
    25/8000  elapsed=4s  rate=5.90/s  ETA=1351s
    50/8000  elapsed=8s  rate=6.05/s  ETA=1313s
    75/8000  elapsed=11s  rate=7.03/s  ETA=1127s
    100/8000  elapsed=15s  rate=6.81/s  ETA=1160s
    125/8000  elapsed=17s  rate=7.22/s  ETA=1091s
    150/8000  elapsed=22s  rate=6.96/s  ETA=1128s
    175/8000  elapsed=24s  rate=7.30/s  ETA=1073s
    200/8000  elapsed=28s  rate=7.14/s  ETA=1092s
    225/8000  elapsed=32s  rate=7.02/s  ETA=1108s
    250/8000  elapsed=34s  rate=7.29/s  ETA=1063s
    275/8000  elapsed=38s  rate=7.17/s  ETA=1077s
    300/8000  elapsed=41s  rate=7.35/s  ETA=1048s
    325/8000  elapsed=45s  rate=7.25/s  ETA=1058s
    350/8000  elapsed=48s  rate=7.33/s  ETA=1044s
    375/8000  elapsed=51s  rate=7.29/s  ETA=1046s
    400/8000  elapsed=54s  rate=7.35/s  ETA=1033s
    425/8000  elapsed=58s  rate=7.29/s  ETA=1039s
    450/8000  elapsed=62s  rate=7.31/s  ETA=1033s
    475/8000  elapsed=65s  rate=7.36/s  ETA=1023s
    500/8000  elapsed=68s  rate=7.36/s  ETA=1019s
    525/8000  elapsed=71s  rate=7.38/s  ETA=1013s
    550/8000  elapsed=75s  rate=7.38/s  ETA=1010s
    575/8000  elapsed=77s  rate=7.42/s  ETA=1000s
    600/8000  elapsed=81s  rate=7.41/s  ETA=999s
    625/8000  elapsed=85s  rate=7.38/s  ETA=999s
    650/8000  elapsed=88s  rate=7.41/s  ETA=992s
    675/8000  elapsed=91s  rate=7.44/s  ETA=985s
    700/8000  elapsed=94s  rate=7.44/s  ETA=981s
    725/8000  elapsed=98s  rate=7.40/s  ETA=983s
    750/8000  elapsed=101s  rate=7.44/s  ETA=974s
    775/8000  elapsed=104s  rate=7.44/s  ETA=972s
    800/8000  elapsed=107s  rate=7.45/s  ETA=966s
    825/8000  elapsed=111s  rate=7.45/s  ETA=964s
    850/8000  elapsed=114s  rate=7.46/s  ETA=959s
    875/8000  elapsed=117s  rate=7.47/s  ETA=954s
    900/8000  elapsed=121s  rate=7.45/s  ETA=952s
    925/8000  elapsed=124s  rate=7.46/s  ETA=948s
    950/8000  elapsed=128s  rate=7.44/s  ETA=947s
    975/8000  elapsed=130s  rate=7.48/s  ETA=939s
    1000/8000  elapsed=134s  rate=7.44/s  ETA=940s
    1025/8000  elapsed=138s  rate=7.45/s  ETA=937s
    1050/8000  elapsed=141s  rate=7.45/s  ETA=933s
    1075/8000  elapsed=144s  rate=7.47/s  ETA=927s
    1100/8000  elapsed=147s  rate=7.47/s  ETA=924s
    1125/8000  elapsed=151s  rate=7.45/s  ETA=923s
    1150/8000  elapsed=154s  rate=7.45/s  ETA=920s
    1175/8000  elapsed=157s  rate=7.46/s  ETA=914s
    1200/8000  elapsed=161s  rate=7.45/s  ETA=913s
    1225/8000  elapsed=164s  rate=7.46/s  ETA=908s
    1250/8000  elapsed=168s  rate=7.45/s  ETA=906s
    1275/8000  elapsed=170s  rate=7.48/s  ETA=899s
    1300/8000  elapsed=174s  rate=7.47/s  ETA=897s
    1325/8000  elapsed=178s  rate=7.44/s  ETA=897s
    1350/8000  elapsed=181s  rate=7.46/s  ETA=892s
    1375/8000  elapsed=184s  rate=7.45/s  ETA=889s
    1400/8000  elapsed=187s  rate=7.47/s  ETA=883s
    1425/8000  elapsed=191s  rate=7.47/s  ETA=880s
    1450/8000  elapsed=194s  rate=7.46/s  ETA=878s
    1475/8000  elapsed=197s  rate=7.49/s  ETA=872s
    1500/8000  elapsed=201s  rate=7.47/s  ETA=870s
    1525/8000  elapsed=204s  rate=7.49/s  ETA=865s
    1550/8000  elapsed=208s  rate=7.47/s  ETA=864s
    1575/8000  elapsed=210s  rate=7.50/s  ETA=857s
    1600/8000  elapsed=214s  rate=7.47/s  ETA=856s
    1625/8000  elapsed=218s  rate=7.45/s  ETA=855s
    1650/8000  elapsed=220s  rate=7.49/s  ETA=848s
    1675/8000  elapsed=224s  rate=7.47/s  ETA=847s
    1700/8000  elapsed=227s  rate=7.50/s  ETA=840s
    1725/8000  elapsed=231s  rate=7.48/s  ETA=839s
    1750/8000  elapsed=233s  rate=7.50/s  ETA=834s
    1775/8000  elapsed=237s  rate=7.49/s  ETA=831s
    1800/8000  elapsed=240s  rate=7.51/s  ETA=826s
    1825/8000  elapsed=244s  rate=7.49/s  ETA=825s
    1850/8000  elapsed=247s  rate=7.48/s  ETA=822s
    1875/8000  elapsed=250s  rate=7.50/s  ETA=816s
    1900/8000  elapsed=253s  rate=7.50/s  ETA=814s
    1925/8000  elapsed=256s  rate=7.51/s  ETA=809s
    1950/8000  elapsed=260s  rate=7.50/s  ETA=807s
    1975/8000  elapsed=263s  rate=7.51/s  ETA=802s
    2000/8000  elapsed=267s  rate=7.50/s  ETA=800s
    2025/8000  elapsed=270s  rate=7.49/s  ETA=797s
    2050/8000  elapsed=273s  rate=7.51/s  ETA=793s
    2075/8000  elapsed=277s  rate=7.50/s  ETA=790s
    2100/8000  elapsed=279s  rate=7.52/s  ETA=785s
    2125/8000  elapsed=283s  rate=7.50/s  ETA=783s
    2150/8000  elapsed=286s  rate=7.52/s  ETA=778s
    2175/8000  elapsed=290s  rate=7.51/s  ETA=776s
    2200/8000  elapsed=292s  rate=7.53/s  ETA=770s
    2225/8000  elapsed=296s  rate=7.51/s  ETA=769s
    2250/8000  elapsed=300s  rate=7.51/s  ETA=766s
    2275/8000  elapsed=303s  rate=7.52/s  ETA=762s
    2300/8000  elapsed=306s  rate=7.52/s  ETA=758s
    2325/8000  elapsed=309s  rate=7.52/s  ETA=755s
    2350/8000  elapsed=313s  rate=7.51/s  ETA=753s
    2375/8000  elapsed=316s  rate=7.52/s  ETA=748s
    2400/8000  elapsed=320s  rate=7.51/s  ETA=746s
    2425/8000  elapsed=323s  rate=7.52/s  ETA=742s
    2450/8000  elapsed=326s  rate=7.52/s  ETA=738s
    2475/8000  elapsed=329s  rate=7.52/s  ETA=734s
    2500/8000  elapsed=332s  rate=7.53/s  ETA=730s
    2525/8000  elapsed=336s  rate=7.51/s  ETA=729s
    2550/8000  elapsed=339s  rate=7.52/s  ETA=725s
    2575/8000  elapsed=342s  rate=7.52/s  ETA=722s
    2600/8000  elapsed=346s  rate=7.52/s  ETA=718s
    2625/8000  elapsed=349s  rate=7.52/s  ETA=715s
    2650/8000  elapsed=352s  rate=7.53/s  ETA=711s
    2675/8000  elapsed=355s  rate=7.53/s  ETA=707s
    2700/8000  elapsed=358s  rate=7.54/s  ETA=703s
    2725/8000  elapsed=362s  rate=7.52/s  ETA=702s
    2750/8000  elapsed=366s  rate=7.52/s  ETA=698s
    2775/8000  elapsed=369s  rate=7.53/s  ETA=694s
    2800/8000  elapsed=372s  rate=7.53/s  ETA=691s
    2825/8000  elapsed=375s  rate=7.53/s  ETA=687s
    2850/8000  elapsed=379s  rate=7.53/s  ETA=684s
    2875/8000  elapsed=381s  rate=7.54/s  ETA=680s
    2900/8000  elapsed=385s  rate=7.54/s  ETA=677s
    2925/8000  elapsed=389s  rate=7.52/s  ETA=674s
    2950/8000  elapsed=391s  rate=7.54/s  ETA=670s
    2975/8000  elapsed=395s  rate=7.53/s  ETA=667s
    3000/8000  elapsed=397s  rate=7.55/s  ETA=662s
    3025/8000  elapsed=402s  rate=7.53/s  ETA=660s
    3050/8000  elapsed=404s  rate=7.55/s  ETA=656s
    3075/8000  elapsed=408s  rate=7.54/s  ETA=653s
    3100/8000  elapsed=410s  rate=7.56/s  ETA=648s
    3125/8000  elapsed=414s  rate=7.54/s  ETA=646s
    3150/8000  elapsed=418s  rate=7.54/s  ETA=643s
    3175/8000  elapsed=421s  rate=7.55/s  ETA=639s
    3200/8000  elapsed=424s  rate=7.54/s  ETA=636s
    3225/8000  elapsed=427s  rate=7.56/s  ETA=632s
    3250/8000  elapsed=430s  rate=7.55/s  ETA=629s
    3275/8000  elapsed=433s  rate=7.56/s  ETA=625s
    3300/8000  elapsed=437s  rate=7.56/s  ETA=622s
    3325/8000  elapsed=441s  rate=7.54/s  ETA=620s
    3350/8000  elapsed=443s  rate=7.56/s  ETA=615s
    3375/8000  elapsed=447s  rate=7.55/s  ETA=613s
    3400/8000  elapsed=450s  rate=7.56/s  ETA=608s
    3425/8000  elapsed=454s  rate=7.55/s  ETA=606s
    3450/8000  elapsed=456s  rate=7.57/s  ETA=601s
    3475/8000  elapsed=459s  rate=7.56/s  ETA=598s
    3500/8000  elapsed=462s  rate=7.57/s  ETA=594s
    3525/8000  elapsed=466s  rate=7.57/s  ETA=592s
    3550/8000  elapsed=469s  rate=7.56/s  ETA=588s
    3575/8000  elapsed=472s  rate=7.57/s  ETA=584s
    3600/8000  elapsed=475s  rate=7.57/s  ETA=581s
    3625/8000  elapsed=479s  rate=7.57/s  ETA=578s
    3650/8000  elapsed=482s  rate=7.57/s  ETA=575s
    3675/8000  elapsed=485s  rate=7.58/s  ETA=571s
    3700/8000  elapsed=488s  rate=7.57/s  ETA=568s
    3725/8000  elapsed=492s  rate=7.57/s  ETA=564s
    3750/8000  elapsed=495s  rate=7.57/s  ETA=561s
    3775/8000  elapsed=498s  rate=7.58/s  ETA=558s
    3800/8000  elapsed=501s  rate=7.58/s  ETA=554s
    3825/8000  elapsed=505s  rate=7.57/s  ETA=552s
    3850/8000  elapsed=508s  rate=7.57/s  ETA=548s
    3875/8000  elapsed=512s  rate=7.57/s  ETA=545s
    3900/8000  elapsed=514s  rate=7.58/s  ETA=541s
    3925/8000  elapsed=518s  rate=7.58/s  ETA=538s
    3950/8000  elapsed=522s  rate=7.57/s  ETA=535s
    3975/8000  elapsed=524s  rate=7.58/s  ETA=531s
    4000/8000  elapsed=528s  rate=7.58/s  ETA=528s
    4025/8000  elapsed=531s  rate=7.58/s  ETA=525s
    4050/8000  elapsed=534s  rate=7.58/s  ETA=521s
    4075/8000  elapsed=537s  rate=7.58/s  ETA=518s
    4100/8000  elapsed=540s  rate=7.59/s  ETA=514s
    4125/8000  elapsed=544s  rate=7.58/s  ETA=511s
    4150/8000  elapsed=547s  rate=7.58/s  ETA=508s
    4175/8000  elapsed=551s  rate=7.58/s  ETA=505s
    4200/8000  elapsed=554s  rate=7.59/s  ETA=501s
    4225/8000  elapsed=557s  rate=7.58/s  ETA=498s
    4250/8000  elapsed=560s  rate=7.58/s  ETA=494s
    4275/8000  elapsed=563s  rate=7.59/s  ETA=491s
    4300/8000  elapsed=567s  rate=7.59/s  ETA=488s
    4325/8000  elapsed=570s  rate=7.59/s  ETA=484s
    4350/8000  elapsed=574s  rate=7.58/s  ETA=481s
    4375/8000  elapsed=576s  rate=7.60/s  ETA=477s
    4400/8000  elapsed=580s  rate=7.59/s  ETA=474s
    4425/8000  elapsed=583s  rate=7.58/s  ETA=471s
    4450/8000  elapsed=586s  rate=7.59/s  ETA=467s
    4475/8000  elapsed=589s  rate=7.59/s  ETA=464s
    4500/8000  elapsed=592s  rate=7.60/s  ETA=460s
    4525/8000  elapsed=596s  rate=7.59/s  ETA=458s
    4550/8000  elapsed=599s  rate=7.60/s  ETA=454s
    4575/8000  elapsed=602s  rate=7.60/s  ETA=451s
    4600/8000  elapsed=605s  rate=7.60/s  ETA=447s
    4625/8000  elapsed=609s  rate=7.60/s  ETA=444s
    4650/8000  elapsed=612s  rate=7.59/s  ETA=441s
    4675/8000  elapsed=615s  rate=7.60/s  ETA=437s
    4700/8000  elapsed=619s  rate=7.60/s  ETA=434s
    4725/8000  elapsed=621s  rate=7.60/s  ETA=431s
    4750/8000  elapsed=625s  rate=7.60/s  ETA=428s
    4775/8000  elapsed=628s  rate=7.61/s  ETA=424s
    4800/8000  elapsed=631s  rate=7.60/s  ETA=421s
    4825/8000  elapsed=635s  rate=7.59/s  ETA=418s
    4850/8000  elapsed=638s  rate=7.60/s  ETA=414s
    4875/8000  elapsed=642s  rate=7.60/s  ETA=411s
    4900/8000  elapsed=644s  rate=7.61/s  ETA=407s
    4925/8000  elapsed=648s  rate=7.60/s  ETA=405s
