i,j,d_chem,d_act,d_age,d_total,name_i,name_j,hab_i,hab_j
14,15,0.7354850695669526,0.8527591262691833,0.1862820851541288,1.7745262809902647,HD 271200,BD-08  6091,0.9913680789520726,0.9911042011418684
20,22,1.6476462091501518,0.5196140207095035,0.33137425965883915,2.4986344895184947,TYC 8351-2149-1,HD  13684A,0.9902110765948476,0.9899241898742775
9,10,1.5123129464748437,0.9161801703875638,0.17580736664419042,2.6043004835065977,TYC 9263-701-1,HD 217340,0.992456910945104,0.9923914331934592
19,26,1.6125419699668249,0.6052969462328892,0.43800776931365687,2.655846685513371,TYC 5248-636-1,TYC 5606-566-1,0.9902150085743344,0.9889979972384932
13,15,2.0748631599669527,0.34373558648048397,0.3244476623519085,2.743046408799345,TYC 8351-1776-1,BD-08  6091,0.991384927374343,0.9911042011418684
14,29,2.000973397345439,0.22795049641387852,0.5449662238803568,2.7738901176396737,HD 271200,HD 180950,0.9913680789520726,0.9881504576735348
2,6,1.8806163318877236,0.6667224648726597,0.3597148233686043,2.9070536201289876,TYC 7413-1369-1,HD 271308,0.9948926865069556,0.9935994695920594
10,25,1.7486522431027942,1.2124827761628283,0.009316860486869843,2.9704518797524924,HD 217340,TYC 9271-1853-1,0.9923914331934592,0.9893123538849355
0,17,1.5045026797273657,0.955875747294214,0.5585522576849689,3.0189306847065485,BD-03  3321,HD 183193,0.9969227583789892,0.9910268582282452
13,19,1.127288761321753,1.9457159195176021,0.004960406578956078,3.077965087418311,TYC 8351-1776-1,TYC 5248-636-1,0.991384927374343,0.9902150085743344
0,5,1.8384551892620868,0.7622803565528242,0.4882595489565932,3.088995094771504,BD-03  3321,TYC 6897-1616-1,0.9969227583789892,0.9939321090920874
2,25,1.7955683110430234,0.2286284920331083,1.1049988667553956,3.1291956698315273,TYC 7413-1369-1,TYC 9271-1853-1,0.9948926865069556,0.9893123538849355
8,10,1.262552654434418,0.49193061730132,1.4179166261402056,3.172399897875944,CD-60  1593,HD 217340,0.9934140821873566,0.9923914331934592
13,26,1.1947418096297764,1.583090652841924,0.44296817589261295,3.220800638364313,TYC 8351-1776-1,TYC 5606-566-1,0.991384927374343,0.9889979972384932
1,8,1.6008186444014771,1.454774028733606,0.21173344373220337,3.2673261168672862,CD-30  7056,CD-60  1593,0.9953865433639338,0.9934140821873566
11,21,1.5801307604599752,1.045919251221081,0.6856267526113826,3.311676764292439,CPD-63   349,TYC 5232-208-1,0.9921674773952948,0.9901450005093488
13,14,2.290062480216727,0.5546175095961559,0.5107297475060373,3.3554097373189204,TYC 8351-1776-1,HD 271200,0.991384927374343,0.9913680789520726
21,26,2.5097574629210877,0.6754340379975661,0.17844061318457705,3.363632114103231,TYC 5232-208-1,TYC 5606-566-1,0.9901450005093488,0.9889979972384932
9,25,2.6905822428552217,0.5250869579581539,0.16649050615732058,3.3821597069706963,TYC 9263-701-1,TYC 9271-1853-1,0.992456910945104,0.9893123538849355
15,26,2.00629505672447,1.2598499273245185,0.11852051354070448,3.384665497589693,BD-08  6091,TYC 5606-566-1,0.9911042011418684,0.9889979972384932
2,21,1.9850117798716642,1.1928622986118564,0.2093380226965197,3.3872121011800402,TYC 7413-1369-1,TYC 5232-208-1,0.9948926865069556,0.9901450005093488
7,16,2.0923612501960926,0.6936051978603016,0.6045396189084268,3.390506066964821,TYC 7915-779-1,HD 122625,0.9934194074914954,0.9910369520989836
11,25,1.8272695817478697,1.4034230203735787,0.21003409144749335,3.4407266935689416,CPD-63   349,TYC 9271-1853-1,0.9921674773952948,0.9893123538849355
13,29,2.7429237543993983,0.6713747301751367,0.034236476374319424,3.4485349609488543,TYC 8351-1776-1,HD 180950,0.991384927374343,0.9881504576735348
1,16,1.8397382707930139,1.6104626845909171,0.02488012605440848,3.475081081438339,CD-30  7056,HD 122625,0.9953865433639338,0.9910369520989836
8,17,1.6652091510915161,1.3479145388683145,0.46294978963699496,3.4760734795968258,CD-60  1593,HD 183193,0.9934140821873566,0.9910268582282452
8,16,2.0618175793707767,1.2354291403352775,0.1868533176777949,3.484100037383849,CD-60  1593,HD 122625,0.9934140821873566,0.9910369520989836
7,29,1.897419766586307,0.7117753799432517,0.8758561286482203,3.485051275177779,TYC 7915-779-1,HD 180950,0.9934194074914954,0.9881504576735348
7,25,2.048650887791478,0.8039497610630081,0.6358405500408537,3.4884411988953397,TYC 7915-779-1,TYC 9271-1853-1,0.9934194074914954,0.9893123538849355
15,25,1.4467861836459657,1.488609914038037,0.5986997173335945,3.5340958150175976,BD-08  6091,TYC 9271-1853-1,0.9911042011418684,0.9893123538849355
7,8,1.6989543236911708,1.0500412012340015,0.7913929365862217,3.540388461511394,TYC 7915-779-1,CD-60  1593,0.9934194074914954,0.9934140821873566
2,3,2.082897027557401,0.7635375837523084,0.7507514510670997,3.597186062376809,TYC 7413-1369-1,TYC 1071-934-1,0.9948926865069556,0.9944493696993356
16,29,1.3564897963536833,0.7808929721104385,1.4803957475566472,3.6177785160207687,HD 122625,HD 180950,0.9910369520989836,0.9881504576735348
7,9,2.3158106960881644,0.5229049814301922,0.8023310561981744,3.641046733716531,TYC 7915-779-1,TYC 9263-701-1,0.9934194074914954,0.992456910945104
