name,gaia,n_ffi,n_ts_total,n_hlsp,hlsp_providers
BD-03  3321,3680522166465341056,2,7,6,QLP(2)|EVEREST(1)|K2SC(1)|K2SFF(1)|TESS-SPOC(1)
CD-30  7056,5629444975252369024,5,13,13,QLP(5)|TESS-SPOC(3)|GSFC-ELEANOR-LITE(1)|T16(1)|TARS(1)|TGLC(1)|TEQUILA(1)
TYC 1071-934-1,4299049512104000128,2,2,2,QLP(1)|TESS-SPOC(1)
TYC 6897-1616-1,6765392391143702400,1,1,1,QLP(1)
TYC 5606-1113-1,6266047329961009408,1,4,3,EVEREST(1)|K2SFF(1)|QLP(1)
HD 271200,4660544333766391424,44,125,125,QLP(41)|TESS-SPOC(32)|GSFC-ELEANOR-LITE(12)|TARS(10)|TGLC(10)|TEQUILA(8)|T16(7)|TASOC(5)
HD 122625,6300979810806953216,1,6,4,EVEREST(1)|K2SC(1)|K2SFF(1)|QLP(1)
TYC 5232-208-1,2621655046865027712,2,10,7,QLP(2)|EVEREST(1)|K2SC(1)|K2SFF(1)|K2VARCAT(1)|TESS-SPOC(1)
TYC 5606-566-1,6308062830354023808,1,1,1,QLP(1)
HD 180950,4186063147481113472,3,5,5,QLP(3)|TESS-SPOC(2)
TYC 6883-1588-1,6768942714192339584,1,1,1,QLP(1)
BD+20  2167,664430104958271616,5,20,17,QLP(4)|TESS-SPOC(4)|CDIPS(3)|EVEREST(2)|K2SFF(2)|K2SC(1)|PSFK2(1)
