pl_name,hostname,pl_orbsmax,obs_geometry,C/O,e_C/O,E_C/O,C_O_star,sigma_star,CCR,sigma_CCR,h_universal_class
WASP-178 b,WASP-178,0.0545,Transit,0.01,0.01,0.01,0.56,0.06,1.7481880270062005,0.43678013039622243,DISK
HD 189733 b,HD 189733,0.0312,Transit,0.2,0.2,0.0,0.49,0.06,0.3891660843645325,0.22356413257931845,DISK
HD 209458 b,HD 209458,0.04707,Transit,0.08,0.05,0.09,0.54,0.05,0.829303772831025,0.3821293914665914,DISK
HD 149026 b,HD 149026,0.0432,Eclipse,0.84,0.03,0.03,0.58,0.06,0.16085129249894436,0.047529073777436016,GRAY_ZONE
HD 149026 b,HD 149026,0.0432,Eclipse,0.67,0.27,0.06,0.58,0.06,0.06264680913788923,0.1160060615005634,CAPTURE
WASP-18 b,WASP-18,0.02026,Eclipse,0.6,0.6,0.0,0.53,0.07,0.05387538078285457,0.22459531058118049,CAPTURE
WASP-18 b,WASP-18,0.02026,Eclipse,0.34,0.34,0.0,0.53,0.07,0.19279695255853393,0.22459531058118049,GRAY_ZONE
WASP-77 A b,WASP-77 A,0.023233633,Eclipse,0.59,0.08,0.08,0.49,0.06,0.08065593161363054,0.07934558283291239,CAPTURE
WASP-77 A b,WASP-77 A,0.023233633,Eclipse,0.59,0.08,0.08,0.49,0.06,0.08065593161363054,0.07934558283291239,CAPTURE
WASP-77 A b,WASP-77 A,0.023233633,Eclipse,0.36,0.09,0.1,0.49,0.06,0.1338935792612264,0.1263424515629743,GRAY_ZONE
WASP-121 b,WASP-121,0.025,Eclipse,0.7,0.1,0.07,0.52,0.06,0.12909469637945764,0.07274725219107185,GRAY_ZONE
WASP-121 b,WASP-121,0.025,Eclipse,0.87,0.06,0.04,0.52,0.06,0.22351590898381932,0.05598282565407502,GRAY_ZONE
WASP-121 b,WASP-121,0.025,Eclipse,0.92,0.03,0.02,0.52,0.06,0.2477844837107561,0.051481816369277095,GRAY_ZONE
WASP-121 b,WASP-121,0.025,Transit,0.98,0.006,0.004,0.52,0.06,0.2752227320576957,0.0501598663498438,GRAY_ZONE
HD 80606 b,HD 80606,0.4564,Eclipse,0.69,0.14,0.14,0.54,0.07,0.10645533091428677,0.10456640805018053,GRAY_ZONE
WASP-127 b,WASP-127,0.0484,Eclipse,0.68,0.68,0.0,0.51,0.06,0.1249387366083,0.22307726637220418,GRAY_ZONE
WASP-80 b,WASP-80,0.03479,Eclipse,0.48,0.07,0.06,0.5,0.08,0.017728766960431602,0.09103383537198723,CAPTURE
GJ 3470 b,GJ 3470,0.03557,Transit,0.35,0.1,0.1,0.49,0.09,0.146128035678238,0.14751225966772044,GRAY_ZONE
WASP-107 b,WASP-107,0.055,Transit,0.51,0.21,0.27,0.54,0.06,0.024823583725032152,0.20999338031554562,CAPTURE
WASP-107 b,WASP-107,0.055,Transit,0.33,0.05,0.06,0.54,0.06,0.21387981994508107,0.08699283461962454,GRAY_ZONE
WASP-76 b,WASP-76,0.03304,Eclipse,0.59,0.14,0.13,0.56,0.06,0.022663984635943695,0.10972726341087675,CAPTURE
WASP-69 b,WASP-69,0.04525,Eclipse,0.75,0.1,0.19,0.51,0.07,0.16749108729376364,0.10297147433192227,GRAY_ZONE
GQ Lup b,GQ Lup,100.0,Direct,0.7,0.02,0.01,0.51,0.08,0.1375278639163204,0.06875734062961164,GRAY_ZONE
kap And b,kap And,55.0,Direct,0.58,0.04,0.05,0.52,0.08,0.04742464992813805,0.07483015987662338,CAPTURE
ROXs 42B b,ROXs 42B,157.0,Direct,0.48,0.08,0.08,0.52,0.08,0.03476210625921197,0.09850581700421474,CAPTURE
DH Tau b,DH Tau,330.0,Direct,0.54,0.05,0.06,0.52,0.08,0.016390416188169384,0.08012990795267043,CAPTURE
ROXs 12 b,ROXs 12,210.0,Direct,0.54,0.05,0.05,0.51,0.08,0.024823583725032145,0.07910755827778973,CAPTURE
HR 8799 e,HR 8799,14.5,Direct,0.6,0.07,0.08,0.54,0.06,0.04575749056067506,0.07263330665118897,CAPTURE
HR 8799 b,HR 8799,67.96,Direct,0.78,0.04,0.03,0.54,0.06,0.15970084286751188,0.05204137745143322,GRAY_ZONE
HR 8799 c,HR 8799,38.0,Direct,0.66,0.01,0.01,0.54,0.06,0.08715017571890012,0.04870152725460536,CAPTURE
HR 8799 d,HR 8799,24.0,Direct,0.6,0.06,0.04,0.54,0.06,0.04575749056067506,0.0603186780421183,CAPTURE
HR 8799 e,HR 8799,14.5,Direct,0.88,0.02,0.02,0.54,0.06,0.2120889123272001,0.04925406446676179,GRAY_ZONE
AF Lep b,AF Lep,7.99,Direct,0.7,0.12,0.09,0.53,0.06,0.12082217041346777,0.08161495587642498,GRAY_ZONE
AF Lep b,AF Lep,7.99,Direct,0.5,0.1,0.1,0.53,0.06,0.025305865264770286,0.0998083449437673,CAPTURE
AF Lep b,AF Lep,7.99,Direct,0.55,0.1,0.1,0.53,0.06,0.016086819893454795,0.0930179297867944,CAPTURE
