pl_name,hostname,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,gaia_dr3_id
Kepler-6 b,Kepler-6,0.04448,0.0019,-0.00084,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.04852,0.00074,-0.00133,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.045,,,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.0435,,,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.0435,,,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.04408,0.00044,-0.00044,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.0435,,,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.04438,0.00198,-0.00097,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.04567,0.00055,-0.00046,Gaia DR3 2086636884980514304
Kepler-6 b,Kepler-6,0.0435,,,Gaia DR3 2086636884980514304
Kepler-491 b,Kepler-491,0.05191,0.00051,-0.00051,Gaia DR3 2102468134431912064
Kepler-491 b,Kepler-491,0.0524,,,Gaia DR3 2102468134431912064
Kepler-491 b,Kepler-491,0.0516,,,Gaia DR3 2102468134431912064
Kepler-491 b,Kepler-491,0.0524,,,Gaia DR3 2102468134431912064
Kepler-491 b,Kepler-491,0.052,,,Gaia DR3 2102468134431912064
Kepler-491 b,Kepler-491,0.0524,,,Gaia DR3 2102468134431912064
Kepler-257 b,Kepler-257,0.0333,,,Gaia DR3 2080246282881778048
Kepler-257 b,Kepler-257,0.03391,0.00021,-0.00021,Gaia DR3 2080246282881778048
Kepler-257 b,Kepler-257,0.0333,,,Gaia DR3 2080246282881778048
Kepler-257 b,Kepler-257,0.034,,,Gaia DR3 2080246282881778048
Kepler-257 b,Kepler-257,0.032,,,Gaia DR3 2080246282881778048
Kepler-257 b,Kepler-257,0.0333,,,Gaia DR3 2080246282881778048
Kepler-257 b,Kepler-257,0.0333,,,Gaia DR3 2080246282881778048
Kepler-216 b,Kepler-216,0.0785,,,Gaia DR3 2128067720065692672
Kepler-216 b,Kepler-216,0.0785,,,Gaia DR3 2128067720065692672
Kepler-216 b,Kepler-216,0.0767,,,Gaia DR3 2128067720065692672
Kepler-216 b,Kepler-216,0.079,,,Gaia DR3 2128067720065692672
Kepler-216 b,Kepler-216,0.0794,0.00105,-0.00105,Gaia DR3 2128067720065692672
Kepler-216 b,Kepler-216,0.079,,,Gaia DR3 2128067720065692672
Kepler-216 b,Kepler-216,0.0785,,,Gaia DR3 2128067720065692672
Kepler-32 c,Kepler-32,0.06699,0.00268,-0.00268,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.067,0.001,-0.001,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.0669,,,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.0664,,,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.09,,,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.0669,,,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.0669,,,Gaia DR3 2080287892525359872
Kepler-32 c,Kepler-32,0.068,,,Gaia DR3 2080287892525359872
Kepler-259 c,Kepler-259,0.2155,,,Gaia DR3 2130405041264941184
Kepler-259 c,Kepler-259,0.2155,,,Gaia DR3 2130405041264941184
Kepler-259 c,Kepler-259,0.217,,,Gaia DR3 2130405041264941184
Kepler-259 c,Kepler-259,0.218,,,Gaia DR3 2130405041264941184
Kepler-259 c,Kepler-259,0.2155,,,Gaia DR3 2130405041264941184
Kepler-259 c,Kepler-259,0.20699,0.00256,-0.00256,Gaia DR3 2130405041264941184
Kepler-259 c,Kepler-259,0.2155,,,Gaia DR3 2130405041264941184
Kepler-148 c,Kepler-148,0.049,,,Gaia DR3 2127828988601389440
Kepler-148 c,Kepler-148,0.05,,,Gaia DR3 2127828988601389440
Kepler-148 c,Kepler-148,0.049,,,Gaia DR3 2127828988601389440
Kepler-148 c,Kepler-148,0.049,,,Gaia DR3 2127828988601389440
Kepler-148 c,Kepler-148,0.047,,,Gaia DR3 2127828988601389440
Kepler-148 c,Kepler-148,0.0487,,,Gaia DR3 2127828988601389440
Kepler-222 d,Kepler-222,0.1777,,,Gaia DR3 2130460394803778816
Kepler-222 d,Kepler-222,0.17673,0.00095,-0.00095,Gaia DR3 2130460394803778816
Kepler-222 d,Kepler-222,0.1777,,,Gaia DR3 2130460394803778816
Kepler-222 d,Kepler-222,0.1777,,,Gaia DR3 2130460394803778816
Kepler-222 d,Kepler-222,0.18,,,Gaia DR3 2130460394803778816
Kepler-222 d,Kepler-222,0.1777,,,Gaia DR3 2130460394803778816
Kepler-222 d,Kepler-222,0.172,,,Gaia DR3 2130460394803778816
Kepler-29 c,Kepler-29,0.1087,,,Gaia DR3 2086435189017387264
Kepler-29 c,Kepler-29,0.1088,,,Gaia DR3 2086435189017387264
Kepler-29 c,Kepler-29,0.111,,,Gaia DR3 2086435189017387264
Kepler-29 c,Kepler-29,0.11,,,Gaia DR3 2086435189017387264
Kepler-29 c,Kepler-29,0.1088,,,Gaia DR3 2086435189017387264
Kepler-29 c,Kepler-29,0.10027,0.00113,-0.00113,Gaia DR3 2086435189017387264
Kepler-29 c,Kepler-29,0.1088,,,Gaia DR3 2086435189017387264
Kepler-179 b,Kepler-179,0.0361,,,Gaia DR3 2086468453545432960
Kepler-179 b,Kepler-179,0.036,,,Gaia DR3 2086468453545432960
Kepler-179 b,Kepler-179,0.03688,0.00025,-0.00025,Gaia DR3 2086468453545432960
Kepler-179 b,Kepler-179,0.0361,,,Gaia DR3 2086468453545432960
Kepler-179 b,Kepler-179,0.0362,,,Gaia DR3 2086468453545432960
Kepler-179 b,Kepler-179,0.036,,,Gaia DR3 2086468453545432960
Kepler-179 b,Kepler-179,0.0361,,,Gaia DR3 2086468453545432960
Kepler-165 c,Kepler-165,0.1095,0.00125,-0.00125,Gaia DR3 2119814820141727232
Kepler-165 c,Kepler-165,0.1088,,,Gaia DR3 2119814820141727232
Kepler-165 c,Kepler-165,0.1088,,,Gaia DR3 2119814820141727232
Kepler-165 c,Kepler-165,0.1088,,,Gaia DR3 2119814820141727232
Kepler-165 c,Kepler-165,0.11,,,Gaia DR3 2119814820141727232
Kepler-165 c,Kepler-165,0.112,,,Gaia DR3 2119814820141727232
Kepler-165 c,Kepler-165,0.1145,,,Gaia DR3 2119814820141727232
Kepler-228 c,Kepler-228,0.052,,,Gaia DR3 2086660283961964416
Kepler-228 c,Kepler-228,0.0514,,,Gaia DR3 2086660283961964416
Kepler-228 c,Kepler-228,0.051,,,Gaia DR3 2086660283961964416
Kepler-228 c,Kepler-228,0.0514,,,Gaia DR3 2086660283961964416
Kepler-228 c,Kepler-228,0.0514,,,Gaia DR3 2086660283961964416
Kepler-228 c,Kepler-228,0.05053,0.00057,-0.00057,Gaia DR3 2086660283961964416
Kepler-228 c,Kepler-228,0.0514,,,Gaia DR3 2086660283961964416
Kepler-20 c,Kepler-20,0.0919,,,Gaia DR3 2102548708017562112
Kepler-20 c,Kepler-20,0.093,,,Gaia DR3 2102548708017562112
Kepler-20 c,Kepler-20,0.0919,,,Gaia DR3 2102548708017562112
