name,P_d,pp_ppm,resid_sine,resid_two,resid_box,best_model,amp_ratio_2to1,n_sectors,Teff,R_star
CPD-63   349,190.486879475179,56.32638931274414,6.838361485670189e-09,6.757950629212642e-09,8.380407479080532e-09,sin+2nd,0.41829633583371284,39,5745.0,0.917616
HD 271308,34.2689733097235,79.15496826171875,1.2471951234069245e-08,1.2206543850657497e-08,1.295614637797371e-08,sin+2nd,1.03658911135417,9,6287.1,1.53966
2M16570811+5941317,15.799951998079925,306.24866485595703,2.4447180213425053e-07,2.4427572025413344e-07,2.462179047313384e-07,sin+2nd,0.3450204912737626,6,5847.015,1.154042096721425
2M18464473+5923422,246.0078403136125,50.008296966552734,8.034595111104791e-09,7.910566595816166e-09,9.598039696356864e-09,sin+2nd,1.0389463236088985,39,5670.362,1.4837294754820054
2M16271320+6258050,177.59220368814752,196.5165138244629,6.225345502110177e-08,6.217331407984781e-08,6.47537596876191e-08,sin+2nd,0.19644372903080537,27,4521.3354,0.7669576898298923
2M19381719+6608049,233.1830273210928,164.98565673828125,5.040174681338355e-08,4.979210444374447e-08,5.0922626115834646e-08,sin+2nd,1.515720195725392,27,4590.0815,0.7841341309762173
2M17004013+6026044,178.22096883875355,76.41315460205078,1.199461303728305e-08,1.1740568360411495e-08,1.296787388582743e-08,sin+2nd,1.8166517869757384,32,5813.553,0.95847961250995
2M17035291+5721555,196.36533461338453,59.1278076171875,6.41055353048456e-09,6.410286962118204e-09,7.112252120577978e-09,sin+2nd,0.4610715132750744,42,5919.095,1.4121418758683877
2M19502464+7101117,3.808808192434909,196.21849060058594,6.724791964131908e-08,6.471028081433657e-08,3.863770281498091e-08,box,2.7821053872258252,8,6367.492,1.41367299263932
2M19330779+7006422,226.13686547461896,38.20657730102539,2.402737876554605e-09,2.3898671466491398e-09,2.705522916812697e-09,sin+2nd,10.098767433146788,31,5705.869,1.0520573812134977
2M19515616+7029139,233.0033801352054,52.1540641784668,4.470481861508966e-09,4.236736170449008e-09,4.679424847608971e-09,sin+2nd,3.584183787262896,32,5887.227,1.1187571482866516
