cluster_name,family,age_gyr,age_bin,ra_cl,dec_cl,dist_cl,C_O_mean,C_O_std,c_fe,o_fe,mg_fe,si_fe,al_fe,ba_fe,eu_fe,ce_fe,y_fe,mn_fe,ni_fe,fe_h
ASCC_16,2,0.0134896323805684,<0.1,81.198,1.655,2.838,0.3802,0.14,,,,,,0.015932895243167877,0.23907604813575745,0.028733029961586,-0.05858433619141579,-0.03532334789633751,0.03508051857352257,
ASCC_21,2,0.0089125054671134,<0.1,82.179,3.527,2.866,0.3692,0.0831,,,,,,0.11272286623716354,0.28078773617744446,0.09680499881505966,-0.053148724138736725,-0.030488837510347366,0.047103725373744965,
ASCC_29,3,0.0933253849940474,<0.1,103.571,-1.67,0.944,0.3783,0.1163,,,,,,0.16721074283123016,0.16743981838226318,0.08475904911756516,-0.01085317600518465,-0.03592713922262192,0.028501451015472412,
ASCC_32,2,0.0251188698309886,<0.1,105.714,-26.512,1.23,0.4442,0.1439,,,,,,0.016574323177337646,0.22902312874794006,0.04378506541252136,-0.08971249312162399,-0.03650709241628647,0.06699717044830322,
ASCC_41,3,0.2137961713919407,0.1-0.3,116.674,0.137,3.352,0.4606,0.0356,,,,,,0.20579580962657928,0.13373920321464539,0.010583321563899517,-0.01379418931901455,-0.08729192614555359,0.0334995798766613,
ASCC_58,4,0.0524807206714521,<0.1,153.657,-55.001,2.06,0.3803,0.1192,,,,,,0.08753141015768051,0.19834481179714203,0.058153558522462845,0.02144940011203289,0.002302801003679633,0.05489065870642662,
ASCC_66,4,0.0588843629494562,<0.1,168.367,-55.437,0.999,0.3715,0.1407,,,,,,0.11559896916151047,0.1069938987493515,0.01768035627901554,0.009640350006520748,-0.009823047555983067,0.046413470059633255,
ASCC_67,3,0.0371535375952047,<0.1,175.28,-61.013,0.482,0.3721,0.0745,,,,,,0.14724914729595184,0.15641187131404877,0.048731423914432526,0.015476980246603489,-0.012144389562308788,0.042595475912094116,
ASCC_71,3,0.1288248533293804,0.1-0.3,185.033,-67.509,0.786,0.378,0.0806,,,,,,0.058362528681755066,0.15188167989253998,0.029791558161377907,-0.07727070152759552,-0.04454811289906502,0.03216388076543808,
ASCC_77,5,0.0812830230578909,<0.1,212.694,-62.331,0.842,0.4346,0.1084,,,,,,-0.11142219603061676,0.1223808005452156,0.0027460046112537384,0.06947970390319824,0.058291539549827576,0.07898031175136566,
ASCC_79,5,0.0186208705488312,<0.1,229.731,-60.798,1.176,0.4072,0.133,,,,,,-0.013801406137645245,0.1358521282672882,0.04452517256140709,-0.010810180567204952,0.05268998071551323,0.05997169762849808,
ASCC_87,5,0.0831763917221371,<0.1,255.658,-28.421,1.27,0.2859,0.1325,,,,,,0.11738430708646774,0.10977697372436523,0.06593342870473862,-0.06953392177820206,-0.039952971041202545,0.07382457703351974,
ASCC_97,4,0.1122018947073786,0.1-0.3,279.263,-19.139,1.74,0.408,0.0926,,,,,,-0.005535942502319813,0.05272838473320007,0.03867262601852417,0.09114745259284973,-0.009458670392632484,0.05701137334108353,
ASCC_99,3,0.3548135450617081,0.3-0.5,282.17,-18.488,3.367,0.3919,0.1499,,,,,,0.15113116800785065,0.21566233038902283,0.06006596237421036,0.014256218448281288,-0.034532610327005386,0.056028541177511215,
Alessi_24,2,0.0724436182787123,<0.1,260.764,-62.693,2.059,0.3662,0.1751,,,,,,-0.009439093992114067,0.20234932005405426,0.012720693834125996,-0.11006936430931091,-0.07149600982666016,0.061745818704366684,
Alessi_43,3,0.0114815347022194,<0.1,132.631,-41.738,1.032,0.3688,0.13,,,,,,0.10603765398263931,0.18383121490478516,0.037722788751125336,-0.004083982203155756,-0.030641809105873108,0.01416961569339037,
Alessi_5,5,0.0676082856622264,<0.1,160.819,-61.081,2.501,0.4566,0.0862,,,,,,0.05488189682364464,0.1903991848230362,-0.09747466444969177,-0.04973218962550163,-0.014393669553101063,0.06306027621030807,
Alessi_59,1,,,103.078,2.196,0.227,0.3932,0.0984,,,,,,0.2902962267398834,0.254410982131958,0.19644252955913544,0.04066827520728111,-0.02685011923313141,0.027293963357806206,
Alessi_8,5,0.1174896729347291,0.1-0.3,232.408,-51.227,1.479,0.5612,0.0928,,,,,,-0.12252610921859741,0.17050868272781372,-0.007909826934337616,-0.03412292152643204,0.06793469190597534,0.08130521327257156,
Alessi_9,5,0.2818381693478142,0.1-0.3,265.974,-47.028,4.822,0.4952,0.1354,,,,,,0.09041525423526764,0.13367968797683716,0.020167715847492218,-0.1310531347990036,-0.0867733582854271,0.06244584918022156,
Alessi_Teutsch_12,5,0.0870963704709874,<0.1,255.421,-58.981,1.632,0.3696,0.1664,,,,,,-0.0032386842649430037,0.199427530169487,0.0035927980206906796,-0.08212921768426895,-0.02029731124639511,0.06032394990324974,
Alessi_Teutsch_8,4,0.1174896729347291,0.1-0.3,180.649,-60.935,0.967,0.3934,0.1079,,,,,,0.11343967914581299,0.1717391014099121,0.020641742274165154,0.033337097615003586,0.02473057620227337,0.035556361079216,
BH_111,5,0.1949844428490234,0.1-0.3,167.32,-63.834,0.339,0.4242,0.1069,,,,,,0.0364273376762867,0.10522310435771942,0.0004502472875174135,0.011327812448143959,0.04386097937822342,0.0627511739730835,
BH_118,4,1.9054595463785964,1-2,170.765,-58.549,0.065,0.4248,0.1109,,,,,,0.07878772169351578,0.11087048053741455,-0.03424759954214096,-0.015099174343049526,-2.5428831577301025e-05,0.0549754872918129,
BH_121,3,0.0026302684539632,<0.1,174.661,-63.387,0.387,0.3249,0.123,,,,,,0.07744717597961426,0.17263026535511017,0.01905459351837635,0.0019219809910282493,-0.01259662676602602,0.04221224784851074,
BH_144,5,1.4791086480080835,1-2,198.808,-65.92,0.045,0.3934,0.1444,,,,,,0.05287279561161995,0.12095529586076736,-0.011502253822982311,-0.0009850896894931793,0.020742125809192657,0.07682587206363678,
BH_150,5,0.021877623926123,<0.1,204.506,-63.346,0.178,0.4303,0.1563,,,,,,-0.02276798151433468,0.004854418337345123,-0.02732187509536743,0.006032436620444059,0.02782801352441311,0.06252774596214294,
BH_151,4,0.0158489249640271,<0.1,205.051,-61.731,0.176,0.4031,0.0696,,,,,,0.05288724601268768,0.13929814100265503,0.07854114472866058,0.13081571459770203,-0.019172094762325287,0.07128316909074783,
BH_19,3,0.3090293803866819,0.3-0.5,121.768,-32.355,0.19,0.4844,0.1187,,,,,,0.10252062976360321,0.18190936744213104,0.07601083815097809,-0.033057089895009995,-0.03953717648983002,0.05269281193614006,
BH_211,5,0.4265796312095559,0.3-0.5,255.535,-41.113,0.524,0.5065,0.0596,,,,,,-0.03318500146269798,0.1083841547369957,0.09441859275102615,-0.025333061814308167,0.06651166081428528,0.04315822944045067,
BH_23,3,0.0288403175645028,<0.1,123.449,-36.329,2.257,0.3487,0.0501,,,,,,0.1620362401008606,0.10946094244718552,0.09406516700983047,-0.04552978277206421,-0.06589486449956894,0.03956898674368858,
BH_66,1,0.7244353873869618,0.5-1,141.314,-54.719,0.097,0.3865,0.0738,,,,,,0.18460911512374878,0.1419895738363266,0.15309648215770721,0.06632747501134872,-0.018121402710676193,0.007057151757180691,
BH_72,4,0.2238723104986867,0.1-0.3,142.838,-53.04,0.11,0.3965,0.0651,,,,,,0.1443399339914322,0.14143985509872437,0.05024588108062744,0.07035025954246521,0.012944833375513554,0.029932133853435516,
BH_84,4,0.1348963238056844,0.1-0.3,150.331,-58.218,0.2,0.4636,0.1246,,,,,,0.07875233143568039,0.13005980849266052,0.10771224647760391,0.07965271919965744,0.02211369201540947,0.03177749738097191,
