cluster,CO_std,MgFe_std,SiFe_std,AlFe_std,FeH_std,CO_coherent,MgFe_coh,SiFe_coh,AlFe_coh,FeH_coh,age_gyr,coherence_score
Platais 4,0.008538041432577153,0.01967517378118171,0.03373978603301499,0.046947493525959755,0.05787671293361431,True,True,False,True,False,,0.21099824419492216
Berkeley 22,0.015396125843316531,0.021673790740012924,0.01309707388920823,0.09735728241921134,0.029136340195707492,True,True,True,False,True,2.4547,0.17201511113652915
Trumpler 26,0.01594683991168844,0.0330833049475628,0.004738865141595965,0.042007694870107234,0.042215770749803906,True,False,True,True,False,0.2512,0.1570421157140694
Teutsch 51,0.02231444728136282,0.021277934148520358,0.04843963155116952,0.04199516162351349,0.016889494663843554,True,True,False,True,True,0.6761,0.2006742853606617
NGC 1193,0.024090949591935466,0.013573968241846843,0.002628661663312087,0.09495923166409292,0.017933267735319926,True,True,True,False,True,5.1286,0.12136477040339307
Berkeley 21,0.02737834865297844,0.02980505143645369,0.039264590129025924,0.04503898977403989,0.02141971451723855,True,True,False,True,True,2.138,0.21075458289543914
FSR 0937,0.027745772248362378,0.02353179249791227,0.009283503937809976,0.05505519259476563,0.041975876802436585,True,True,True,False,False,1.2023,0.16445745336634698
Berkeley 17,0.028193888570355437,0.017567650835708024,0.015098469193047448,0.036429808900999644,0.03186369760401326,True,True,True,True,False,7.2444,0.13848683589328853
Trumpler 5,0.02823429148674757,0.02899811987184533,0.01216866760977283,0.04762315160405022,0.014460977990594006,True,True,True,True,True,4.2658,0.14175366021900643
FSR 0394,0.029380513085577927,0.001975679059729675,0.018660840222430825,0.037207646134050185,0.01552502603325783,True,True,True,True,True,,0.09250949470687012
IC 1369,0.029684933289480943,0.010673269653214676,0.007562827426611095,0.03674987605874792,0.03861356264751199,True,True,True,True,False,0.2884,0.11692448440893496
Berkeley 98,0.03196686782800421,0.02081317138724906,0.008306402061933936,0.01557323050408403,0.015516411473017853,True,True,True,True,True,2.4547,0.097189415753589
NGC 2447,0.03251291570754366,0.0021564908416223335,0.006718257983535115,0.016881463703621792,0.013122711546526248,True,True,True,True,True,0.5754,0.0512626936065228
NGC 4337,0.03439865257451483,0.01900326726220004,0.015655225923528363,0.040601048060840306,0.030597711969651883,True,True,True,True,False,1.4454,0.14894924258918785
Czernik 21,0.03464842802252369,0.019053300916046893,0.02014748661117811,0.024627302751897805,0.008014239410782121,True,True,True,True,True,2.5704,0.11838539784090381
NGC 6866,0.03787181554135521,0.016840801565602512,0.00472689085377272,0.02067377218620806,0.015755378372411123,True,True,True,True,True,0.6457,0.08904466906944845
NGC 6791,0.03996708381301305,0.023127129466068548,0.02355890158783948,0.054400075205738314,0.053440077681601084,True,True,True,False,False,6.3096,0.21965527637072854
Chupina 4,0.04075892594893398,0.014386352036934865,0.04193201301346339,0.024323738931017417,0.009094683050662074,True,True,False,True,True,,0.16290791352759526
SAI 16,0.04077891308530514,0.017382186845751824,0.0063095424650325745,,0.0559083070750671,True,True,True,False,False,1.0,
Trumpler 20,0.04091140852562411,0.014115014380349651,0.014225009699616372,0.03330621590217581,0.02228974704417556,True,True,True,True,True,1.8621,0.12416393113642532
Berkeley 53,0.041535425313347675,0.03343926814187974,0.019415561906503162,0.06459499214559149,0.02816940540052359,True,False,True,False,True,0.9772,0.20791500057240833
NGC 2243,0.042966817926495676,0.03077365084517226,0.027946686762283898,0.04502005886794434,0.02914933193712941,True,False,True,True,True,4.3652,0.20989101370138535
King 5,0.04480097677997187,0.0032073401490801665,0.021831255121091915,0.045729749276958234,0.023480463333020788,True,True,True,True,True,1.0233,0.1307467572296425
ESO 211 03,0.04618967542474097,0.015149696867783953,0.020105636377667595,0.02248541166682116,0.027031426736829327,True,True,True,True,True,1.2882,0.14234394310367554
NGC 1980,0.04766004711486115,0.03635539309816858,0.030459140869740442,,0.05272822141347463,True,False,False,False,False,0.0132,
NGC 6811,0.04778008627488107,0.01756429819607004,0.013521122889152281,0.05190776014474329,0.041741489344493066,True,True,True,False,False,1.0715,0.17407758111757368
Berkeley 75,0.04959655705413373,0.014639085536102771,0.015122161441078232,0.014220678605467454,0.01715774266427063,True,True,True,True,True,1.6982,0.11397158013770614
Chupina 5,0.05005939033571807,0.07392842725185962,0.04685011630874941,0.02855563243984655,0.025124099383519536,True,False,False,True,True,,0.33469292450586063
NGC 188,0.05154714330297406,0.02202910846855951,0.030467457385355008,0.0738111008619906,0.035015843527432804,True,True,False,False,False,7.0795,0.2310841829927445
Czernik 20,0.05305696390205684,0.01667090854824884,0.01606119858896864,0.014273409698707204,0.010937834185370829,True,True,True,True,True,1.6596,0.11503908709791966
NGC 2353,0.05423728021959278,0.029818676016512943,0.01981739551482487,0.05527595860072144,0.019321089837273674,False,True,True,False,True,0.1023,0.19268325203818706
BH 211,0.05500031751890961,0.022171222063071608,0.025476169836995386,0.003032430840123698,0.014811292988797438,True,True,True,True,True,0.4266,0.1467894599967981
NGC 2204,0.056519798739217565,0.015652294410570235,0.016455511621254307,0.04546684490178238,0.029065859284976004,True,True,True,True,True,2.0893,0.16210633653494627
NGC 6819,0.05765328129153285,0.014597230872830325,0.022005069010414127,0.03973016640978078,0.03946543354254176,False,True,True,True,False,2.2387,0.1827738659976314
NGC 1907,0.059382783095403714,0.007902884042677163,0.013715920467187951,0.03212988595145233,0.0072069850376793015,False,True,True,True,True,0.5888,0.10325777178153983
Melotte 71,0.06168108730816852,0.016689249647866233,0.026788151731643204,0.04999546376722262,0.02022999258526804,False,True,True,True,True,0.9772,0.18302415234159936
NGC 1817,0.06457995724390742,0.028371637344533306,0.02764064333050359,0.010947120692108897,0.021046002504717408,False,True,True,True,True,1.122,0.18633383348160018
NGC 1798,0.06516129961741497,0.020258982261421372,0.020761564210949154,0.046572762179659485,0.025493685828903937,True,True,True,True,True,1.6596,0.1845647455942805
Berkeley 66,0.06883785573148733,0.020355331080211914,0.024681597129904587,0.04387509626147055,0.03776324403437819,True,True,True,True,False,3.0903,0.2106673849670097
FSR 0494,0.06891089806242784,0.022717547960647587,0.021170450656890917,0.04067885539998661,0.02613696890804288,False,True,True,True,True,0.8913,0.19047198664833642
