cluster,template_N,age_gyr,R_gal,observed,mc_median,mc_std,enrichment,p_value,significant,centroid_C/O,sigma_C/O,centroid_[Mg/Fe],sigma_[Mg/Fe],centroid_[Si/Fe],sigma_[Si/Fe],centroid_[Fe/H],sigma_[Fe/H]
ASCC_21,23,0.0089125054671134,10.74690595889958,77046,46687.0,37933.2,1.65,0.265,False,0.3878,0.075,0.081,0.0912,0.101,0.0853,-0.1563,0.258
ASCC_41,5,0.2137961713919407,10.8567511785844,19824,20187.5,25943.3,0.982,0.515,False,0.4678,0.0472,0.0263,0.0644,0.1274,0.11,-0.1905,0.2171
ASCC_67,12,0.0371535375952047,7.93410600656129,128378,40751.0,40894.9,3.15,0.025,False,0.4077,0.0799,0.0192,0.0569,0.0624,0.0728,-0.0071,0.2311
ASCC_71,13,0.1288248533293804,7.761035268732659,159806,111327.0,66847.5,1.435,0.32,False,0.4588,0.1022,-0.0105,0.0844,0.0705,0.0922,-0.0712,0.1557
ASCC_97,5,0.1122018947073786,6.457943843908244,20767,7963.5,8933.8,2.608,0.195,False,0.4546,0.0818,0.0013,0.0481,0.0633,0.0641,-0.0141,0.1676
Alessi_5,12,0.0676082856622264,7.722151846403915,105230,68091.5,59126.4,1.545,0.32,False,0.4719,0.103,0.0272,0.1012,0.0966,0.0946,-0.0454,0.2233
Alessi_59,6,,8.317163492788827,50648,19599.0,23158.9,2.584,0.18,False,0.4139,0.1014,0.0323,0.0643,0.0857,0.0603,-0.2104,0.1728
Alessi_8,10,0.1174896729347291,6.939686881538463,186776,64775.0,70539.1,2.883,0.105,False,0.6095,0.1504,0.0144,0.0655,0.064,0.0641,0.1255,0.1486
BH_151,12,0.0158489249640271,8.013176658977198,257369,172125.5,85347.8,1.495,0.03,False,0.4511,0.1004,0.0437,0.1624,0.0321,0.0776,-0.0062,0.1547
BH_211,12,0.4265796312095559,7.617168122998576,55781,20741.0,24272.4,2.689,0.16,False,0.4895,0.0767,-0.0082,0.0411,0.0353,0.0395,0.05,0.1365
BH_23,12,0.0288403175645028,9.01021386923635,78766,32329.5,29509.0,2.436,0.11,False,0.3789,0.0864,0.0206,0.0612,0.0771,0.0674,-0.1636,0.1651
BH_54,5,0.0087096370470987,8.173165567260563,14669,23470.0,26886.7,0.625,0.595,False,0.3517,0.1082,0.0302,0.1608,0.1239,0.1089,-0.1184,0.2983
BH_66,8,0.7244353873869618,8.112433711147755,56827,17043.5,18369.0,3.334,0.03,False,0.4672,0.1378,0.0176,0.0523,0.0429,0.0538,-0.028,0.1931
BH_72,15,0.2238723104986867,8.11219413090902,96399,68960.5,57498.6,1.398,0.37,False,0.4372,0.1027,-0.0185,0.0848,0.0769,0.071,-0.0702,0.1598
BH_78,8,0.3388439477987164,8.099421543717595,63596,28891.5,32895.1,2.201,0.255,False,0.4598,0.1547,-0.0293,0.041,0.0433,0.0344,0.0471,0.2211
Basel_18,9,0.0275422906622152,7.825665633295281,152367,48509.0,48205.4,3.141,0.02,False,0.4599,0.108,0.0567,0.0868,0.0355,0.0396,-0.0504,0.0967
