cluster,age_gyr,N_template,C_O_std,observed,mc_median,mc_std,enrichment,p_value,significant
ASCC_21,0.0089125054671134,23,0.0831,12934,5759.5,8577.635121034235,2.2456810487021444,0.25,False
ASCC_41,0.2137961713919407,5,0.0356,5205,4047.0,8464.553841979801,1.2861378799110452,0.47,False
ASCC_67,0.0371535375952047,12,0.0745,24844,5583.5,8782.39913690872,4.449538819736724,0.08,False
ASCC_71,0.1288248533293804,13,0.0806,14648,6710.0,8471.53039316982,2.18301043219076,0.235,False
ASCC_97,0.1122018947073786,5,0.0926,20744,7984.0,9054.219665989996,2.5981963927855714,0.15,False
Alessi_5,0.0676082856622264,12,0.0862,11025,4922.5,8053.6527096156815,2.239715591670899,0.285,False
Alessi_59,,6,0.0984,14773,6364.0,7932.612756322787,2.3213387806411063,0.22,False
Alessi_8,0.1174896729347291,10,0.0928,12222,6950.0,8199.91631813246,1.7585611510791368,0.31,False
BH_151,0.0158489249640271,12,0.0696,28868,4923.5,8431.913730458822,5.863308621915304,0.04,False
BH_211,0.4265796312095559,12,0.0596,23342,5773.5,8097.302315530771,4.042954880055426,0.075,False
BH_23,0.0288403175645028,12,0.0501,16234,5383.0,8834.053650752581,3.0157904514211404,0.18,False
BH_54,0.0087096370470987,5,0.092,4086,6360.5,8275.681027503115,0.6424023268610958,0.58,False
BH_66,0.7244353873869618,8,0.0738,27384,6245.5,8516.496626401022,4.384596909775038,0.045,False
BH_72,0.2238723104986867,15,0.0651,11475,6218.5,7097.638253947576,1.8453003135804456,0.26,False
BH_78,0.3388439477987164,8,0.096,18607,6363.5,8301.788330292155,2.9240198004242948,0.145,False
Basel_18,0.0275422906622152,9,0.0901,25231,7205.0,9133.246665540135,3.5018736988202637,0.09,False
Berkeley_20,4.786304286528699,5,0.0735,12083,5180.5,9403.353256300383,2.3324003474568094,0.275,False
Berkeley_22,2.454710856206481,15,0.0805,17006,5795.5,9420.136379287456,2.9343456129755845,0.2,False
Berkeley_32,4.897783461428336,36,0.0855,15287,5669.5,7716.180614965865,2.6963577035011905,0.195,False
Berkeley_33,0.2344228197592381,9,0.0777,5009,5961.5,8489.09864338376,0.8402247756437138,0.55,False
Berkeley_39,5.62341325190349,14,0.0526,24300,5814.5,7868.594608893001,4.179207154527474,0.055,False
Berkeley_73,1.4125363038976315,13,0.0751,12916,7354.0,8822.976297541267,1.7563230894751156,0.36,False
Berkeley_78,3.890452816839944,24,0.0926,18347,6317.5,8223.974199807535,2.9041551246537396,0.165,False
Bochum_11,0.0063095762158615,10,0.0624,29387,7945.0,8780.289207615828,3.6988042794210196,0.035,False
Bochum_6,0.006456541439665,11,0.084,14259,6071.0,8649.473727885124,2.3487069675506507,0.27,False
Collinder_115,0.0954992627963111,17,0.077,12073,5312.5,8616.978111472721,2.272564705882353,0.27,False
Collinder_135,0.0263026845396328,31,0.0777,17582,6073.0,8025.891026241261,2.895109501070311,0.16,False
Collinder_185,0.0616594947701844,22,0.0854,17633,5164.0,8688.021647970269,3.414601084430674,0.15,False
Collinder_205,0.0045708802901852,6,0.0435,26731,5740.0,8773.969394749449,4.656968641114982,0.06,False
Collinder_220,0.2344228197592381,6,0.0742,5437,4937.0,8397.469041181397,1.101276078590237,0.465,False
Collinder_261,6.309576215861531,64,0.0815,22783,5956.0,8718.726347797308,3.8252182672934856,0.1,False
Czernik_26,0.5248077829311784,33,0.0935,19346,5029.5,8256.162697791267,3.8465056168605227,0.15,False
Czernik_30,2.8840317564502844,5,0.0746,8522,6428.5,8218.580944078789,1.3256591739908221,0.45,False
Czernik_39,0.1380385355838289,18,0.0872,13830,5993.5,8470.43249718543,2.3074997914407276,0.255,False
DBSB_101,0.0112201894707378,6,0.0367,6417,7122.5,8779.810172775662,0.9009477009477009,0.54,False
DBSB_104,0.0269153374005781,5,0.0965,13065,5563.5,8799.609643364869,2.3483418711242923,0.27,False
DBSB_43,0.0245470816103821,11,0.0514,13986,6523.0,8971.391632616145,2.144105472941898,0.285,False
DBSB_60,,8,0.0643,26940,5752.0,8411.28111203044,4.683588317107093,0.03,False
DC_5,,17,0.0925,22804,5622.0,9572.831509379814,4.056207755247243,0.135,False
Danks_1,,5,0.0938,26029,5666.5,8263.073039348013,4.593488043765993,0.045,False
Dolidze_32,0.102329353157667,15,0.0733,16865,6116.0,8032.075837110853,2.7575212557226947,0.135,False
ESO_130_08,0.1778279410038923,18,0.096,18245,5415.0,8365.649929788779,3.3693444136657433,0.15,False
ESO_166_04,0.1995263191254866,5,0.0779,6205,6289.5,8797.37389372391,0.986564909770252,0.515,False
ESO_211_03,1.288248533293805,18,0.099,26617,4929.5,8304.284924970963,5.399533421239477,0.05,False
