cluster,n_match,B_X,med_d_true,match_idx,med_d_null,ratio
ASCC_21,13253,0.11272287486956521,0.11807524886956522,[    10     18     27 ... 533343 533350 533405],0.13231992509283996,0.8923467027865969
ASCC_41,5255,0.20579581880000003,0.17751309480000002,[   168    211    217 ... 533341 533348 533350],0.12692117179434423,1.3986090129047346
ASCC_67,25863,0.1472491534,0.1358461964,[    10    164    171 ... 533371 533375 533424],0.1305617247458335,1.0404748915844508
ASCC_97,21704,-0.005535937000000002,0.097388538,[    16    165    167 ... 533355 533424 533431],0.1317895245997034,0.7389702504490192
BH_151,32534,0.05288724354545456,0.10412889654545457,[    16    166    171 ... 533424 533431 533433],0.12934387656721597,0.8050547061757658
BH_211,24976,-0.03318500118363636,0.093634168,[   166    180    196 ... 533385 533399 533431],0.1543474986315817,0.6066451923752856
BH_23,16743,0.16203624933333333,0.11888812633333333,[    18    154    186 ... 533348 533350 533371],0.11951611352002996,0.9947455856101665
Basel_18,31227,0.030501849625,0.100542939625,[     8     16    166 ... 533427 533428 533431],0.13176353687124268,0.7630558651688975
Berkeley_22,17309,0.13064616059999998,0.10438365940000002,[    34    145    179 ... 533350 533405 533456],0.12186891463407086,0.8565240751788685
Berkeley_39,24962,0.1987692985,0.1423147765,[    18     27    126 ... 533348 533371 533403],0.12471526133103086,1.1411175743941622
Bochum_11,30553,0.1473435598,0.1251020118,[    16    166    171 ... 533403 533422 533431],0.12884008391680418,0.970986730191685
Collinder_115,12300,0.1912555434117647,0.13643773591176472,[    18    168    186 ... 533308 533327 533341],0.1260932828651068,1.0820380976021087
Collinder_185,18159,0.19253583395454543,0.14693736395454543,[    10     16     18 ... 533348 533350 533371],0.12593049891342792,1.1668131645818292
Collinder_205,31779,0.22449556199999998,0.18862987499999997,[    16     40    164 ... 533403 533431 533433],0.1265773001226107,1.4902346219842046
Collinder_220,5675,0.06637453891666666,0.11960294691666665,[   208    228    229 ... 533107 533132 533393],0.15733668392760067,0.7601720331903181
Czernik_26,20023,0.16680865483636365,0.12236927983636364,[    10     18    126 ... 533350 533353 533371],0.12275658923992488,0.996844899276207
Czernik_39,14559,0.09258060138888888,0.12662765138888887,[    19     56     60 ... 533336 533374 533431],0.151905055800308,0.8335973461959791
DBSB_101,6643,-0.02382865966666667,0.08765051966666666,[    10     16    122 ... 533238 533348 533442],0.14258350631977265,0.6147311279475233
DBSB_43,14677,0.0648297539090909,0.1065770969090909,[   167    171    186 ... 533348 533353 533371],0.1253094721188217,0.8505110994963869
Dolidze_32,17728,0.03285952673333333,0.09816055673333333,[    96    132    196 ... 533374 533385 533399],0.1552329571876872,0.6323435339484678
ESO_130_08,18939,0.03991674086111111,0.0998928691388889,[     8     10     16 ... 533348 533371 533375],0.12806574863392814,0.7800123780514451
ESO_226_06,27393,0.027607131,0.09869736899999998,[     8    167    171 ... 533371 533375 533431],0.1295458857477597,0.7618718914174919
ESO_312_04,17332,0.22470694269230768,0.18923184919230768,[    40    166    171 ... 533391 533422 533424],0.1312828008414311,1.441406246511071
FSR_0088,25598,0.19041062722222224,0.18005818372222224,[    16    167    196 ... 533343 533385 533431],0.14337442469009098,1.2558598516536301
FSR_1171,10232,0.07661340573333335,0.10731634300000001,[    29    167    186 ... 533343 533348 533371],0.1286004086344742,0.8344945722919848
FSR_1252,6609,0.2923564405,0.1774355205,[   154    186    194 ... 533308 533348 533398],0.12041612624721196,1.4735195860372416
FSR_1253,19384,0.1462518012576,0.1213273442576,[    18     27     29 ... 533348 533350 533371],0.1275987388719841,0.9508506536206756
FSR_1260,18283,0.17708204586428572,0.13375413286428572,[    16     29    154 ... 533355 533370 533403],0.125783712806069,1.0633660740361939
FSR_1297,19385,0.11986359974090909,0.11509472025909091,[    10     16     18 ... 533348 533350 533371],0.12357353472658357,0.9313864858988398
FSR_1363,15779,0.2712623763809524,0.2102619993809524,[    16     29    154 ... 533353 533355 533370],0.12640440803528188,1.663407175818301
FSR_1586,29951,0.12813621768421052,0.11993965231578949,[   171    186    191 ... 533422 533431 533433],0.1275974026057606,0.9399850613446155
