cluster,age_gyr,n_match,n_rv,cl_rv,med_drv_match,med_drv_rand,ratio,frac_in10_match,frac_in10_rand,mw_p
ASCC_21,0.0089125054671134,12934,12934,30.95350310434782,29.64459228515625,31.106740951538086,0.9529957616370114,0.17542910159270142,0.16885727539817535,4.8831058e-05
ASCC_41,0.2137961713919407,5205,5205,39.758067,36.86600112915039,37.06715774536133,0.9945731847693094,0.14466858789625361,0.13429394812680115,0.64113516
ASCC_67,0.0371535375952047,24844,24844,-10.58696658333333,25.43829345703125,27.129310607910156,0.9376682594217542,0.20596522299146675,0.19199806794397037,9.700713e-25
ASCC_71,0.1288248533293804,14648,14648,-13.825556072307693,28.606056213378906,28.63219451904297,0.9990871008630974,0.17674767886400874,0.18835335882031676,0.031226082
ASCC_97,0.1122018947073786,20744,20744,17.4605644,23.06842803955078,25.131160736083984,0.9179213121831067,0.23279020439645198,0.21297724643270344,1.1092548e-25
Alessi_5,0.0676082856622264,11025,11025,13.730241899999998,23.96046257019043,23.893774032592773,1.0027910424492459,0.22793650793650794,0.22839002267573696,0.1913617
Alessi_59,,14773,14773,42.113421333333335,36.76613235473633,39.21683883666992,0.9375088213473737,0.13314831110810263,0.12644689636499018,3.0157263e-10
Alessi_8,0.1174896729347291,12222,12222,-35.836195527,41.441951751708984,43.53992462158203,0.9518149632065942,0.10996563573883161,0.09810178366879398,5.454256e-13
BH_151,0.0158489249640271,28868,28868,-39.53173591666667,46.334136962890625,46.955841064453125,0.9867598133167473,0.09373700983788277,0.08926839406955799,1.0948093e-08
BH_211,0.4265796312095559,23342,23342,-28.87780255833334,36.644615173339844,38.5960578918457,0.9494393255400794,0.12835232627881074,0.12561048753320195,3.7921863e-19
BH_23,0.0288403175645028,16234,16234,29.827598033333334,27.863746643066406,30.729259490966797,0.906749694090652,0.1872613034372305,0.16927436244918073,9.022079e-28
BH_54,0.0087096370470987,4086,4086,23.548576059999995,27.061735153198242,27.160076141357422,0.9963792079356717,0.19040626529613314,0.19211943220753794,0.35901687
BH_66,0.7244353873869618,27384,27384,23.8477525,25.250865936279297,27.178993225097656,0.9290581783935291,0.210268770084721,0.18992842535787322,4.432719e-28
BH_72,0.2238723104986867,11475,11475,21.53439392333333,24.520767211914062,26.875507354736328,0.9123834161810797,0.21986928104575162,0.20148148148148148,1.44964344e-11
BH_78,0.3388439477987164,18607,18607,16.816628249999997,21.414134979248047,25.103206634521484,0.8530438079492088,0.24281184500456818,0.21916483044015694,0.0
Basel_18,0.0275422906622152,25231,25231,-21.9224014,32.31291961669922,32.88679122924805,0.9825500880110659,0.14862668939003607,0.1476358447941025,2.8217712e-06
Berkeley_20,4.786304286528699,12083,12083,14.161676,23.13096809387207,24.06203842163086,0.9613054259392342,0.23015807332616073,0.22213026566250105,0.00016174036
Berkeley_22,2.454710856206481,17006,17006,29.647579853333333,28.176517486572266,30.53384780883789,0.9227961592975745,0.185169940021169,0.1703516405974362,3.055021e-20
Berkeley_32,4.897783461428336,15287,15287,56.09384671666666,48.631591796875,51.29084396362305,0.9481534722135969,0.0847779158762347,0.06979786746909139,1.3403531e-18
Berkeley_33,0.2344228197592381,5009,5009,53.01152277777777,49.65947341918945,47.763519287109375,1.0396946071055482,0.08804152525454183,0.08544619684567778,0.982286
Berkeley_39,5.62341325190349,24300,24300,13.436161514285715,21.785249710083008,24.128297805786133,0.9028921097309548,0.24662551440329217,0.22563786008230452,1.6707054e-35
Berkeley_73,1.4125363038976315,12916,12916,62.77417976923077,54.59917068481445,57.406768798828125,0.9510929081577052,0.07301021988231651,0.056209352740786624,4.5597366e-14
Berkeley_78,3.890452816839944,18347,18347,45.914704500000006,40.1859130859375,42.09382629394531,0.9546747498152183,0.11805744808415544,0.10410421322287022,4.4212403e-10
Bochum_11,0.0063095762158615,29387,29387,11.73479122,21.248123168945312,23.603897094726562,0.9001955517630366,0.25392180215741655,0.23221152210160956,0.0
Bochum_6,0.006456541439665,14259,14259,48.0731488,41.160369873046875,44.06142044067383,0.9341589413456824,0.10814222596254996,0.10105898029314819,3.6673006e-14
Collinder_115,0.0954992627963111,12073,12073,33.86742274705882,30.847841262817383,32.736000061035156,0.942321639946928,0.1643336370413319,0.15687898616748117,2.7086766e-09
Collinder_135,0.0263026845396328,17582,17582,38.016670854838715,34.331085205078125,36.22365951538086,0.9477530891239984,0.15328176544192926,0.13559322033898305,4.2170798e-11
Collinder_185,0.0616594947701844,17633,17633,35.90340398181818,32.1315803527832,34.11650848388672,0.9418191304060027,0.1556173084557364,0.15136391992287188,2.2961336e-11
Collinder_205,0.0045708802901852,26731,26731,37.97112713333333,34.27957534790039,35.48748016357422,0.9659625081829938,0.14649657700796828,0.1359096180464629,2.6234703e-14
Collinder_220,0.2344228197592381,5437,5437,13.648997283333332,19.02865982055664,23.746135711669922,0.8013371123456141,0.27147323891852126,0.22714732389185213,1.1896881e-32
Collinder_261,6.309576215861531,22783,22783,-23.634427477049183,33.89677047729492,34.391841888427734,0.985604975367737,0.1379537374358074,0.139753324847474,0.00013952833
Czernik_26,0.5248077829311784,19346,19346,45.155418255,38.7894287109375,41.77574157714844,0.9285156228598354,0.11315000516902719,0.10555153520107516,8.4555034e-24
Czernik_30,2.8840317564502844,8522,8522,54.204556000000004,47.422271728515625,49.1684684753418,0.9644854354635451,0.09598685754517719,0.08249237268246891,0.0014836222
Czernik_39,0.1380385355838289,13830,13830,-1.697972316666666,23.641279220581055,24.940990447998047,0.9478885479657718,0.232176428054953,0.22263195950831527,3.8606454e-10
DBSB_101,0.0112201894707378,6417,6417,10.786243166666665,25.31574249267578,23.05884552001953,1.0978755406768663,0.2095995013246065,0.2354682873616955,0.9999948
DBSB_104,0.0269153374005781,13065,13065,-36.85619064,42.76036834716797,44.98735046386719,0.9504975933515383,0.10516647531572905,0.09781859931113662,4.352456e-09
DBSB_43,0.0245470816103821,13986,13986,22.7375834,24.914295196533203,26.546829223632812,0.938503615126801,0.2147147147147147,0.19977119977119978,4.2385357e-09
DBSB_60,,26940,26940,3.6605589875000004,20.476417541503906,23.8682804107666,0.8578924492720188,0.26688938381588717,0.23233110616184113,0.0
DC_5,,22804,22804,9.191914152941175,21.418630599975586,23.614337921142578,0.9070180443551156,0.25504297491668126,0.2317137344325557,1.1869226e-29
Danks_1,,26029,26029,-33.170374800000005,40.37362289428711,41.370208740234375,0.975910543449155,0.1077259979253909,0.11099158630758,1.4535178e-07
Dolidze_32,0.102329353157667,16865,16865,8.331725819999999,22.061626434326172,23.36515998840332,0.9442103732769592,0.24494515268307146,0.23427216128075898,8.29514e-14
ESO_130_08,0.1778279410038923,18245,18245,-7.8595852444444425,25.79644203186035,25.847049713134766,0.9980420325787241,0.20295971499040832,0.20783776377089613,0.013934143
ESO_166_04,0.1995263191254866,6205,6205,13.937624719999999,26.68927764892578,24.980575561523438,1.0684012297152268,0.19661563255439163,0.21514907332796132,0.9996865
ESO_211_03,1.288248533293805,26617,26617,19.784851288888888,23.07253646850586,26.045106887817383,0.8858683731990386,0.23345981891272494,0.20761167674794304,0.0
ESO_226_06,0.0323593827469971,26392,26392,-18.527146188,29.86054801940918,30.99658203125,0.963349700599392,0.16364807517429525,0.16516368596544406,1.3882902e-11
ESO_312_04,0.044668369023895,16390,16390,37.26089984615384,32.532447814941406,35.0819091796875,0.9273283175186419,0.1490543014032947,0.13978035387431362,1.1237501e-25
ESO_371_25,2.041739917404129,17606,17606,46.6978931875,40.75151062011719,43.74555206298828,0.9315578086988127,0.1073497671248438,0.09939793252300352,4.1815214e-17
FSR_0088,0.1659587927845761,25553,25553,11.736245215789474,21.412670135498047,23.800350189208984,0.8996787847771456,0.2478769616092044,0.2265487418307048,6.09663e-40
FSR_1032,,13240,13240,37.690620833333334,33.79944610595703,35.89344787597656,0.94166061234198,0.15,0.13919939577039275,4.6111786e-09
FSR_1171,,9899,9899,39.27934155333333,34.4605712890625,36.35525894165039,0.9478840831355696,0.13890291948681685,0.13476108697848269,1.2750515e-05
FSR_1252,0.8511386362915022,6295,6295,55.0437992,44.816776275634766,49.7634162902832,0.900596856417707,0.09833200953137411,0.07466243050039714,2.0669442e-23
FSR_1260,0.1412536303897631,17735,17735,44.943129279285706,38.061439514160156,41.269065856933594,0.9222752859516319,0.12252607837609247,0.11119255709049901,4.085743e-23
FSR_1297,,18801,18801,59.64711943478261,52.111934661865234,54.7257194519043,0.9522384572333272,0.07175150257965002,0.0627094303494495,1.3892509e-14
FSR_1335,0.0112201894707378,14332,14332,54.098780999999995,46.659629821777344,49.19786834716797,0.9484075507605456,0.09503209600893106,0.08058889198995256,4.4710712e-14
FSR_1361,0.2884031756450284,16202,16202,43.9515152,38.900596618652344,40.70873260498047,0.9555835843902714,0.12239229724725342,0.1077027527465745,3.7248669e-09
FSR_1363,0.2238723104986867,15306,15306,51.146285285714285,43.686824798583984,47.15602111816406,0.9264315301138972,0.10041813667842676,0.08401933882137724,7.170483e-17
FSR_1419,1.621810239813303,16608,16608,34.988662294499996,32.157073974609375,33.43541717529297,0.9617667937570038,0.1580563583815029,0.14836223506743737,2.0011971e-07
FSR_1586,,28655,28655,8.753816010526316,20.414588928222656,23.510696411132812,0.8683106859631736,0.2660268714011516,0.2305007852032804,0.0
FSR_1591,,15984,15984,0.39070249999999856,23.8742733001709,24.452342987060547,0.9763593334513774,0.2287912912912913,0.22422422422422422,0.0010187458
FSR_1595,0.6918312139914402,16678,16678,-12.369109142500001,24.86115837097168,28.202646255493164,0.8815186399797272,0.20554023264180357,0.19115001798776832,7.420559e-39
FSR_1750,,9070,9070,-39.06964582285715,43.95381164550781,47.39299774169922,0.9274326111436204,0.09955898566703418,0.08941565600882029,7.850935e-18
Ferrero_11,0.2818381693478142,19686,19686,52.15769691666667,45.542198181152344,47.74736785888672,0.9538158902444305,0.09179112059331504,0.08523824037386976,1.3839972e-13
Gulliver_1,1.380385355838289,18708,18708,9.355534305,21.802654266357422,23.8062686920166,0.9158366877405241,0.24941201624973272,0.23059653624118023,4.5575504e-17
Gulliver_27,0.602559215586761,26818,26818,9.421761905263157,20.014488220214844,23.57692527770996,0.8489015418451061,0.2706391229771049,0.23331344619285554,0.0
Gulliver_39,0.6165949477018448,28911,28911,3.292379488888889,22.291324615478516,23.585603713989258,0.9451241904084452,0.2454774999135277,0.2355850714261008,7.278622e-19
Gulliver_46,0.0117489801933541,16811,16811,-22.0324556,31.95757293701172,32.90956115722656,0.971072594506299,0.15442269942299686,0.1528166081732199,3.8033522e-07
Gulliver_50,0.0407380403044348,33807,33807,3.4818043508,20.436702728271484,23.715744018554688,0.8617356770372563,0.2657142012009347,0.23214127251752595,0.0
Gulliver_52,0.4786304286528699,21240,21240,7.816805700000001,20.772672653198242,23.605676651000977,0.8799863253365964,0.26228813559322034,0.23286252354048964,0.0
Gulliver_7,0.4786304286528699,16917,16917,14.299440271428569,22.47370147705078,24.576135635375977,0.9144522072339616,0.23958148607909205,0.22255719099131052,6.240642e-17
Haffner_26,0.5370312303176601,22555,22555,62.1477253125,54.46814727783203,56.826263427734375,0.9585030581343581,0.06131678120150743,0.05728219906894259,5.82343e-18
Haffner_9,0.3801893295314407,18347,18347,57.04325533333333,49.4088134765625,52.241695404052734,0.9457735453342414,0.07810541232899111,0.06960265983539543,2.3201404e-17
Hogg_4,1.4791086480080835,26633,26633,18.681741409090908,23.406721115112305,25.69495964050293,0.9109460159733554,0.229301993767131,0.2112792400405512,3.8348174e-33
IC_2391,0.0288403175645028,23310,23310,22.07345491111111,25.334362030029297,26.73120880126953,0.9477447211001586,0.21184041184041183,0.20004290004290004,1.7629388e-11
IC_2581,0.0102329353157667,22186,22186,13.909519354545456,20.644309997558594,23.951833724975586,0.8619093733951527,0.25439466330118093,0.2260885242946002,0.0
