cluster,n_match,V_X,med_d_true,match_idx,med_d_null,ratio
Dolidze_32,17574,8.331725819999999,22.16447118,[    95    130    194 ... 526703 526714 526727],29.940693420690785,0.7402791534775558
ESO_312_04,17265,37.26089984615385,32.315483846153846,[    39    164    169 ... 526719 526750 526752],27.182416532644112,1.1888377844311706
FSR_1252,6691,55.0437992,44.338225200000004,[   152    184    192 ... 526637 526677 526726],28.794513360664574,1.5398150558977421
Gulliver_35,26650,15.316236976190478,21.74166402380952,[    39    163    164 ... 526619 526750 526752],29.03122724420081,0.748906129283686
Gulliver_46,15155,-21.554507333333333,31.792425333333334,[     8     10     16 ... 526672 526704 526714],30.28964359647767,1.0496137147361622
Gulliver_7,17732,14.29944027142857,22.631275,[    18     29    165 ... 526682 526700 526704],29.958825570717035,0.7554126227872137
IC_2391,23951,22.073454911111114,25.353414111111114,[     4      8     16 ... 526755 526756 526759],30.27593045105975,0.8374115587329098
IC_2714,10594,-3.9977066000000003,24.8135889,[   165    184    189 ... 526676 526677 526700],30.654531182914443,0.8094590894878881
LP_2220,13395,46.33569388888889,38.68795611111111,[    29    152    184 ... 526677 526682 526700],28.63534575294856,1.3510560146502664
LP_930,6320,14.788280466666668,24.066583,[   165    184    192 ... 526656 526677 526700],30.23702485940119,0.7959309195235623
NGC_2539,18411,33.98974008571429,30.49159518571429,[    39    164    194 ... 526721 526727 526750],27.609151837624168,1.1044017347958546
NGC_2682,26639,34.64872795948718,31.224552259487183,[    16     39    163 ... 526704 526731 526759],29.95994977351961,1.0422097665559273
NGC_2925,19138,35.32195921428571,31.66823725,[    16    163    165 ... 526682 526684 526759],29.72086315593735,1.0655221244364708
NGC_4349,18183,-23.598372285714284,33.02219228571428,[     4      8     10 ... 526676 526704 526714],30.057466400353647,1.0986352557421724
NGC_6204,22391,-19.190744673,28.995741673,[   164    194    195 ... 526619 526714 526750],27.909816271525322,1.0389083679702535
NGC_6250,6738,-33.839092,38.0962683,[    19    342    358 ... 526505 526518 526665],29.68245311971193,1.2834609102675718
Ruprecht_77,17732,14.29944027142857,22.631275,[    18     29    165 ... 526682 526700 526704],29.70407414855863,0.761891277499998
Stock_14,6205,-14.343368294545455,27.64947870545454,[   165    251    268 ... 526521 526531 526684],29.378766127146278,0.9411381875532936
UBC_266,22488,-4.675984137894737,22.3387545,[    39    164    169 ... 526719 526731 526750],29.177821330872927,0.7656073511000446
UBC_286,15545,-5.3227694,25.8532414,[     4      8     10 ... 526711 526714 526755],31.26848218525306,0.8268147218285187
UBC_289,30181,-9.721283316666666,22.88399331666667,[   169    185    196 ... 526561 526700 526731],27.436449853763744,0.8340726820940149
UBC_476,16981,52.745308625,46.218645625,[    18     26     27 ... 526670 526677 526679],30.695687460391277,1.5057048546196936
UBC_499,17348,-2.5633408176470587,25.0459375,[     8     10     16 ... 526684 526699 526704],30.707772070742678,0.8156220986107592
UBC_651,19031,4.1221292400000005,21.405752760000002,[    39     64    164 ... 526727 526750 526753],29.348249201247814,0.7293706896522428
UPK_18,8245,-2.9714100799999996,23.413879920000003,[   165    261    268 ... 526636 526665 526714],29.605377085069364,0.7908657894382346
