cluster,CO_std,MgFe_std,SiFe_std,AlFe_std,FeH_std,CO_coherent,MgFe_coh,SiFe_coh,AlFe_coh,FeH_coh,age_gyr,coherence_score,n_alpha_coh,L1_CO,L2_CO_plus1,L3_CO_plus2,L4_CO_plus3,L5_all5
Berkeley 22,0.0153961258433165,0.0216737907400129,0.0130970738892082,0.0973572824192113,0.0291363401957074,True,True,True,False,True,2.4547,0.1720151111365291,2,True,True,True,False,False
Trumpler 26,0.0159468399116884,0.0330833049475628,0.0047388651415959,0.0420076948701072,0.0422157707498039,True,False,True,True,False,0.2512,0.1570421157140694,2,True,True,True,False,False
Teutsch 51,0.0223144472813628,0.0212779341485203,0.0484396315511695,0.0419951616235134,0.0168894946638435,True,True,False,True,True,0.6761,0.2006742853606617,2,True,True,True,False,False
NGC 1193,0.0240909495919354,0.0135739682418468,0.002628661663312,0.0949592316640929,0.0179332677353199,True,True,True,False,True,5.1286,0.121364770403393,2,True,True,True,False,False
Berkeley 21,0.0273783486529784,0.0298050514364536,0.0392645901290259,0.0450389897740398,0.0214197145172385,True,True,False,True,True,2.138,0.2107545828954391,2,True,True,True,False,False
FSR 0937,0.0277457722483623,0.0235317924979122,0.0092835039378099,0.0550551925947656,0.0419758768024365,True,True,True,False,False,1.2023,0.1644574533663469,2,True,True,True,False,False
Berkeley 17,0.0281938885703554,0.017567650835708,0.0150984691930474,0.0364298089009996,0.0318636976040132,True,True,True,True,False,7.2444,0.1384868358932885,3,True,True,True,True,False
Trumpler 5,0.0282342914867475,0.0289981198718453,0.0121686676097728,0.0476231516040502,0.014460977990594,True,True,True,True,True,4.2658,0.1417536602190064,3,True,True,True,True,True
IC 1369,0.0296849332894809,0.0106732696532146,0.007562827426611,0.0367498760587479,0.0386135626475119,True,True,True,True,False,0.2884,0.1169244844089349,3,True,True,True,True,False
Berkeley 98,0.0319668678280042,0.020813171387249,0.0083064020619339,0.015573230504084,0.0155164114730178,True,True,True,True,True,2.4547,0.097189415753589,3,True,True,True,True,True
NGC 2447,0.0325129157075436,0.0021564908416223,0.0067182579835351,0.0168814637036217,0.0131227115465262,True,True,True,True,True,0.5754,0.0512626936065228,3,True,True,True,True,True
NGC 4337,0.0343986525745148,0.0190032672622,0.0156552259235283,0.0406010480608403,0.0305977119696518,True,True,True,True,False,1.4454,0.1489492425891878,3,True,True,True,True,False
Czernik 21,0.0346484280225236,0.0190533009160468,0.0201474866111781,0.0246273027518978,0.0080142394107821,True,True,True,True,True,2.5704,0.1183853978409038,3,True,True,True,True,True
NGC 6866,0.0378718155413552,0.0168408015656025,0.0047268908537727,0.020673772186208,0.0157553783724111,True,True,True,True,True,0.6457,0.0890446690694484,3,True,True,True,True,True
NGC 6791,0.039967083813013,0.0231271294660685,0.0235589015878394,0.0544000752057383,0.053440077681601,True,True,True,False,False,6.3096,0.2196552763707285,2,True,True,True,False,False
Trumpler 20,0.0409114085256241,0.0141150143803496,0.0142250096996163,0.0333062159021758,0.0222897470441755,True,True,True,True,True,1.8621,0.1241639311364253,3,True,True,True,True,True
Berkeley 53,0.0415354253133476,0.0334392681418797,0.0194155619065031,0.0645949921455914,0.0281694054005235,True,False,True,False,True,0.9772,0.2079150005724083,1,True,True,False,False,False
NGC 2243,0.0429668179264956,0.0307736508451722,0.0279466867622838,0.0450200588679443,0.0291493319371294,True,False,True,True,True,4.3652,0.2098910137013853,2,True,True,True,False,False
King 5,0.0448009767799718,0.0032073401490801,0.0218312551210919,0.0457297492769582,0.0234804633330207,True,True,True,True,True,1.0233,0.1307467572296425,3,True,True,True,True,True
ESO 211 03,0.0461896754247409,0.0151496968677839,0.0201056363776675,0.0224854116668211,0.0270314267368293,True,True,True,True,True,1.2882,0.1423439431036755,3,True,True,True,True,True
NGC 6811,0.047780086274881,0.01756429819607,0.0135211228891522,0.0519077601447432,0.041741489344493,True,True,True,False,False,1.0715,0.1740775811175736,2,True,True,True,False,False
