cluster,mg_fe_std,mg_fe_mean,mg_fe_n,si_fe_std,si_fe_mean,si_fe_n,ba_fe_std,ba_fe_mean,ba_fe_n,ce_fe_std,ce_fe_mean,ce_fe_n,eu_fe_std,eu_fe_mean,eu_fe_n,alpha_scatter,sproc_scatter,alpha_sproc_ratio,age_gyr
ASCC_16,0.08346764216078882,0.033851250537037046,27,0.10173676116985385,0.03171142627407408,27,0.16345535218715668,0.015932895243167877,27.0,0.14643311500549316,0.028733029961586,24.0,0.26592904329299927,0.23907604813575745,21.0,0.09260220166532133,0.15494424104690552,0.5976485543421283,0.0134896323805684
ASCC_21,0.09120165994455036,0.08095090427217393,23,0.08529861765942735,0.10099545786956524,23,0.1969713568687439,0.11272286623716354,23.0,0.09469253569841385,0.09680499881505966,18.0,0.1908492147922516,0.28078773617744446,17.0,0.08825013880198886,0.14583194255828857,0.6051495800840447,0.0089125054671134
ASCC_29,0.06034913199071946,0.022701716535714286,28,0.10096735829506968,0.08761718907142857,28,0.23662938177585602,0.16721074283123016,28.0,0.1230165958404541,0.08475904911756516,15.0,0.16251569986343384,0.16743981838226318,23.0,0.08065824514289457,0.17982298135757446,0.4485424751272878,0.0933253849940474
ASCC_32,0.07444177085752504,0.06790404525,8,0.06604586914692923,0.0792922690875,8,0.143684983253479,0.016574323177337646,8.0,0.23589782416820526,0.04378506541252136,5.0,0.26587796211242676,0.22902312874794006,7.0,0.07024382000222713,0.18979141116142273,0.37011063657924365,0.0251188698309886
ASCC_41,0.06439827139729579,0.026311951599999994,5,0.11000767542265148,0.1273524836,5,0.20969286561012268,0.20579580962657928,5.0,0.08788745850324631,0.010583321563899517,5.0,0.16913895308971405,0.13373920321464539,5.0,0.08720297340997363,0.1487901657819748,0.5860802221146382,0.2137961713919407
ASCC_58,0.06476798701567894,0.010150288392857143,14,0.06970718885704814,0.09047586214285716,14,0.199715718626976,0.08753141015768051,14.0,0.10013492405414581,0.058153558522462845,7.0,0.19747629761695862,0.19834481179714203,13.0,0.06723758793636354,0.1499253213405609,0.44847386242135096,0.0524807206714521
ASCC_66,0.10170568602474943,0.05065681071416667,12,0.09818622341000453,0.08627621841666668,12,0.19593870639801025,0.11559896916151047,12.0,0.09893202781677246,0.01768035627901554,8.0,0.13651113212108612,0.1069938987493515,9.0,0.09994595471737698,0.14743536710739136,0.6778967399631917,0.0588843629494562
ASCC_67,0.05690163881576875,0.01924919491666667,12,0.07283097418056128,0.06237891311666668,12,0.19834004342556,0.14724914729595184,12.0,0.03948210924863815,0.048731423914432526,5.0,0.17462804913520813,0.15641187131404877,11.0,0.06486630649816502,0.11891107261180878,0.5455026607145692,0.0371535375952047
ASCC_71,0.0843957572389048,-0.010506262938461538,13,0.09221591225834928,0.07048363869230768,13,0.15527638792991638,0.058362528681755066,13.0,0.08511862903833389,0.029791558161377907,8.0,0.12596333026885986,0.15188167989253998,10.0,0.08830583474862705,0.12019750475883484,0.7346727781562897,0.1288248533293804
ASCC_77,0.05213906143407991,0.06913223814375,16,0.06168329885202126,0.0727156205375,16,0.20943942666053772,-0.11142219603061676,16.0,0.10188768804073334,0.0027460046112537384,6.0,0.19163878262043,0.1223808005452156,13.0,0.056911180143050584,0.15566354990005493,0.36560376645393783,0.0812830230578909
ASCC_79,0.047664099495454124,-0.004471082188235297,17,0.033600779977212905,0.06562294782352941,17,0.1846352070569992,-0.013801406137645245,17.0,0.08476964384317398,0.04452517256140709,7.0,0.23129040002822876,0.1358521282672882,17.0,0.040632439736333514,0.1347024291753769,0.30164593159215997,0.0186208705488312
