cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
NGC_2362,3,0.4903,0.003,0.0,-0.001,0.177,50.19,20.12,0.0057544024060553,<0.1,8.534666877063838,-0.04993563195983046,0.04993563195983046
Alessi_15,4,0.4456,0.0122,0.0,-0.117,0.115,31.43,37.01,0.0338844319835388,<0.1,8.202238920795722,0.01922153243530697,0.01922153243530697
Melotte_25,3,0.4542,0.0229,0.0,-0.159,0.164,56.61,19.86,0.794327537013272,0.5-1,27.785061263623795,-7.518410591434837,7.518410591434837
Trumpler_35,6,0.4146,0.0249,0.0,-0.085,0.155,15.72,22.33,0.0389045281683994,<0.1,7.842330215732276,0.019856122004713636,0.019856122004713636
Collinder_268,3,0.5135,0.0262,0.0,0.014,0.238,-38.04,37.67,0.239883355113592,0.1-0.3,7.920437456029114,-0.006761945660917864,0.006761945660917864
FSR_1085,3,0.4045,0.0291,0.0,-0.205,0.168,67.2,39.88,0.0575440240605537,<0.1,8.626311614800327,0.025149437221564507,0.025149437221564507
UBC_80,4,0.3686,0.0298,0.0,-0.183,0.117,56.97,16.15,0.0295120780093289,<0.1,8.550784430638938,-0.024825585770854846,0.024825585770854846
UBC_291,6,0.4917,0.0305,0.0,0.102,0.112,-8.14,22.24,0.0251188698309886,<0.1,7.946696797476468,0.01659573496994503,0.01659573496994503
Tombaugh_2,5,0.4527,0.0309,0.0,-0.141,0.135,86.73,23.25,1.621810239813303,1-2,8.169616729941797,0.01145789267854646,0.01145789267854646
NGC_5460,16,0.4138,0.0318,0.0,0.057,0.13,1.86,28.84,0.1584892496402718,0.1-0.3,7.242421685147959,0.3126948723696356,0.3126948723696356
Pismis_21,11,0.2142,0.0329,0.0,-0.046,0.285,-21.08,27.76,,,7.900957576031137,0.011125509490168387,0.011125509490168387
NGC_2660,6,0.399,0.0336,0.0,-0.154,0.198,28.68,27.19,0.9332548746146908,0.5-1,8.149605102120955,0.0046891500145437755,0.0046891500145437755
NGC_2547,7,0.4762,0.0347,0.0,-0.022,0.091,31.28,27.91,0.0323593827469971,<0.1,8.736343850741868,-0.36013689696909396,0.36013689696909396
