cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
NGC_2362,3,0.4903,0.003,0.0,-0.001,0.177,50.19,20.12,0.0057544024060553,<0.1,8.90285848374642,-0.10767849107429918,0.10767849107429918
Alessi_15,4,0.4456,0.0122,0.0,-0.117,0.115,31.43,37.01,0.0338844319835388,<0.1,18.22217811533348,-0.16170289798740162,0.16170289798740162
Melotte_25,3,0.4542,0.0229,0.0,-0.159,0.164,56.61,19.86,0.794327537013272,0.5-1,8.166310724089486,0.0037999426933571813,0.0037999426933571813
Trumpler_35,6,0.4146,0.0249,0.0,-0.085,0.155,15.72,22.33,0.0389045281683994,<0.1,5.560827271861065,0.01152456053609555,0.01152456053609555
Collinder_268,3,0.5135,0.0262,0.0,0.014,0.238,-38.04,37.67,0.239883355113592,0.1-0.3,6.885052948520525,-0.1954586262812408,0.1954586262812408
FSR_1085,3,0.4045,0.0291,0.0,-0.205,0.168,67.2,39.88,0.0575440240605537,<0.1,9.568744926744355,0.03304448566946454,0.03304448566946454
UBC_80,4,0.3686,0.0298,0.0,-0.183,0.117,56.97,16.15,0.0295120780093289,<0.1,10.195564293167282,-0.19766207437361363,0.19766207437361363
UBC_291,6,0.4917,0.0305,0.0,0.102,0.112,-8.14,22.24,0.0251188698309886,<0.1,6.759559517169079,-0.023808059820846255,0.023808059820846255
Tombaugh_2,5,0.4527,0.0309,0.0,-0.141,0.135,86.73,23.25,1.621810239813303,1-2,18.63704257238776,-1.476092696916126,1.476092696916126
NGC_5460,16,0.4138,0.0318,0.0,0.057,0.13,1.86,28.84,0.1584892496402718,0.1-0.3,7.616977130980759,0.18336118978037177,0.18336118978037177
Pismis_21,11,0.2142,0.0329,0.0,-0.046,0.285,-21.08,27.76,,,5.893766737921736,-0.09423555897540574,0.09423555897540574
NGC_2660,6,0.399,0.0336,0.0,-0.154,0.198,28.68,27.19,0.9332548746146908,0.5-1,8.95663408095191,-0.14903102109816382,0.14903102109816382
NGC_2547,7,0.4762,0.0347,0.0,-0.022,0.091,31.28,27.91,0.0323593827469971,<0.1,8.168708281698768,-0.037645544656048316,0.037645544656048316
ASCC_41,5,0.4606,0.0356,0.0,-0.19,0.217,39.76,34.1,0.2137961713919407,0.1-0.3,8.349678145053717,0.08510090543558363,0.08510090543558363
NGC_2658,4,0.4574,0.0362,0.0,-0.187,0.164,39.79,15.55,0.5011870135142811,0.5-1,10.641761638430182,0.5611096317872798,0.5611096317872798
