source_id,ra,dec,pmra,pmdec,parallax,pmra_error,pmdec_error,parallax_error,radial_velocity,phot_g_mean_mag,bp_rp,age_flame,age_flame_lower,age_flame_upper,mass_flame,teff_gspspec,mh_gspspec,alphafe_gspspec,gaiadr3_source_id,C_O,mg_fe,si_fe,fe_h,al_fe,ba_fe,rv_comp_1,teff,logg
6010201041592459776,239.77098015089126,-37.72168799954026,-4.163926066187974,-3.882240244024175,0.44204006775585936,0.016060123,0.01294514,0.015120708,-22.327732,13.171731,1.8033476,0.45451364,0.40913123,0.49989602,2.803524,4587.0,0.29,-0.09,6010201041592459776,0.6658119175559908,0.029391646,0.107009426,0.20281097,0.097373396,-0.13138431,-21.596403,4592.498,2.4221792
6031577746668179328,248.9050430267116,-30.339129738078434,-3.2794229318073196,-4.631458383591331,0.5915357540177858,0.018979032,0.014481868,0.016168958,-34.639893,13.13277,1.7855139,0.5568691,0.50012267,0.6136155,2.6022792,,,,6031577746668179328,0.6675816359355932,0.049621813,0.106741175,0.20600975,0.13753086,-0.18401222,-33.573277,4591.253,2.6442273
6722185810424359808,278.7639495404261,-43.33262050386195,-3.8095294500320582,-3.405091049573954,0.6033223515657351,0.013951976,0.011979961,0.011930718,-26.632639,13.117997,1.3052444,,,,,,,,6722185810424359808,0.6160918197889197,0.016837299,0.030244742,0.20607772,0.14207363,-0.20559192,-27.16478,4683.9263,2.9864194
4469771953851497216,269.48814135435543,4.159614725696889,-3.738361728841982,-3.885596137599556,0.4137138480118444,0.016365316,0.013549324,0.015145442,-28.41133,12.639382,1.5640144,0.41301945,0.37214518,0.45389763,2.903022,4489.0,0.36,-0.07,4469771953851497216,0.5953143131839526,0.04312081,0.109980166,0.2251727,0.07106665,-0.26859042,-26.933561,4448.151,2.3056984
6242608108581952768,243.50262335597094,-22.70366712565445,-7.109758447585366,-6.446263519771453,0.46311097268350954,0.016412387,0.01191731,0.014526877,-19.065254,12.81556,1.5238752,,,,,4561.0,0.16,-0.11,6242608108581952768,0.6890173286254113,0.010860518,0.06424084,0.18190506,0.076167524,-0.14262389,-18.998283,4581.899,2.424554
6107480019315556608,208.58176876141442,-46.06700667886274,-6.950469008443818,-4.522566542192892,0.5134175699641366,0.01756253,0.013706001,0.019084869,-33.1522,12.239517,1.4238167,,,,,4435.0,0.24,-0.1,6107480019315556608,0.575243452871844,0.04134419,0.053914007,0.28402942,0.06506544,-0.26981795,-33.236137,4459.979,2.357962
6008722610772411392,236.46382048746747,-38.86178473481076,-4.922846026028612,-4.628519294603736,0.3928320842901925,0.018243315,0.014991462,0.016696643,-34.02378,13.505597,1.7310104,,,,,,,,6008722610772411392,0.5831738551416065,0.013410538,0.059340905,0.24583647,0.06668383,-0.15935089,-34.473507,4526.973,2.4266267
4472066840783192576,272.7636116823281,6.948601858921356,-1.95202247616595,-4.400214899860248,0.4783966649635555,0.01636394,0.015939534,0.016401434,-17.407156,12.721634,1.6464157,,,,,4241.0,0.18,-0.09,4472066840783192576,0.6322201834457554,-0.0012864098,0.11682543,0.15075336,0.11858666,-0.11695009,-17.285147,4411.342,2.312771
6001564755723649792,232.9462569267523,-42.491398127549914,-5.812766895653278,-3.432137790313253,0.7285436366145963,0.023708727,0.017960189,0.02023568,-20.45736,11.539646,1.4106436,,,,,4528.0,0.17,-0.09,6001564755723649792,0.6212998309564608,0.027435407,0.082038075,0.2708421,0.11770949,-0.027895954,-20.479229,4617.9326,2.4743252
6086459762173563264,196.5086635827156,-46.155947836816985,-3.2269107370102503,-6.0081479559664155,0.5045873656942645,0.012404996,0.008685041,0.012092705,-21.290947,12.504957,1.4016886,,,,,4496.0,0.07,-0.12,6086459762173563264,0.6825745987342762,0.06293247,0.10810709,0.21017191,0.10700002,-0.044947293,-21.770342,4598.528,2.4580216
6117025292073190912,212.6083393784515,-39.89143681356951,-3.8484127244880306,-4.440442464645333,0.5173497929675744,0.016821545,0.017422121,0.015435476,-21.932554,12.369631,1.4118776,,,,,4498.0,0.08,-0.09,6117025292073190912,0.7000477731444946,0.04064908,0.040722173,0.2513822,0.042419255,-0.062001918,-21.641565,4483.432,2.3919206
6032097914430713600,249.7389041952663,-29.416565714675436,-4.805700023211476,-2.755474324791805,0.6219863941137618,0.016114859,0.0117835775,0.013265096,-27.548254,12.346981,1.676568,,,,,4642.0,0.14,-0.09,6032097914430713600,0.6074190083518043,-0.007255465,0.030875843,0.14204225,0.09236184,0.09809642,-26.897198,4625.361,2.4284642
4114964873029504512,259.3842496885834,-22.033315000994364,-2.8784957489979512,-5.602402765123621,0.8916853407200215,0.018009808,0.012508708,0.015890272,-45.943092,11.951704,1.7806702,,,,,4537.0,0.21,-0.07,4114964873029504512,0.5812834865722658,0.04632955,0.10692294,0.2679823,0.07061249,-0.2425794,-45.646873,4517.0757,2.4144578
4445201438083439104,251.00928420591384,8.010450634685892,-4.744984132992187,-3.0223841192773464,0.6644535078646869,0.01582689,0.01244257,0.016147431,-38.360706,12.012389,1.4873934,,,,,4429.0,0.15,-0.07,4445201438083439104,0.673758973560847,0.034178376,0.08629419,0.23369998,0.129273,-0.13292825,-38.2178,4443.727,2.4187152
5916762962924643712,256.98930222680553,-57.900222802852376,-3.0096840559608267,-3.0033057384100044,0.40790837916301625,0.01416469,0.012505878,0.018321265,-25.395731,12.995162,1.5473995,2.6069646,2.329621,2.9092243,1.5435725,4560.0,0.23,-0.12,5916762962924643712,0.6562610702574575,0.01724179,0.038366336,0.27155772,0.037086338,-0.041368924,-25.061356,4580.732,2.4383357
6260855878434612864,236.88461866972855,-17.363139869810226,-3.1105896858688964,-2.976257625179653,0.5366056632922505,0.016815875,0.011656187,0.015078727,-39.592133,12.21882,1.5762968,2.7369368,2.4462929,3.0279932,1.5224895,4316.0,-0.01,-0.06,6260855878434612864,0.6036200106229865,0.024599634,0.112851635,0.20842779,0.069877714,-0.08300394,-39.55331,4404.6265,2.2725475
4236223245886917504,302.2164838779757,-0.83524022758877,-3.7229192040000543,-6.725502300721121,0.5830014463453419,0.015533628,0.011376166,0.015687242,-20.203735,12.890812,1.4645529,2.0214577,1.7672436,2.2382417,1.6649219,4770.0,0.43,-0.07,4236223245886917504,0.6835814444415685,0.009761967,0.085808784,0.14791295,0.1428164,-0.15727462,-19.955935,4569.6807,2.6886737
4127574214133424256,255.80176968220778,-21.614140478720532,-2.9604869576998696,-4.241879685101127,0.37901289990130194,0.0202067,0.014418237,0.017709611,-40.978203,13.309024,1.5940084,,,,,,,,4127574214133424256,0.6525297030093481,-0.01492817,0.07999438,0.19585797,0.06967881,-0.10242599,-40.50738,4610.1113,2.4603214
4129406855178907520,256.6695950135716,-18.412188116636248,-5.150774202302932,-6.596716706525766,0.7645883422403603,0.018135626,0.013118538,0.015191723,-27.045921,11.880268,1.6043005,,,,,4508.0,0.19,-0.11,4129406855178907520,0.724990741508016,0.037812606,0.073646754,0.18289454,0.14020312,0.01922135,-26.384123,4581.301,2.4246511
5818304823386105088,253.97379808583628,-62.10537675634077,-3.5770881601199753,-4.168772415450929,0.3499160925127305,0.012250553,0.011277841,0.01340986,-24.879461,13.32595,1.5622263,,,,,,,,5818304823386105088,0.6805772143158584,-0.0054885074,0.124488294,0.28823358,0.12575969,-0.29653686,-27.306925,4384.0435,2.407099
5777689619760490240,255.87122596139523,-77.04924625042896,-5.0734685755539735,-7.107289357720178,0.5271825806761733,0.0084427595,0.009587487,0.009286439,-29.042183,12.40365,1.3663702,0.55621547,0.4024505,0.8372386,2.6036818,4535.0,0.0,-0.12,5777689619760490240,0.7126664045979738,-0.01784183,0.0485412,0.13276267,0.09296346,-0.07377092,-28.243553,4628.247,2.5205076
5782385599566314624,240.82121821833329,-73.9887884845758,-2.366070932898997,-6.565834082962501,0.6078290988140719,0.009131663,0.011133205,0.011149981,-24.554848,11.787053,1.3744383,,,,,4596.0,0.12,-0.08,5782385599566314624,0.5902047065751966,0.037310176,0.074648246,0.20980152,0.10995236,0.0018336102,-25.03281,4660.9487,2.4657633
6040602469376714880,238.34097040196446,-30.363466692749977,-5.482157548116342,-2.7363602422571676,0.37808495213653576,0.016408468,0.0105696125,0.015361363,-43.45658,13.144704,1.44242,0.62014174,0.5564458,0.6838378,2.5039725,,,,6040602469376714880,0.6989991179978302,-0.024105027,0.08644499,0.16333011,0.074236125,-0.046772428,-43.448208,4607.895,2.502808
4128492993540966912,256.4202773111914,-19.335100293257316,-4.374570313733559,-3.791572654475205,0.6348674994698178,0.063943125,0.046874084,0.055694636,-40.187492,12.217896,1.5062466,0.502684,0.43318558,0.70176244,2.7033553,4453.0,0.06,-0.06,4128492993540966912,0.6920995031246077,0.022515655,0.0681286,0.13547423,0.040103182,-0.14332841,-39.95264,4549.0483,2.4518514
6265466650387964800,234.38022339320608,-14.242136447554008,-3.236793733699993,-4.89310804301652,0.8089214601267009,0.022216247,0.016773742,0.016054744,-23.022535,11.442283,1.4675207,,,,,4476.0,0.04,-0.05,6265466650387964800,0.6271989598634718,0.039081603,0.07176052,0.15539047,0.13870496,-0.03363636,-22.95093,4574.089,2.4148366
4141578143959168896,258.1795104423951,-12.55272699818955,-3.2779752802756907,-3.3250878822230527,0.5680240597400669,0.01800331,0.013450887,0.015983256,-44.21578,13.096484,1.8980942,0.45513263,0.40967435,0.5203979,2.8019638,,,,4141578143959168896,0.5770139699037016,0.052721985,0.09352572,0.138255,0.10976088,-0.1322377,-44.34537,4672.0566,2.4752884
5803823464964563968,263.37583765985175,-72.39427283711395,-1.8379040782331169,-6.413558038023872,0.3194476215487306,0.009345205,0.010397544,0.0115997605,-25.931692,13.17737,1.3644304,,,,,,,,5803823464964563968,0.6470933421472259,0.06602108,0.072563216,0.16463418,0.091891944,0.086580865,-25.12253,4573.847,2.431135
5823219674731013376,232.00432487850333,-68.47268972807592,-3.2753396264786154,-3.6278126461290294,0.35804730556065756,0.010053228,0.01464405,0.015850024,-26.935797,12.983554,1.5086756,3.9931552,3.5021813,4.5251913,1.3613244,4331.0,0.25,-0.08,5823219674731013376,0.6771807443674306,0.007636048,0.12413171,0.27827993,0.13993296,-0.4741945,-26.486729,4392.7627,2.316794
4127662656103722240,255.86354389701035,-21.13637612398525,-2.647019451753108,-6.92076344394895,0.39520284811424694,0.018750615,0.012924308,0.016593596,-26.52538,13.116039,1.6018591,,,,,,,,4127662656103722240,0.690393426193512,0.008549646,0.08607826,0.16488698,0.09541115,-0.26977143,-26.028833,4620.266,2.4427266
6046906691108403072,252.50316791207706,-24.262862164596445,-5.087618702270122,-5.650934255485701,0.631664496475843,0.016003795,0.011399326,0.013498943,-17.423569,12.046595,1.7595663,,,,,4375.0,0.14,-0.06,6046906691108403072,0.6149050028262765,0.047044925,0.09933537,0.19963768,0.1343101,0.09255833,-17.181385,4340.595,2.177904
