source_id,ra,dec,pmra,pmdec,parallax,pmra_error,pmdec_error,parallax_error,radial_velocity,phot_g_mean_mag,bp_rp,age_flame,age_flame_lower,age_flame_upper,mass_flame,teff_gspspec,mh_gspspec,alphafe_gspspec,gaiadr3_source_id,C_O,mg_fe,si_fe,fe_h,al_fe,ba_fe,rv_comp_1,teff,logg
4471245741808979584,270.84143164527006,4.518050677415098,-2.819883293583904,-2.876686167093454,0.5387092475758001,0.01285575,0.011784395,0.012477578,-53.187046,12.350549,1.4724207,4.198148,3.7669446,4.61244,1.3414217,4588.0,0.09,-0.12,4471245741808979584,0.5806235157493527,0.021891281,0.066376984,0.15283966,0.07135686,-0.031120246,-53.70858,4682.6997,2.4740872
5916762962924643712,256.98930222680553,-57.900222802852376,-3.0096840559608267,-3.0033057384100044,0.40790837916301625,0.01416469,0.012505878,0.018321265,-25.395731,12.995162,1.5473995,2.6069646,2.329621,2.9092243,1.5435725,4560.0,0.23,-0.12,5916762962924643712,0.6562610702574575,0.01724179,0.038366336,0.27155772,0.037086338,-0.041368924,-25.061356,4580.732,2.4383357
4073198141469309184,282.1472734554971,-25.74560193699254,-1.673909970106895,-5.132762905723464,0.552049119458359,0.024260238,0.018785363,0.021443505,-7.443124,13.910926,1.5229874,5.8736334,5.2893577,6.87202,1.2131912,,,,4073198141469309184,0.6672477506998087,-0.021899454,0.07098454,0.15667957,0.09916648,-0.047025725,-8.198368,4766.761,3.086083
6097157426195214848,210.57284789369973,-44.63594563350087,-2.7553306670834785,-3.1565956878978976,0.40973291338860013,0.017798599,0.017638847,0.018324662,9.596032,12.662319,1.4082117,4.3061066,3.8693724,4.729374,1.3319023,,,,6097157426195214848,0.6103398806827505,0.018445618,0.06435776,0.27039313,0.086459845,-0.17418389,9.177967,4523.9106,2.389585
6260855878434612864,236.88461866972855,-17.363139869810226,-3.1105896858688964,-2.976257625179653,0.5366056632922505,0.016815875,0.011656187,0.015078727,-39.592133,12.21882,1.5762968,2.7369368,2.4462929,3.0279932,1.5224895,4316.0,-0.01,-0.06,6260855878434612864,0.6036200106229865,0.024599634,0.112851635,0.20842779,0.069877714,-0.08300394,-39.55331,4404.6265,2.2725475
4236223245886917504,302.2164838779757,-0.83524022758877,-3.7229192040000543,-6.725502300721121,0.5830014463453419,0.015533628,0.011376166,0.015687242,-20.203735,12.890812,1.4645529,2.0214577,1.7672436,2.2382417,1.6649219,4770.0,0.43,-0.07,4236223245886917504,0.6835814444415685,0.009761967,0.085808784,0.14791295,0.1428164,-0.15727462,-19.955935,4569.6807,2.6886737
6102504802219437952,216.12658690113665,-43.75811026966979,-2.8396432708036348,-3.355076504564165,0.36447906861825574,0.020370878,0.020748597,0.018301442,18.37348,12.973775,1.3957548,4.7901278,4.309022,8.694464,1.2915014,,,,6102504802219437952,0.6762453852250345,0.06123864,0.07034822,0.16990796,0.15017983,-0.073694155,17.791483,4611.145,2.446027
4359779731185092480,258.16631289566647,-8.698830124029048,-2.5478432668098163,-5.426830580164212,0.447979686127112,0.020840038,0.01633964,0.018917713,7.1243806,13.583115,2.0014963,5.334771,4.678386,7.7605257,1.2526757,,,,4359779731185092480,0.6164033175174547,-2.4810433e-06,0.07125889,0.27617422,0.08927134,0.16526237,6.706895,4481.3325,2.3961427
6104843119854020096,219.8221371467621,-40.4348906158993,-5.224318826577852,-7.1631499935600775,0.4115556986757316,0.020865183,0.018891644,0.022447111,7.6184373,12.917221,1.3678579,5.2955637,4.7804413,6.012699,1.25579,,,,6104843119854020096,0.5914092439773065,0.03302738,0.052252945,0.16667941,0.118965,0.01604335,8.930536,4624.365,2.4970376
6728060840349794944,275.9936629797807,-36.84467304379432,-3.9594077896634947,-3.7579622597652307,0.548648494118027,0.014970231,0.011486208,0.0132255955,24.602154,12.240189,1.4462061,2.5883877,2.3067894,2.8806324,1.5477972,4291.0,-0.11,-0.13,6728060840349794944,0.7274241771391333,0.03701227,0.09875703,0.19828075,0.10876423,-0.020262338,25.138384,4562.554,2.405018
