group,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,mg_mean,umap1_mean,umap2_mean,rv_mean,rv_std,parallax_mean
0,218,0.4391,0.0645,0.0,-0.27,0.047,0.066,8.909,-1.171,1.14,35.34,0.803
1,104,0.4855,0.0681,0.0,0.043,0.069,0.004,13.868,0.92,-6.15,34.9,0.86
2,96,0.4958,0.0585,0.0,0.065,0.069,0.06,13.473,0.932,-3.15,38.03,0.841
3,74,0.454,0.0561,0.0,-0.12,0.046,0.032,12.261,0.69,-1.66,34.2,0.877
4,141,0.45,0.0377,0.0,-0.162,0.057,0.047,12.617,-0.056,4.29,35.34,0.845
5,65,0.4735,0.0402,0.0,-0.168,0.047,0.038,12.31,0.173,6.04,32.3,0.778
6,54,0.4954,0.0526,0.0,-0.019,0.028,-0.059,14.501,-0.056,1.58,34.45,0.791
7,201,0.345,0.0614,0.0,-0.412,0.078,0.112,5.968,-1.953,-4.14,41.27,0.677
8,55,0.5085,0.0265,0.0,0.005,0.022,-0.063,14.742,-0.013,2.26,35.7,0.769
9,456,0.4617,0.0406,0.0,-0.17,0.047,0.015,13.033,-0.509,1.75,37.95,0.777
10,88,0.1818,0.1116,0.06459999829530716,-1.109,0.083,0.384,-1.723,0.912,64.27,43.98,0.619
11,83,0.4384,0.052,0.0,-0.092,0.046,0.014,13.347,0.109,15.09,36.41,0.809
12,267,0.5788,0.0714,0.0,0.233,0.079,-0.072,15.317,0.477,-2.14,36.28,0.773
13,363,0.5534,0.1027,0.0,0.116,0.078,-0.029,14.398,0.918,-2.87,36.02,0.874
14,119,0.5158,0.044,0.0,0.053,0.03,-0.068,15.035,0.161,-2.02,35.16,0.843
15,173,0.5548,0.1261,0.06880000233650208,0.044,0.071,-0.024,14.369,0.359,-3.5,39.19,0.758
16,113,0.6333,0.0835,0.0,0.213,0.054,-0.044,14.91,0.75,-3.65,30.64,0.905
17,177,0.5032,0.0707,0.02370000071823597,-0.047,0.051,-0.064,14.093,-0.186,-3.41,37.01,0.718
18,93,0.4544,0.0481,0.0,-0.094,0.036,-0.022,13.715,-0.283,-7.92,33.76,0.788
19,102,0.3518,0.1101,0.0649000033736229,-0.035,0.088,0.01,13.749,-0.051,9.27,32.74,0.943
20,216,0.5398,0.0846,0.0,0.105,0.089,-0.034,14.646,0.595,2.56,36.1,0.853
21,70,0.544,0.0585,0.0,0.126,0.097,-0.036,14.786,0.41,3.58,38.32,0.822
22,64,0.1464,0.0437,0.0,-0.868,0.138,0.301,-0.681,0.37,23.9,87.19,0.739
23,73,0.404,0.0413,0.0,-0.348,0.056,0.081,7.184,-1.917,-3.78,38.79,0.678
24,122,0.4563,0.1337,0.09780000150203705,0.118,0.093,-0.178,15.341,4.836,0.47,26.95,0.93
25,68,0.4593,0.0441,0.0,-0.154,0.048,0.034,12.03,0.433,9.22,32.61,0.865
26,156,0.4368,0.0261,0.0,-0.26,0.033,0.041,8.261,-1.907,-1.5,36.68,0.762
27,79,0.3837,0.0646,0.0,-0.132,0.095,0.157,4.276,2.795,10.16,42.21,1.105
28,71,0.328,0.0763,0.0,-0.495,0.081,0.17,4.335,-1.176,-2.41,56.51,0.686
29,117,0.5024,0.0614,0.0,0.109,0.11,0.076,6.424,4.586,8.08,39.76,0.945
30,281,0.4634,0.0739,0.0,0.03,0.075,0.076,7.141,3.824,2.41,38.53,1.015
31,237,0.4295,0.0876,0.0,-0.045,0.106,0.124,6.293,3.347,4.02,44.96,0.976
32,51,0.7488,0.0854,0.0,0.253,0.052,0.133,7.315,7.579,-2.24,35.94,1.19
33,84,0.3783,0.0642,0.0,-0.155,0.062,0.079,6.052,2.174,0.22,35.82,1.051
34,67,0.3653,0.0964,0.0,-0.187,0.091,0.12,5.194,2.023,8.25,43.33,0.972
35,68,0.6601,0.0809,0.0,0.119,0.054,0.07,6.8,6.759,10.19,37.95,0.97
36,231,0.531,0.0683,0.0,-0.007,0.062,0.163,5.133,4.645,4.21,42.17,1.059
37,140,0.4579,0.0836,0.0,-0.03,0.076,0.13,5.401,4.084,6.38,47.81,1.155
38,124,0.4802,0.0705,0.0,0.024,0.079,0.132,5.617,4.379,3.23,37.83,1.336
39,67,0.3898,0.081,0.0,-0.184,0.066,0.141,4.448,2.476,4.34,44.16,0.952
40,93,0.4533,0.0473,0.0,-0.286,0.078,0.09,8.939,-0.835,5.15,31.77,0.763
41,54,0.3086,0.0384,0.0,-0.526,0.038,0.155,5.227,-2.14,5.2,55.61,0.656
42,268,0.3206,0.0659,0.0,-0.491,0.097,0.164,5.02,-1.877,4.93,55.84,0.696
43,161,0.2141,0.1016,0.08839999884366989,-0.536,0.115,0.19,4.385,-1.591,6.66,67.39,0.651
44,58,0.2623,0.056,0.0,-0.621,0.12,0.202,4.56,-1.984,5.25,77.62,0.645
45,167,0.2187,0.0775,0.05510000139474869,-0.803,0.303,0.269,4.303,-1.965,4.66,75.26,0.659
46,63,0.3702,0.0664,0.0,-0.152,0.085,0.073,6.282,2.016,1.18,41.09,1.064
47,72,0.3775,0.0877,0.0,0.014,0.071,-0.02,13.586,1.917,1.67,31.92,1.006
48,137,0.4079,0.0813,0.0,-0.035,0.063,-0.009,13.163,1.303,-2.86,28.41,0.991
49,235,0.6506,0.096,0.0,0.324,0.063,-0.056,12.264,7.344,9.82,31.44,1.38
50,97,0.4566,0.0489,0.0,0.043,0.085,-0.018,13.967,2.245,-3.1,30.73,1.084
51,74,0.3415,0.0902,0.04320000112056732,-0.095,0.049,0.011,12.708,1.195,3.52,29.21,1.092
52,109,0.4058,0.0996,0.0,-0.016,0.065,0.093,6.729,3.563,0.25,45.99,1.047
53,68,0.4426,0.0671,0.0,0.087,0.131,0.08,6.622,3.958,3.98,34.44,0.961
