group,N,U_mean,U_std,V_mean,V_std,W_mean,W_std,sigma_tot,C_O_std,feh_mean,C_O_mean
410,91,-11.08,25.33,236.12,17.07,-0.28,10.54,32.32,0.0567,-0.014,0.3908
500,140,-17.67,36.58,230.75,19.52,2.53,12.41,43.28,0.0498,0.031,0.4384
50,97,-7.33,35.06,233.29,21.93,1.89,16.43,44.5,0.0597,0.043,0.4744
25,68,-9.72,39.32,232.53,17.4,-0.93,15.53,45.72,0.0567,-0.154,0.469
479,80,-16.66,38.49,232.59,18.69,0.63,16.73,45.95,0.047,-0.066,0.4325
18,93,-21.22,37.38,227.71,23.67,-4.63,17.95,47.75,0.0511,-0.094,0.4689
296,65,-15.41,38.02,235.07,23.87,-2.22,16.89,47.96,0.0495,-0.176,0.4653
408,55,-10.79,37.56,228.07,24.61,-2.98,17.05,48.03,0.0494,0.049,0.4407
214,82,-13.48,36.36,231.03,25.57,4.23,18.75,48.24,0.0447,-0.135,0.4577
94,183,-21.04,40.29,234.16,21.96,1.54,15.6,48.46,0.0555,-0.145,0.4719
455,88,-13.06,38.1,221.59,25.39,-3.0,18.31,49.31,0.0455,0.05,0.5611
252,91,-18.95,39.79,233.02,25.24,4.22,14.8,49.4,0.05,-0.175,0.4988
531,101,-16.65,39.16,216.49,26.12,-1.38,16.55,49.9,0.0542,0.161,0.6458
5,65,-16.35,44.07,232.6,20.27,-0.55,16.64,51.29,0.0553,-0.168,0.484
14,119,-18.96,41.19,220.54,24.41,-0.45,19.27,51.61,0.039,0.053,0.5337
384,60,-5.67,39.54,220.1,25.36,3.64,21.66,51.72,0.0543,-0.026,0.3839
40,93,-13.59,41.02,235.61,23.44,3.09,21.73,52.0,0.0534,-0.286,0.4718
8,55,-6.08,39.75,224.59,28.27,-1.38,18.62,52.21,0.0236,0.005,0.5207
4,141,-17.9,40.96,230.47,25.86,0.14,19.95,52.39,0.045,-0.162,0.4597
430,63,-22.81,42.86,226.66,24.99,-0.49,18.24,52.86,0.0508,0.022,0.3855
219,113,-13.41,40.87,219.54,25.58,1.79,22.47,53.2,0.0584,-0.109,0.4181
256,106,-10.37,43.36,212.99,26.08,2.1,19.25,54.14,0.0512,0.049,0.5392
26,156,-20.44,40.31,230.04,28.08,2.33,23.2,54.33,0.0259,-0.26,0.4375
9,456,-15.81,46.43,228.52,25.33,0.52,20.23,56.62,0.0483,-0.17,0.475
376,54,-12.53,46.12,222.4,26.02,5.84,21.41,57.12,0.0549,-0.008,0.389
343,77,-6.94,44.99,213.9,30.68,-1.78,18.06,57.37,0.0481,0.018,0.4539
65,62,-25.57,40.99,226.26,34.31,0.82,25.91,59.4,0.0311,-0.314,0.4199
86,80,-6.78,47.87,203.94,30.64,-3.79,25.51,62.3,0.0487,0.071,0.6033
64,68,-17.47,50.13,224.93,29.58,-4.7,27.1,64.21,0.0689,-0.277,0.4272
23,73,-29.99,42.35,212.72,42.18,3.08,28.97,66.42,0.038,-0.348,0.4065
106,50,-19.72,51.27,227.83,27.42,-4.48,33.8,67.25,0.0629,-0.419,0.3558
85,53,-19.04,54.73,187.9,31.84,-7.79,41.61,75.77,0.0492,-0.379,0.4276
128,64,-11.8,58.42,183.65,44.13,-3.22,39.73,83.3,0.0553,-0.439,0.2963
150,61,-16.35,62.04,186.19,46.98,1.38,41.34,88.12,0.0556,-0.505,0.3046
153,60,-4.27,66.25,201.08,45.11,6.49,43.48,91.19,0.0499,-0.413,0.2111
136,307,-9.06,65.11,180.58,46.69,3.31,45.32,92.05,0.0455,-0.509,0.215
188,306,-8.89,65.84,176.77,49.57,-3.31,43.13,93.02,0.0597,-0.513,0.2868
41,54,-21.82,68.39,192.31,51.28,-4.06,38.45,93.73,0.0335,-0.526,0.3043
96,83,-14.92,68.07,168.62,46.95,-0.29,45.84,94.55,0.0583,-0.702,0.1778
135,104,-11.86,64.82,191.58,50.07,-1.93,47.91,94.89,0.0472,-0.453,0.2291
134,450,-10.87,70.91,172.92,58.24,-1.89,51.62,105.28,0.0452,-0.625,0.1645
22,64,-12.53,79.84,148.57,65.96,5.37,63.78,121.63,0.0577,-0.868,0.1796
