group,N_uvw,U_mean,U_std,V_mean,V_std,W_mean,W_std,sigma_tot,age_mean,C_O_std,C_O_mean,feh_mean
32,60,-15.75,25.11,235.36,14.8,0.91,8.41,30.34,0.798,0.1136,0.4708,0.011
29,28,-13.71,25.18,242.47,14.67,-0.35,8.71,30.42,0.607,0.0473,0.3116,-0.058
16,25,-11.11,28.16,235.74,9.5,0.07,9.79,31.29,0.699,0.0497,0.3968,0.019
6,35,-13.37,25.95,233.96,13.24,1.35,13.53,32.12,0.657,0.0319,0.3695,-0.066
19,27,-25.04,26.72,222.68,16.27,0.01,7.83,32.25,0.582,0.0776,0.5902,0.133
31,46,-14.61,27.83,233.93,14.5,1.23,8.29,32.46,0.758,0.0473,0.4207,0.037
5,36,-3.02,26.91,232.53,14.78,1.94,10.96,32.6,0.658,0.1407,0.4204,0.156
22,36,-12.3,27.76,237.17,15.01,0.98,8.52,32.69,0.696,0.0342,0.4103,-0.036
3,65,-23.64,26.46,234.52,16.66,-1.47,9.86,32.79,0.762,0.073,0.3845,0.01
20,54,-8.83,27.68,232.6,15.65,1.62,9.29,33.13,0.728,0.0768,0.4132,0.04
7,141,-12.46,28.83,232.13,15.01,1.69,8.28,33.54,0.633,0.0921,0.426,-0.013
4,143,-16.95,27.45,228.89,16.47,0.02,10.43,33.67,0.669,0.1341,0.5198,0.116
14,77,-10.73,27.89,233.27,15.36,1.55,11.36,33.8,0.688,0.0691,0.4612,0.01
11,91,-11.05,27.71,228.06,17.21,2.61,11.16,34.48,0.685,0.0878,0.4052,0.087
23,41,-19.72,30.16,229.29,17.96,-1.15,11.62,36.98,0.708,0.0716,0.4055,-0.009
26,23,-26.94,27.11,226.01,23.76,-5.54,11.84,37.94,0.718,0.0719,0.4259,0.073
18,32,-13.03,33.04,223.46,15.37,-0.98,10.83,38.01,0.698,0.0448,0.4584,0.141
17,53,-11.06,33.06,229.73,16.92,0.99,10.55,38.61,0.742,0.0729,0.4384,0.107
12,47,-10.11,34.46,234.5,13.92,3.78,11.0,38.75,0.611,0.091,0.3632,-0.1
15,76,-21.37,31.05,221.7,18.74,-3.3,14.91,39.21,0.678,0.0974,0.4683,0.163
21,51,-10.18,33.63,216.21,16.42,-2.19,12.74,39.54,0.737,0.0723,0.5075,0.23
1,44,-2.14,33.05,238.55,19.45,0.49,11.78,40.12,0.674,0.0468,0.4495,-0.146
2,23,-19.52,31.02,240.28,21.51,1.46,13.76,40.17,0.704,0.0503,0.3341,-0.126
30,21,-13.08,39.06,236.87,11.99,1.29,11.54,42.46,0.694,0.0411,0.317,-0.077
10,63,-15.05,34.55,233.41,19.26,1.26,16.15,42.73,0.646,0.066,0.3901,-0.057
25,30,-4.4,35.0,224.74,19.35,1.45,17.37,43.6,0.753,0.0495,0.44,0.054
0,42,-18.53,33.67,236.05,23.07,-3.63,15.55,43.68,0.646,0.0623,0.3469,-0.12
28,54,-18.05,39.1,219.34,18.11,2.92,12.89,44.98,0.709,0.0886,0.4898,0.174
27,25,1.05,37.79,206.98,26.64,0.71,20.41,50.54,0.746,0.0492,0.4931,0.156
24,25,-17.17,44.82,235.24,15.14,2.99,22.68,52.47,0.732,0.0436,0.4047,0.01
9,86,-11.83,38.1,234.7,26.91,-3.38,25.23,53.03,0.641,0.1276,0.414,-0.177
13,76,-15.1,47.22,233.63,28.24,2.0,18.44,58.03,0.708,0.0827,0.3951,-0.204
8,40,0.34,55.18,201.32,47.08,-5.24,34.62,80.37,0.719,0.0971,0.2246,-0.416
