Clusters with age: 606/655

         N_clusters  mean_CO_std  med_CO_std  n_coherent  mean_feh
age_bin                                                           
<0.1            219       0.1025      0.1012          13   -0.0511
0.1-0.3         151       0.1012      0.0985           6   -0.0356
0.3-0.5          54       0.1011      0.0985           4   -0.0500
0.5-1            90       0.1025      0.1060           7   -0.0570
1-2              58       0.1182      0.1142           1   -0.0842
2-5              32       0.1159      0.1063           0   -0.1130
>5                2       0.0670      0.0670           0   -0.1015

Pearson r(age_gyr, C_O_std) = 0.0919
RESULT: Older clusters more scattered -> younger more coherent -> CONSISTENT WITH CCT

Top 20 most coherent clusters with ages:
      cluster  N  C_O_mean  C_O_std  intrinsic_scatter  age_gyr  feh_mean  rv_mean  rv_std
     NGC_2362  3    0.4903   0.0030                0.0 0.005754    -0.001    50.19   20.12
    Alessi_15  4    0.4456   0.0122                0.0 0.033884    -0.117    31.43   37.01
   Melotte_25  3    0.4542   0.0229                0.0 0.794328    -0.159    56.61   19.86
  Trumpler_35  6    0.4146   0.0249                0.0 0.038905    -0.085    15.72   22.33
Collinder_268  3    0.5135   0.0262                0.0 0.239883     0.014   -38.04   37.67
     FSR_1085  3    0.4045   0.0291                0.0 0.057544    -0.205    67.20   39.88
       UBC_80  4    0.3686   0.0298                0.0 0.029512    -0.183    56.97   16.15
      UBC_291  6    0.4917   0.0305                0.0 0.025119     0.102    -8.14   22.24
   Tombaugh_2  5    0.4527   0.0309                0.0 1.621810    -0.141    86.73   23.25
     NGC_5460 16    0.4138   0.0318                0.0 0.158489     0.057     1.86   28.84
     NGC_2660  6    0.3990   0.0336                0.0 0.933255    -0.154    28.68   27.19
     NGC_2547  7    0.4762   0.0347                0.0 0.032359    -0.022    31.28   27.91
      ASCC_41  5    0.4606   0.0356                0.0 0.213796    -0.190    39.76   34.10
     NGC_2658  4    0.4574   0.0362                0.0 0.501187    -0.187    39.79   15.55
     DBSB_101  6    0.5400   0.0367                0.0 0.011220    -0.009    10.79   39.17
     NGC_5269  4    0.5134   0.0369                0.0 0.131826     0.064   -32.53   15.96
     NGC_5281  3    0.5490   0.0380                0.0 0.039811     0.070   -34.42   14.34
     NGC_2335  4    0.4180   0.0384                0.0 0.323594    -0.109    38.88   19.34
   Czernik_25  4    0.3805   0.0390                0.0 0.741310    -0.238    58.49   23.93
     NGC_5381  5    0.4140   0.0397                0.0 0.354814     0.001   -27.94   24.66
