ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
81.69396,1.6819723,0.3051899896226218,0.04939180312660512,-0.012156144,-0.07633727,0.17866479,-0.1388536,-0.17203765,0.015197277,22.011198,5.385744,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4965
81.600044,1.5814445,0.42780849533158927,0.06092369570134152,-0.10901048,-0.02491201,0.08341093,0.012023844,0.01833269,0.061165854,39.893158,3.876994,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4086
81.590294,1.412,0.4716870493929511,0.07326514645193498,-0.10053513,-0.06888775,-0.002969358,-0.000510104,0.017612841,0.08451125,23.832443,1.6194787,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4613
81.540665,1.4668611,0.43139552195246084,0.06325465835676088,0.005293198,-0.10521592,-0.0005192082,-0.01195588,-0.011742784,-0.063365385,54.3783,1.1848806,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.3908
81.44725,1.5524722,0.42964458885013396,0.061021515358435904,-0.12640068,-0.030137258,0.07632574,0.018316023,0.041908946,0.077683,19.106537,3.4107006,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.2694
81.45959,1.4553334,0.6896429746725188,0.10638029832123556,0.15070668,0.07143871,-0.027613262,0.034967065,0.060916636,0.19466162,67.715065,9.082601,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.329
81.33875,1.3609166,0.21907054286664374,0.03357545650938938,-0.15162513,-0.10836091,0.29062745,0.023345858,0.04574583,-0.07256117,13.357501,2.582551,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.326
81.298294,1.348,0.4207228623028722,0.08815590922551575,-0.14066154,0.051141698,0.16671793,0.058558963,0.09742956,0.23039746,25.972721,8.952418,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.323
81.252205,1.25025,0.563063995108629,0.06598897432786917,0.2788403,0.04526461,0.034279197,0.041121863,0.08930142,0.079104364,30.226542,6.3136916,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4084
81.38,1.7995,0.350385668609031,0.0701807789173954,-0.0052181855,-0.0672579,0.12776811,0.028529234,0.049931135,-0.012857676,17.525555,7.189572,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.2323
81.05658,1.179,0.4218240668497429,0.08394260316377745,-0.30124435,0.02685593,0.14129692,0.11827234,0.09614888,0.039518967,84.212814,5.7487264,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4966
81.04229,1.3920277,0.30804082258475857,0.05204354676914907,-0.49020356,0.18425393,0.435218,0.15482053,0.1184437,0.0989542,5.114464,7.5989423,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.3056
80.8745,1.3468611,0.1976868969577551,0.025174862221915784,-0.51125616,0.16984671,0.61344117,0.23393783,0.19079208,0.18971932,-23.71192,9.170767,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4467
80.75708,1.5533055,0.5124353651479406,0.11268843045566339,-0.3101176,0.13708524,0.16701849,0.20181045,0.17057018,0.15079919,-4.2518106,7.1016955,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4523
80.986336,1.864389,0.46426288030092255,0.043666641713331546,-0.1610493,-0.025519418,0.047288965,0.0430033,0.048825454,0.06810191,36.393677,4.031712,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.2977
81.13262,1.8628334,0.5788955464204476,0.05724913921247108,0.006939687,-0.00924826,-0.032276124,0.043613143,0.05627126,0.0614793,8.216245,4.7981462,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.2179
80.867874,1.9772778,0.4598748187276808,0.05258021158969491,-0.072647475,-0.0039002248,0.07303249,0.06327651,0.046475437,0.045900673,61.010666,3.7675426,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4612
81.298706,1.8798889,0.3382604438934676,0.06397681410038542,-0.47078902,0.06786987,0.278191,0.13767749,0.11143614,0.14012632,-30.665918,8.544855,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.2464
81.13146,2.1013334,0.472111991425976,0.04047227563076451,-0.046354398,0.025304867,0.09083218,0.019568399,0.05192383,0.02418378,25.943043,0.7456204,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.4513
