cluster,N,C_O_mean,C_O_std,intrinsic_scatter,mean_sigma_CO,feh_mean,feh_std,rv_mean,rv_std,snr_mean,age_gyr,logage
Platais 4,3,0.3719,0.0059,0.0,0.0171,-0.3563,0.0579,4.65,17.96,302.0,,
Berkeley 22,5,0.34,0.0079,0.0,0.0282,-0.343,0.0291,95.15,0.6,141.5,2.4547,9.39
Trumpler 26,3,0.5023,0.0102,0.0,0.0176,0.2157,0.0422,-19.97,21.27,333.4,0.2512,8.4
FSR 0937,3,0.3419,0.0102,0.0,0.0229,-0.3495,0.042,19.6,0.85,178.5,1.2023,9.08
NGC 1193,4,0.3836,0.0169,0.0,0.0266,-0.347,0.0179,-84.79,0.28,207.3,5.1286,9.71
Berkeley 21,5,0.3606,0.0173,0.0,0.034,-0.2437,0.0214,0.77,0.7,100.0,2.138,9.33
SAI 16,3,0.4112,0.0187,0.0,0.0191,-0.2628,0.0559,-66.39,0.36,512.5,1.0,9.0
Teutsch 51,5,0.3006,0.0192,0.0,0.0454,-0.3378,0.0169,16.97,1.49,109.3,0.6761,8.83
FSR 0394,3,0.4271,0.0198,0.0,0.0345,-0.118,0.0155,-70.56,0.3,141.7,,
Trumpler 5,10,0.3532,0.021,0.0,0.031,-0.4487,0.0145,49.68,4.44,165.2,4.2658,9.63
ESO 518 03,10,0.4131,0.0234,0.0,0.1256,0.0701,0.0522,22.92,0.98,225.8,1.4125,9.15
Berkeley 17,9,0.4595,0.024,0.0,0.0241,-0.1823,0.0319,-72.98,1.66,223.0,7.2444,9.86
IC 1369,3,0.4513,0.0248,0.0,0.026,-0.1127,0.0386,-48.67,0.11,298.2,0.2884,8.46
NGC 2447,3,0.3704,0.0251,0.0051,0.0245,-0.1067,0.0131,23.45,0.8,881.5,0.5754,8.76
Czernik 21,3,0.3091,0.0253,0.0,0.0264,-0.327,0.008,45.45,0.7,141.9,2.5704,9.41
King 5,4,0.3855,0.0255,0.0,0.0261,-0.1594,0.0235,-44.05,0.91,279.1,1.0233,9.01
Berkeley 98,3,0.4377,0.0261,0.0,0.0302,-0.0527,0.0155,-69.98,1.54,110.7,2.4547,9.39
Berkeley 66,8,0.3971,0.0271,0.0,0.032,-0.2253,0.0378,-50.0,0.41,146.6,3.0903,9.49
NGC 1798,15,0.3704,0.0277,0.0,0.0305,-0.2786,0.0255,2.6,1.93,203.0,1.6596,9.22
NGC 4337,9,0.4563,0.0286,0.0187,0.0212,0.2342,0.0306,-18.83,2.08,217.9,1.4454,9.16
Berkeley 53,7,0.407,0.0288,0.0167,0.0227,-0.126,0.0282,-35.88,0.8,218.7,0.9772,8.99
Trumpler 20,25,0.4065,0.0309,0.0196,0.0228,0.1051,0.0223,-40.09,0.73,185.5,1.8621,9.27
NGC 2243,22,0.301,0.0317,0.0,0.033,-0.462,0.0291,59.95,0.43,133.3,4.3652,9.64
NGC 2204,22,0.3293,0.032,0.0171,0.0252,-0.2847,0.0291,92.96,3.71,246.9,2.0893,9.32
Berkeley 18,29,0.3628,0.0329,0.0,0.0364,-0.3741,0.0313,-3.22,2.42,128.7,4.3652,9.64
NGC 6866,5,0.4505,0.0341,0.019,0.0282,0.0033,0.0158,13.25,0.87,295.3,0.6457,8.81
NGC 2420,30,0.3655,0.0349,0.0,0.0584,-0.2007,0.0331,74.21,1.98,252.7,1.7378,9.24
NGC 6791,67,0.5602,0.0358,0.0267,0.0231,0.3023,0.0534,-46.94,2.78,149.0,6.3096,9.8
Berkeley 31,3,0.3916,0.0361,0.0218,0.027,-0.4299,0.0222,56.88,3.41,231.7,2.8184,9.45
NGC 7789,74,0.412,0.0364,0.0,0.0423,-0.0398,0.0419,-54.4,2.12,354.8,1.5488,9.19
NGC 188,75,0.5024,0.0373,0.0,0.0339,0.0731,0.035,-41.72,0.89,323.1,7.0795,9.85
Chupina 4,5,0.437,0.0379,0.0201,0.0318,-0.007,0.0091,33.67,0.14,323.7,,
Berkeley 9,5,0.3987,0.0382,0.0,0.185,-0.1616,0.1159,-18.19,2.83,148.8,1.3804,9.14
NGC 6811,8,0.4057,0.0384,0.0,0.035,-0.0444,0.0417,7.56,0.34,297.8,1.0715,9.03
ESO 211 03,15,0.3256,0.0397,0.0144,0.0365,-0.1644,0.027,64.45,1.3,121.0,1.2882,9.11
Berkeley 75,3,0.286,0.0404,0.0321,0.0235,-0.4062,0.0172,124.2,1.12,120.0,1.6982,9.23
Chupina 5,7,0.5195,0.0412,0.0,0.0378,0.0024,0.0251,33.87,0.52,140.9,,
BH 211,3,0.4831,0.0426,0.0375,0.0202,0.2005,0.0148,-48.87,0.5,429.3,0.4266,8.63
Czernik 20,6,0.3369,0.0443,0.0172,0.0399,-0.1767,0.0109,32.33,1.78,105.5,1.6596,9.22
NGC 1980,59,0.587,0.0461,0.0411,0.0207,-0.113,0.0527,27.1,2.61,206.9,0.0132,7.12
Berkeley 2,7,0.3941,0.0499,0.0,0.046,-0.21,0.022,-78.65,7.95,157.9,0.5888,8.77
NGC 6819,66,0.441,0.0506,0.0455,0.0213,0.031,0.0395,2.64,1.15,280.4,2.2387,9.35
NGC 1907,3,0.3625,0.051,0.0441,0.0251,-0.1241,0.0072,2.68,0.19,288.5,0.5888,8.77
Ruprecht 147,32,0.4444,0.0534,0.0,0.0833,0.1106,0.0192,42.21,0.42,284.5,3.0199,9.48
NGC 2353,8,0.3371,0.0544,0.0527,0.0133,-0.3456,0.0193,82.43,21.37,414.6,0.1023,8.01
Melotte 71,5,0.3337,0.0612,0.0558,0.0249,-0.1537,0.0202,50.68,0.77,267.3,0.9772,8.99
NGC 1817,8,0.3553,0.0614,0.0463,0.0376,-0.1553,0.021,66.01,0.59,178.2,1.122,9.05
