CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
Alessi 57,2M19205008+1540273,0.3714467342964853,0.04238090969294474,-0.096891,0.0727848,-0.042403,0.0128027,63.28176,4987.122,2.768781,18.7247,290.208669,15.67425,,,-0.05887799,-0.0761314,-0.059735,1.0,1.0,0.59
ASCC 11,2M03272285+4526173,1.6527772810965198,0.27287680650279883,0.01318499,-0.465457,-0.30082,0.01205836,74.24225,5216.371,3.518606,-11.96308,51.845211,45.438152,0.24547108562064812,8.390000343322754,0.104205,0.07615662,0.04540098,0.0,0.62,0.89
ASCC 11,2M03304463+4459557,0.3384818254094126,0.03826975013839804,0.02413601,0.234173,-0.36395,0.01171578,107.9092,4971.614,2.661822,-40.58928,52.685964,44.998817,0.24547108562064812,8.390000343322754,0.04139102,0.06538561,0.135309,0.01,0.84,0.58
ASCC 11,2M03305569+4513497,0.31962398688544785,0.03136592734190142,0.01415002,0.249083,-0.34498,0.01024617,122.6367,4974.043,2.883083,-48.77477,52.732042,45.230495,0.24547108562064812,8.390000343322754,0.09236202,0.05744863,0.091701,0.93,0.99,0.09
ASCC 11,2M03312658+4549449,0.3119588742458677,0.016021426141940957,-0.13668,0.108795,-0.31311,0.007771207,316.9621,4727.235,2.298888,-60.32136,52.860773,45.829159,0.24547108562064812,8.390000343322754,0.07055217,0.03462559,0.054371,0.0,0.91,0.51
ASCC 11,2M03312658+4549449,0.3233868413616214,0.025697554433957142,-0.12258,0.10727,-0.32246,0.0116339,77.27131,4726.568,2.399687,-60.40002,52.860773,45.829159,0.24547108562064812,8.390000343322754,0.09196699,0.02846658,0.059201,0.0,0.91,0.51
ASCC 11,2M03313128+4519429,0.41943561506092447,0.027707706370292955,0.04319596,0.160103,-0.33501,0.007389059,277.4775,4953.825,2.988633,-46.39398,52.88034,45.32859,0.24547108562064812,8.390000343322754,0.147796,0.07793358,0.166242,0.51,0.9,0.22
ASCC 11,2M03313128+4519429,0.38305517544261064,0.042233106884136895,0.04169199,0.198003,-0.32167,0.0116519,101.9923,4965.224,3.017972,-46.46097,52.88034,45.32859,0.24547108562064812,8.390000343322754,0.155154,0.1050306,0.156818,0.51,0.9,0.22
ASCC 11,2M03314824+4450394,0.4892753704683473,0.046850027105450005,-0.025947,0.02407199,-0.37418,0.01207465,84.45991,4823.386,2.44585,-25.13272,52.951039,44.844288,0.24547108562064812,8.390000343322754,0.06199619,0.04908159,0.09225097,0.0,0.7,0.95
ASCC 11,2M03321439+4601576,0.34343482740046555,0.020201425344314784,-0.06637901,0.137349,-0.32097,0.007518125,785.7047,4860.037,2.383865,-51.71849,53.059962,46.032677,0.24547108562064812,8.390000343322754,0.115858,0.0684486,0.167686,0.8,0.88,0.02
ASCC 11,2M03321439+4601576,0.3238398983104329,0.01879283971901276,-0.09161699,0.137625,-0.31968,0.007540201,151.9021,4847.622,2.39298,-51.92951,53.059962,46.032677,0.24547108562064812,8.390000343322754,0.103298,0.07489961,0.144425,0.8,0.88,0.02
ASCC 11,2M03325151+4554485,0.36048181784152994,0.035933657468294446,-0.10345,0.07923898,-0.32803,0.01230178,59.83245,4850.778,2.348234,-46.76741,53.214631,45.913479,0.24547108562064812,8.390000343322754,0.112914,0.03491658,0.151741,0.57,0.95,0.53
ASCC 11,2M03333327+4523176,0.35635950290080876,0.030994959541661628,-0.08869702,0.09898698,-0.35393,0.008880885,139.9132,5001.672,2.544112,-52.64342,53.388631,45.388248,0.24547108562064812,8.390000343322754,0.07408708,0.05499059,0.165957,0.67,0.94,0.84
ASCC 11,2M03340851+4528459,0.275786551563672,0.02773469050930667,-0.02353626,0.275463,-0.69746,0.01558413,79.74347,4524.411,1.728941,-49.00772,53.535468,45.479427,0.24547108562064812,8.390000343322754,0.171763,0.1233306,0.109681,0.95,0.0,0.98
ASCC 11,2M03343097+4537051,0.3519470541548782,0.022785010168591392,-0.06775901,0.125336,-0.32484,0.007378324,279.8162,4943.779,2.517393,-57.61998,53.629062,45.618088,0.24547108562064812,8.390000343322754,0.105729,0.0673756,0.141728,0.03,0.97,0.86
ASCC 11,2M03343097+4537051,0.34747962523961495,0.037164174345719427,-0.08642,0.112223,-0.34993,0.01191883,64.92612,4923.213,2.500634,-57.78517,53.629062,45.618088,0.24547108562064812,8.390000343322754,0.124791,0.05999258,0.141036,0.03,0.97,0.86
