rank,name,gaia_id,HD,TIC,ra,dec,G,BP_RP,dist_pc,parallax,pmra,pmdec,rv_kms,ruwe,teff,logg,feh,age_gyr,CO,hab_score,priority,cct_cluster,in_tess,rv_surveys
1,HD  28888,3312653647717790720,HD  28888,TIC 245837757,68.41124363572398,15.961256676018776,8.237692832946777,0.815983772277832,100,10.000773994527353,65.22837692734834,-55.77929544357106,53.70127868652344,0.9847869873046875,5734.0254,3.9375741,0.12957397,6.3121543,0.28429908,0.9728033175956168,1.0228033175956168,Teutsch_80,True,none
2,CD-51 11403,6702678068966503168,,TIC 349428575,272.88534607629583,-51.308017399709314,9.690202713012695,1.013916015625,174,5.733138242666926,10.75329935737349,32.11991506983888,85.25674438476562,0.9310445785522461,5329.43,3.8031142,-0.06567975,6.6201496,0.26353866,0.965966600485183,1.015966600485183,Ruprecht_145,True,none
3,HD  54524,5602712579104277376,HD  54524,TIC 97579288,106.92550322499446,-34.20637743414034,9.36688232421875,0.9623527526855469,166,6.038268524090167,-9.422678762367584,-33.483394050138386,51.73611068725586,1.0814930200576782,5344.102,3.805221,0.11536619,5.4827175,0.31709784,0.9586910279921128,1.0086910279921129,Teutsch_80,True,none
4,HD 133866,6004571507694043264,HD 133866,TIC 160485477,227.04516765484706,-42.32458794149745,9.12185001373291,0.9285182952880859,136,7.351659854280402,-16.317156781181353,-75.57087241036851,-36.74644088745117,0.9526926875114441,5453.868,3.8839586,0.10650198,7.471265,0.30162913,0.9577041019380764,1.0077041019380764,Teutsch_80,True,none
5,HD  50741,2919037555949764224,HD  50741,TIC 53688990,103.31972833150809,-27.87142808884702,9.251123428344727,0.8248205184936523,153,6.523984071658531,16.43044609690621,-53.60648396895665,40.87051010131836,1.0662059783935547,5745.065,3.965606,0.15434077,6.600517,0.40653923,0.9574647676425406,1.0074647676425406,Collinder_205,True,none
6,HD 286731,3310803955625368960,HD 286731,TIC 435925322,65.64440147594264,13.932301910804933,9.129100799560547,0.8641033172607422,135,7.4278160258496815,76.95253617892959,-104.1552362049213,5.45888090133667,0.9217380285263062,5698.574,3.9591942,0.03367662,7.7906284,0.30972168,0.9443232492586112,0.9943232492586112,Gulliver_50,True,none
7,CD-73   972,5796377911520938112,,TIC 401857204,217.82540949488617,-73.62443639016486,9.224308013916016,0.9620208740234375,134,7.4413374449752405,24.78535602562621,20.89543125907774,30.626554489135742,1.048736333847046,5365.025,3.8808982,0.026377775,8.523047,0.23353055,0.9583044231008216,0.9883044231008216,UBC_289,True,none
8,CD-70  1478,5807595270887881984,,TIC 301249246,255.09127129412104,-70.82363668582754,9.681666374206543,0.9411516189575195,181,5.5191999724366285,-25.98495631118011,-20.506740511276263,21.979236602783203,1.0990114212036133,5465.398,3.8608036,0.091919094,6.6518545,0.31113437,0.9326139099880406,0.9826139099880408,Teutsch_80,True,none
9,CD-48 12542,6705057652645649536,,TIC 389643975,277.5359930518863,-48.26001761261874,9.968955993652344,0.9016094207763672,193,5.194802106695567,-18.027881603319795,-31.230125708069806,62.432373046875,0.9225040078163147,5534.266,3.9516926,0.17459929,8.249526,0.37065497,0.9513904443606744,0.9813904443606744,Teutsch_80,True,none
10,CD-23 12239,6251107028528170368,,TIC 428822871,230.59377509501957,-23.796461415976953,9.924849510192871,0.9648237228393555,182,5.503711805688773,4.105964595781332,-31.92216087336194,57.8807487487793,1.2368698120117188,5654.574,3.9384112,0.13625452,6.9743447,0.32144195,0.9190782470737832,0.9690782470737832,Teutsch_80,True,RAVE
