name,gaia,hab8,pipeline,n_segments,n_pts,baseline_d,rms_ppm,P_d,dur_h,depth_ppm,sde,R_star,M_star,Teff,R_p_Rearth,a_AU,T_eq_K,status
BD-03  3321,3680522166465341056,0.9969227583789892,TESS-SPOC,1,3183,24.96770121081954,505.2936096191406,0.7277468683409528,3.5999999999999996,107.33147829107196,7.3008325963750575,1.30955,1.014,5695.9,1.4815225929117795,0.015907651404771975,2492.033013920645,DETECTION_CANDIDATE_SDE_OK
CD-30  7056,5629444975252369024,0.9953865433639338,TESS-SPOC,3,13443,1496.1404810601723,432.1527404785156,36.4114364574583,4.800000000000001,350.7861069270542,5.2186487901663385,1.1869,1.06,5863.6,2.427492856113838,0.21921335742927955,657.9173206079765,marginal
TYC 1071-934-1,4299049512104000128,0.9944493696993356,TESS-SPOC,1,1795,26.215448603184086,1131.103271484375,0.687287686445492,2.4000000000000004,1266.8573139244327,10.888351753172469,0.945046,1.018,5710.0,3.6731565481518245,0.01533256513543868,2161.6660356848543,DETECTION_CANDIDATE_SDE_OK
TYC 6897-1616-1,6765392391143702400,0.9939321090920874,QLP,1,9307,25.344533069918725,1345.1376953125,8.127826673297601,2.4000000000000004,1032.3128235243612,4.141581558640843,1.05237,1.089,5952.0,3.6922981153161807,0.08139519462611511,1032.0035585799187,ok
TYC 5606-1113-1,6266047329961009408,0.9914165792401612,QLP,1,7559,24.787906176432898,1167.195556640625,0.7001222330579441,4.800000000000001,216.26339858501169,3.3282768576757373,1.14739,1.021,5723.4,1.8425751541083486,0.015538091592768342,2371.615153165498,ok
HD 271200,4660544333766391424,0.9913680789520726,TESS-SPOC,32,126176,1853.9182887845586,944.662841796875,160.114364574583,2.4000000000000004,854.1798038002836,3.5018626257628838,0.933141,1.16,6138.0,2.9781362265894513,0.6063351014519861,367.1787933411324,ok
HD 122625,6300979810806953216,0.9910369520989836,QLP,1,7201,27.388952778557268,892.6044311523438,8.147555576622157,4.800000000000001,717.0645086196117,5.274645870619609,1.12012,1.069,5891.0,3.2754147756459044,0.081024676621153,1056.1997761927341,marginal
TYC 5232-208-1,2621655046865027712,0.9901450005093488,TESS-SPOC,1,1919,22.916500928472487,1289.7579345703125,7.753591258574384,4.800000000000001,1181.7147244616185,3.3911424322532144,0.842839,0.978,5552.0,3.1639060942242048,0.07610059816380023,890.966057895641,ok
TYC 5606-566-1,6308062830354023808,0.9889979972384932,QLP,1,7567,24.773976716524885,1334.41650390625,8.681332037345038,4.800000000000001,644.8550048504211,5.15045333819133,1.06862,1.082,5930.1,2.963309230673958,0.08486719506479892,1014.6988482830485,marginal
HD 180950,4186063147481113472,0.9881504576735348,TESS-SPOC,2,9148,736.4288617110847,693.0361938476562,1.8566542661706469,1.92,185.68608574586244,14.093281305095086,1.37638,1.11,6010.0,2.0480977119351294,0.030610343495401465,1943.313970556763,DETECTION_CANDIDATE_SDE_OK
TYC 6883-1588-1,6768942714192339584,0.988093216107945,QLP,1,9278,25.23794526628126,1469.7249755859375,0.7087473106443081,4.800000000000001,181.39654490145202,4.372337443095004,1.05219,1.035,5775.0,1.5475023374228316,0.015736721156681226,2277.064719779748,ok
BD+20  2167,664430104958271616,0.9875967986160714,TESS-SPOC,4,18240,785.2224060110157,553.8734130859375,174.26347053882157,1.2000000000000002,543.6452630286512,3.6558734131400143,0.989434,1.066,5883.0,2.5192268272853955,0.6237297960611171,357.29541531588785,ok
