name,gaia,dec,G,hab8,dist,n_ts,n_ffi
BD-03  3321,3680522166465341056,-4.081611,10.322757,0.9969227583789892,167.68587104422878,0,2
CD-30  7056,5629444975252369024,-30.637194,9.236513,0.9953865433639338,99.52561141456354,0,5
TYC 7413-1369-1,6756649036022752640,-33.27778,10.592698,0.9948926865069556,147.18200591029952,1,4
TYC 1071-934-1,4299049512104000128,8.383528,11.3717575,0.9944493696993356,194.38156539707188,0,2
BD-02  3362,3787168403447234688,-3.4784722,10.27339,0.9942908938756364,154.44302352038883,3,5
TYC 6897-1616-1,6765392391143702400,-27.221056,11.027193,0.9939321090920874,198.16559722080567,0,1
HD 271308,4660360749704988672,-66.04164,9.902909,0.9935994695920594,184.24494729224944,9,43
TYC 7915-779-1,6728919696365591040,-39.066387,10.262889,0.9934194074914954,151.4395568497923,1,2
CD-60  1593,5479947952629976576,-60.31139,10.894983,0.9934140821873566,151.04326721616525,21,45
TYC 9263-701-1,5820151934211076736,-69.415085,10.482631,0.992456910945104,156.58728120831074,1,9
HD 217340,2634966799782787584,-6.0794444,9.943742,0.9923914331934592,130.50469997551923,1,3
CPD-63   349,4677014433801899392,-62.91497,10.039541,0.9921674773952948,104.68473286960948,41,45
TYC 5606-1113-1,6266047329961009408,-14.088639,10.758207,0.9914165792401612,173.37841825342565,0,1
TYC 8351-1776-1,5946498361543836928,-50.48775,10.942551,0.991384927374343,187.2086611353533,1,4
HD 271200,4660544333766391424,-66.11058,11.027132,0.9913680789520726,177.0148549059987,0,44
BD-08  6091,2630796837510460416,-7.367472,10.346186,0.9911042011418684,151.7196024023817,1,3
HD 122625,6300979810806953216,-15.379945,10.267581,0.9910369520989836,150.76633626164468,0,1
HD 183193,6771181697822279936,-24.323334,8.777487,0.9910268582282452,74.73032974107245,1,1
BD-06  6123,2634917910170903040,-6.086,10.203155,0.9903268199569376,157.85194861436435,1,3
TYC 5248-636-1,2634849942312584960,-5.8094444,10.862802,0.9902150085743344,183.5272290019885,1,3
TYC 8351-2149-1,5946718401318557440,-49.093723,10.576866,0.9902110765948476,181.48491367454992,1,5
TYC 5232-208-1,2621655046865027712,-7.3184443,11.404875,0.9901450005093488,159.71943716551064,0,2
HD  13684A,5118120941037811584,-25.804903,9.807679,0.9899241898742775,186.46286668988893,1,3
HD  13767,5118127744266022912,-25.766148,10.093137,0.9898647127489534,130.48057073597357,1,3
CD-47  7291,5371291464801734912,-48.241306,10.367382,0.9895228135874192,191.72790212407938,1,6
TYC 9271-1853-1,5794269018162164096,-73.73422,11.622262,0.9893123538849355,177.0368268301147,1,9
TYC 5606-566-1,6308062830354023808,-14.274472,10.989082,0.9889979972384932,185.9546528451005,0,1
TYC  105-2108-1,3236036890058556544,3.64575,10.7193575,0.9886490741227948,159.92055403191188,1,3
HD 178528B,6762301045488196864,-29.11025,10.287011,0.9883660877914092,158.96923457844954,2,3
HD 180950,4186063147481113472,-12.532278,10.209274,0.9881504576735348,187.69005194284074,0,3
TYC 6883-1588-1,6768942714192339584,-26.76314,11.052241,0.988093216107945,192.7566535065152,0,1
BD+20  2167,664430104958271616,20.383083,10.082464,0.9875967986160714,122.59000220509132,0,5
