rank,sid,main_id,hd,hip,tmass,constellation,hab,sCO,sMgSi,sFeH,sMgFe,sSiFe,sCaFe,sAlFe,sVol,sAge,CO,MgSi,feh,mgfe,sife,cafe,alfe,bafe,plx,dist,G,ruwe,nss,teff,logg,radius,age,ra,dec,north,rv,rv_bib,nbref,has_planet,in_18,hard_pass,fails
1,4663415673990011648,UCAC4 129-004232,,,,Dorado,0.9987275459895524,1.0,0.9993022,0.9999486,0.99751645,0.99958163,0.9922606336593611,0.9996025618288331,0.9969762,1.0,0.5236319,1.0349452,-0.003041245,0.0105782375,-0.0043391474,-0.024931058,0.054229453,0.06945636,1.0115967683278386,988.5361749948964,13.264594,0.94482285,0,5707.0674,3.9111273,1.9757,6.9395022,70.07041931152344,-64.24183654785156,False,54.335999,2021MNRAS.506..150B,2.0,False,False,False,dist>=200pc(989); G>=12(13.3)
2,4390713043425023360,UCAC4 482-065215,,,,Ophiucus,0.9980798205443564,1.0,0.99943334,0.99406993,0.99930143,0.9998283,0.9986561112769717,0.9988480917252204,0.9950855,1.0,0.31658873,1.0065324,-0.03271968,0.005607493,0.0027797278,0.010372242,0.057201788,0.0251842,1.1793530256289604,847.9225289363126,13.112826,0.98778355,0,5639.883,3.8840833,2.0959,6.8404994,262.1531982421875,6.238916873931885,True,55.709999,2021MNRAS.506..150B,3.0,False,False,False,dist>=200pc(848); G>=12(13.1)
3,6667731741137898624,UCAC4 200-187381,,,,Telescopium,0.997183601863609,0.9999265,0.99597937,0.99957156,0.9986188,0.99511164,0.9998967113770187,0.9795236281154911,0.9987606,1.0,0.65181834,0.9840945,0.008782409,0.007886596,0.014849801,-0.0028746333,0.080512315,0.062450983,1.5576196384704084,642.0052593725679,12.40069,1.126645,0,5371.9185,3.8280218,2.0697,6.5572925,306.1360778808594,-50.088165283203125,False,-35.942001,2021MNRAS.506..150B,2.0,False,False,False,dist>=200pc(642); G>=12(12.4)
4,6836023059603519872,,,,,Capricornus,0.9970681159335274,1.0,0.99424475,0.99925363,0.9907999,0.99916536,0.997352206586093,0.9986685550006428,0.99636924,0.9997239708900452,0.40470898,1.0629767,0.011592574,0.020394117,-0.0061296616,0.0145638045,0.057743058,0.071323045,1.0104411742755182,989.6667173296809,13.654563,0.9435375,0,5661.0083,3.9540462,1.7729,8.093981,320.8268737792969,-15.9526948928833,True,,,,False,False,False,dist>=200pc(990); G>=12(13.7); age8.1
5,5942188271648650752,,,,,Norma,0.9967591321427872,1.0,0.99739265,0.98775125,0.9999203,0.999912,0.9911005562474533,0.997585082038894,0.9998453,1.0,0.16975197,0.99109596,-0.04709971,-0.0018942282,0.0019900743,-0.026742147,0.060430855,0.054397054,2.104085437572545,475.2658718809853,12.257417,0.8695333,0,5643.971,3.9121802,,7.6018085,247.3335418701172,-46.3836669921875,False,,,,False,False,False,dist>=200pc(475); G>=12(12.3)
6,6109239272278109440,UCAC4 230-072703,,,,Centaurus,0.9964454526776656,1.0,0.9999473,0.99478173,0.9997396,0.9997395,0.9824976262649748,0.9989794741296386,0.98671836,1.0,0.31636047,1.0158919,0.030687775,0.0034233928,-0.0034241043,-0.037584413,0.05677843,0.009118162,1.1619295649090835,860.6373658099027,13.063944,1.0362796,0,5611.753,3.893537,1.9397,6.842955,210.3034210205078,-44.11527633666992,False,-59.181,2021MNRAS.506..150B,2.0,False,False,False,dist>=200pc(861); G>=12(13.1)
7,6452052875966169088,TYC 9103-300-1,,,,Pavo,0.9962214713466436,1.0,0.9924697,0.99611443,0.9987463,0.99081665,0.9969357677645589,0.9922925540402603,0.9999365,1.0,0.22855654,0.97081864,-0.026471741,0.007513568,0.020375453,0.015668916,0.068659544,0.05281751,1.541052621111648,648.9071082327116,12.2210045,1.0270755,0,5601.9736,3.8266003,2.0977,5.5245104,321.7829895019531,-61.1214714050293,False,-7.04,2018yCat.1345....0G,2.0,False,False,False,dist>=200pc(649); G>=12(12.2)
8,4759952107712818944,TYC 8531-1006-1,,,,Pictor,0.9961567287299448,1.0,0.9974055,0.99778706,0.9926285,0.98920524,0.9969570860640008,0.98674055183976,0.9999765,1.0,0.3215127,0.99116737,-0.019969545,0.018246815,0.02209983,-0.015614232,0.025491506,0.048287466,2.5930971103885017,385.63924042558455,11.016173,0.73963815,0,5700.438,3.837033,2.2006,5.315863,84.75962829589844,-58.61608505249024,False,72.3117,2022ApJS..259...35A,15.0,False,False,False,dist>=200pc(386)
9,2709423150235886976,UCAC4 483-138337,,,,Pegasus,0.9956451004559226,1.0,0.99955904,0.99999785,0.9910705,0.99907273,0.9996878800816723,0.992506079631246,0.97656953,1.0,0.3024573,1.0318799,0.00062384456,0.02009058,0.0064614452,0.0049973484,0.06839827,-0.00443957,1.3249949722137522,754.7198449585339,12.954201,1.1958371,0,5746.1206,3.8965354,2.3243,6.115281,337.3169250488281,6.589499950408936,True,7.433,2021MNRAS.506..150B,3.0,False,False,False,dist>=200pc(755); G>=12(13.0)
10,5494740369752611200,TYC 8533-632-1,,,,Pictor,0.9955995186416114,1.0,0.99815375,0.9984019,0.9937039,0.992228,0.9987838417760799,0.9985691256070294,0.98218524,1.0,0.21116307,0.99568266,-0.0169672,0.016858809,0.018737856,0.009866705,0.04197283,0.00259839,1.810708622073795,552.2699719929016,11.6744995,0.8366203,0,5651.874,3.8102257,2.2386,4.935448,91.60216522216795,-58.74305725097656,False,-6.4214,2022ApJS..259...35A,5.0,False,False,False,dist>=200pc(552)
