name,status,P_d,dur_d,n_bins,baseline_d,block_days,scope_ok,sde_obs_binned,null_median,null_95pct,fap,n_boot,verdict,proc_s,sde_pipeline,R_p_Rearth,T_eq_K,eb_verdict,centroid_verdict
BD-02  3362,ok,72.04948197927916,0.05000000000000001,3288,1034.4787547721464,1.0,True,8.909706013710574,8.723060004028548,12.656596623338105,0.47,100,LIKELY_RED_NOISE,100.39313983917236,7.034965587400083,3.1005879998551347,515.0068577813969,FLAG_REVIEW,ON_TARGET (significant but <3'' = << 1 TESS pixel)
2M16513518+5934383,ok,233.04330173206927,0.15,16855,1979.4548350547886,1.0,True,6.570838448534767,4.273721499912131,5.762415895379368,0.0,100,SURVIVES_REDNOISE,195.61188626289368,7.04909327655504,4.829508238404271,396.3195335084093,FLAG_REVIEW,INCONCLUSIVE (significant offset but direction scatters across sectors)
2M17025603+5914217,ok,246.3072522900916,0.10000000000000002,33589,1979.4546541133934,1.0,True,4.921300947238268,5.804207263473006,7.670089306729474,0.88,100,LIKELY_RED_NOISE,222.20468640327454,8.197667222447542,3.815277649579056,240.62099660073443,FLAG_REVIEW,INCONCLUSIVE (significant offset but direction scatters across sectors)
2M19510829+6545443,ok,213.53162126485057,0.10000000000000002,17098,1979.4554859238235,1.0,True,6.133716587376505,3.5098754629067637,5.3373885234893885,0.0,100,SURVIVES_REDNOISE,196.82769584655762,7.445523266769064,3.625867309935096,346.2575159397822,FLAG_REVIEW,INCONCLUSIVE (significant offset but direction scatters across sectors)
CPD-63   349,ok,190.486879475179,0.15,41475,2606.3718310213817,1.0,True,6.94975736227086,6.430705193629019,8.527590148008548,0.29,100,LIKELY_RED_NOISE,231.3402738571167,8.265383836052791,2.111933783833853,328.0621517955855,SURVIVED,ON_TARGET (significant but <3'' = << 1 TESS pixel)
HD 271308,ok,34.2689733097235,0.10000000000000002,9140,327.5802315953815,1.0,True,8.057440816765556,3.855757729647558,5.3456275324261355,0.0,100,SURVIVES_REDNOISE,89.55152559280396,7.466245592379892,2.8251802174976817,799.7883355300604,SURVIVED,ON_TARGET (offset not significant)
2M16570811+5941317,ok,15.799951998079925,0.05000000000000001,5871,978.8692400204113,1.0,True,5.334373013617016,6.682060908935714,10.092976850473407,0.97,100,LIKELY_RED_NOISE,126.95407700538635,10.201996015846053,3.74931284766692,861.8022254738521,SURVIVED,ON_TARGET (offset not significant)
2M18464473+5923422,ok,246.0078403136125,0.20000000000000004,39891,1979.455498195877,1.0,True,9.733852030693573,6.179927704515146,8.069184134321999,0.0,100,SURVIVES_REDNOISE,230.75904417037964,8.490488913001384,4.124116187194874,380.6729409387133,SURVIVED,ON_TARGET (offset not significant)
2M16271320+6258050,ok,177.59220368814752,0.20000000000000004,28374,1979.454992431756,1.0,True,4.8651312500298305,5.2741409708818905,6.706888787869493,0.77,100,LIKELY_RED_NOISE,219.1489975452423,8.410378489513286,3.711101258051308,248.8431619383205,SURVIVED,INCONCLUSIVE (significant offset but direction scatters across sectors)
2M19381719+6608049,ok,233.1830273210928,0.10000000000000002,28066,1979.456207247872,1.0,True,5.857197770252226,4.847929916800794,7.704043135724932,0.24,100,LIKELY_RED_NOISE,214.4182493686676,8.060261779040184,3.2222833123011667,232.92126758649397,SURVIVED,ON_TARGET (offset not significant)
2M17004013+6026044,ok,178.22096883875355,0.15,34168,1979.4548869975226,1.0,True,7.98853360812082,5.566326859751319,7.281873755654588,0.02,100,SURVIVES_REDNOISE,212.7624762058258,7.966767166479093,6.234837575710659,348.3992674871772,SURVIVED,ON_TARGET (offset not significant)
2M17035291+5721555,ok,196.36533461338453,0.15,44368,1979.4543152679873,1.0,True,5.890620693672687,6.622061972771338,9.568888225492381,0.73,100,LIKELY_RED_NOISE,237.12157917022705,7.100632017291046,3.122414685823383,416.1231961865827,SURVIVED,ON_TARGET (significant but <3'' = << 1 TESS pixel)
2M19502464+7101117,ok,3.808808192434909,0.20000000000000004,8113,297.9285932114035,1.0,False,7.773061279883214,5.328757768515722,6.82508128964306,0.03,100,N/A_short_period,79.3517050743103,7.02065766904354,1.4802302804484253,1654.8460636464672,SURVIVED,ON_TARGET (offset not significant)
2M19330779+7006422,ok,226.13686547461896,0.20000000000000004,33401,1979.4562541658352,1.0,True,5.184139405065705,5.177832980402607,6.340959048496786,0.5,100,LIKELY_RED_NOISE,224.42577004432678,8.47825679270636,1.9233120667428865,331.53302459515226,SURVIVED,ON_TARGET (significant but <3'' = << 1 TESS pixel)
2M19321727+7026274,ok,3.9033161326453056,0.08,29106,1979.4556201082842,1.0,False,77.76376146614379,5.166487979480241,6.979654372797408,0.0,100,N/A_short_period,212.30610966682434,32.691160153195334,1.657354826267897,1492.1741609304192,SURVIVED,INCONCLUSIVE (significant offset but direction scatters across sectors)
2M19515616+7029139,ok,233.0033801352054,0.15,33886,1979.4563891311964,1.0,True,6.683305110766309,5.187083070636818,7.014774938052806,0.09,100,MARGINAL,225.2262625694275,9.711029285759844,2.8500160056424093,348.1567308395189,SURVIVED,ON_TARGET (offset not significant)
