APOGEE_ID,RA,DEC,TEFF,LOGG,M_H,FE_H,ALPHA_M,C_FE,CI_FE,N_FE,O_FE,MG_FE,SI_FE,CA_FE,AL_FE,CE_FE,TI_FE,TIII_FE,NI_FE,MN_FE,NA_FE,VSCATTER,SNR,ASPCAPFLAG,STARFLAG,n_sectors_predicted,sectors_predicted_list
2M00000019-1924498,0.000832,-19.413851,5501.773,4.304115,-0.26875,-0.27553,0.0909783,0.061738,0.07063,-0.1119,0.23534289,0.1652385,0.09659299,0.09726599,0.29630372,,0.11265901,,0.013930023,-0.07802749,-0.19082639,0.08796514,229.87506,68,0,3,"[69, 96, 107]"
2M00001210-1903382,0.050442,-19.060629,5740.899,4.4836273,-0.28259,-0.27439,0.0430983,0.038117006,0.019185007,0.004397005,0.19493291,0.07752752,0.086462006,0.021816999,0.029766008,,0.0028350055,,-0.05255997,-0.07075748,-0.30739638,0.075940296,201.0703,16581,0,5,"[2, 29, 69, 96, 107]"
2M00001217-1949306,0.050724,-19.825167,5645.554,4.1094794,0.025355,0.029822,-0.0036343,-0.082634,-0.049777,-0.143707,0.17024589,0.043627508,0.054457,-0.0066599958,0.18962401,,-0.22226802,,-0.0228507,-0.0013194829,-0.1907284,0.04054232,194.24318,16577,0,4,"[2, 69, 96, 107]"
2M00001362-1913042,0.056761,-19.217836,5555.2754,4.2715,-0.079423,-0.0787,0.1657153,0.025776997,0.054182995,-0.115193,0.21098989,0.26062548,0.18236,0.101602994,0.375586,,0.112455994,,0.0759703,-0.05850748,-1.6400365,0.055614904,166.5388,16452,0,4,"[29, 69, 96, 107]"
2M00001638+7924440,0.068263,79.412231,4797.63,4.603771,-0.31275,-0.30515,0.0659643,-0.052029014,0.036008984,-0.03238401,0.053742886,0.098901495,0.04593,0.009655982,0.11447601,,0.006024003,,0.005730003,-0.040287495,-0.1385164,0.041803475,534.4446,16448,2048,12,"[18, 19, 24, 26, 52, 58, 59, 73, 78, 79, 85, 86]"
2M00002038-1912052,0.084935,-19.201466,6180.6274,4.3044376,0.034906,0.044172,-0.0393247,-0.084570006,-0.051171,0.236544,0.1714069,-0.0867175,0.0657703,-0.036983,-0.0020579994,,-0.417417,,-0.061601,-0.018519487,-0.22293842,0.1529532,231.87822,0,0,4,"[29, 69, 96, 107]"
2M00002142-1929009,0.089254,-19.483599,5266.8555,4.550661,-0.047783,-0.041476,-0.0105397,-0.114157006,-0.08056401,-0.114507005,0.0711829,0.0013525039,0.004593998,0.010934003,-0.026472997,,-0.029924002,,-0.016957,0.0030785091,-0.31119037,0.08777796,252.75475,64,0,3,"[69, 96, 107]"
2M00004521-7219055,0.188401,-72.318222,6461.053,4.1735477,-0.097158,-0.10701,-0.0363247,-0.031245999,-0.0067650005,0.338282,0.0735059,-0.0463795,0.034161992,-0.18958199,-0.08659399,,,,-0.047679998,0.0115125105,-0.13356641,0.3692199,1744.4456,0,8388608,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00005290-7251329,0.220455,-72.859154,4862.0547,4.4389887,-0.079225,-0.090094,0.0388383,-0.128141,0.082880996,0.184499,0.1582619,0.020154499,0.057152994,0.046844997,0.083857,,-0.075913,,0.072141,0.042046517,0.2992976,0.10759455,283.63104,4,0,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00010605+7522533,0.275237,75.381493,4920.687,4.5483584,0.12232,0.12387,0.010965601,0.044074997,-0.03313701,0.091808006,-0.0005537048,0.049584493,0.03478299,-0.026209004,0.09925601,,-0.010109007,,0.06126,0.07677251,0.1850536,0.03285063,160.69853,16388,0,11,"[18, 19, 24, 25, 52, 58, 59, 78, 79, 85, 86]"
2M00010816-7351594,0.28402,-73.866516,5723.702,4.4753857,-0.34005,-0.35385,0.1404053,0.12053999,0.14205,0.15902999,0.18516289,0.27167848,0.16420199,0.10998601,0.276771,,-0.139391,,0.09634,-0.018037468,-0.15465635,0.12386653,205.09027,133,0,8,"[1, 13, 27, 28, 67, 68, 94, 95]"
2M00012723+8520108,0.363479,85.336342,5844.679,4.0418143,0.16363,0.16225,-0.0078247,-0.024113998,0.0077971965,0.25395,0.0632789,-0.014302507,0.08923899,-0.045528002,0.16899599,,-0.360001,,0.05780001,0.095352516,0.01174061,0.06889034,792.12384,0,0,13,"[18, 20, 25, 26, 40, 52, 53, 58, 59, 60, 73, 79, 86]"
2M00013948+7336427,0.414528,73.611862,6678.9883,3.825087,-0.38217,-0.32754,-0.2988647,,,1.3873701,-0.22100708,-0.60288143,-0.11181697,-0.592134,-0.40603396,,-0.33974102,,0.10962002,0.13945252,,0.0,509.7579,2097792,131072,11,"[18, 19, 24, 25, 52, 58, 59, 78, 79, 85, 86]"
2M00014989+8003031,0.457902,80.05088,5159.4976,4.5603004,-0.65679,-0.65031,0.1677453,0.13682997,0.29487997,-0.41491002,0.14959288,0.21778846,0.18988296,0.08966595,0.22476596,,-0.06911105,,0.06368995,-0.19800752,-1.0534265,0.07575988,289.3108,16452,2048,13,"[18, 19, 24, 26, 52, 53, 58, 59, 73, 78, 79, 85, 86]"
2M00015324+5634361,0.471863,56.576721,6121.8633,3.9792848,-0.30716,-0.31244,0.051911302,-0.113409966,-0.11655998,-0.12313998,0.14505291,0.006652504,0.14797102,0.011629015,0.17273602,,0.17024902,,0.06357002,-0.12272745,-0.16916636,0.055950318,341.89767,640,0,8,"[17, 24, 57, 58, 77, 78, 84, 85]"
2M00023402-7301357,0.641789,-73.026604,5141.908,4.565466,-0.10686,-0.09573,0.0308883,-0.07193399,-0.13457,0.014311001,0.0652319,0.062808506,0.075576,-0.018582992,0.067859,,-0.231421,,0.040264,0.016052507,0.099285595,0.0864456,165.78558,16388,4,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00024683-7230522,0.695149,-72.514526,4783.309,4.5118017,-0.29422,-0.28873,0.0690573,-0.14502001,-0.019097,0.08532399,0.15448289,0.0275985,0.126923,0.052556008,0.071116,,-0.20535102,,0.01493001,-0.03907749,0.3001966,0.086379126,165.48201,4,0,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00031661-7303219,0.819223,-73.056107,5766.814,3.804746,-0.34946,-0.34388,0.0628613,0.07202199,0.06520298,-0.014327198,0.37175292,0.06185144,0.185263,-0.04750201,0.162856,,-0.031260014,,0.0029500127,-0.03444746,0.35131758,0.09193421,249.53535,0,4,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00033139-7247017,0.880793,-72.783813,5836.223,4.2868357,0.063566,0.064306,-0.0107697,-0.076894,-0.084099,0.00032509863,0.17459291,-0.011534497,0.09733,-0.013414998,0.14451,,-0.246191,,0.037056006,0.023989514,0.1094606,0.14084029,298.34552,16384,0,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00033237+1334047,0.884907,13.567987,5589.3096,4.123846,-0.1453,-0.1445,0.1761653,0.068448,0.092673,0.106970005,0.2389929,0.2407185,0.201573,0.123606004,0.471516,,0.147809,,0.052015007,-0.12100749,-1.3685365,0.04539481,157.38972,16388,0,3,"[42, 43, 83]"
2M00041859+7104111,1.077463,71.069771,4893.206,4.5396104,0.084206,0.077497,-0.017831702,-0.032975,-0.098991,0.173509,-0.035576098,-0.013633497,-0.023938,-0.0041959956,0.016719006,,-0.0078409985,,0.04672301,0.07338541,0.1827066,10.176765,206.67595,4,0,10,"[17, 18, 24, 25, 52, 58, 78, 79, 85, 86]"
2M00042569+8552106,1.107076,85.869621,5656.129,4.4725294,0.056282,0.062506,-0.019647699,-0.098919,-0.082223,-0.016838998,0.1414189,0.001976505,0.026591994,0.015395001,0.06768001,,-0.23598501,,0.026338004,-0.024623483,0.040184602,0.12199935,280.8163,16384,16,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00050112-7253575,1.254682,-72.899307,6473.8164,4.142455,-0.20511,-0.19869,0.0366253,0.015285999,0.041944996,0.12367,0.1937329,0.026383504,0.11002,0.04986599,0.030875996,,,,-0.080249995,-0.018237501,-0.05932641,0.10205936,1016.8076,0,0,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00050214+5600428,1.258958,56.011902,6041.5947,4.3634615,0.011609,0.014147,-0.024690699,-0.032338,-0.015363,-0.059763,0.2328849,-0.039919503,0.086703,-0.022094999,0.040666997,,-0.43800902,,0.006057998,0.037615515,-0.24385339,0.038534336,226.44377,64,0,8,"[17, 24, 57, 58, 77, 78, 84, 85]"
2M00051689+1330404,1.320404,13.51124,5691.227,3.9735475,0.067352,0.074628,0.0154833,-0.07857901,-0.03177301,0.07853899,0.1455369,0.033024497,0.07913799,0.0024169981,0.22303799,,-0.23943701,,0.037212,0.012356512,-1.2189645,0.028075542,175.2595,0,16777216,3,"[42, 43, 83]"
2M00051949-7236222,1.331235,-72.606186,5480.652,4.0505376,0.34576,0.34757,-0.014415701,-0.03377801,-0.028492004,0.18733001,0.017437875,0.048879504,0.110035986,-0.05607301,0.24905604,,-0.09436801,,0.0023800135,0.0702225,0.1705836,0.08932493,341.759,16388,0,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00052437+7515518,1.351573,75.264404,4671.766,4.560029,-0.12028,-0.11267,-0.00286,-0.16104999,-0.12961,0.089048,0.002005197,-0.05725149,-0.001771003,-0.0069060028,-0.053224005,,-0.124499,,-0.018489994,-0.058557488,-0.028646402,0.28695807,186.30836,4,0,11,"[18, 19, 24, 25, 52, 58, 59, 78, 79, 85, 86]"
2M00053265+8546227,1.386057,85.772987,4875.6753,4.543417,0.21955,0.20964,-0.0108897,0.07456499,0.0104845315,0.13457,-0.0257871,0.04861951,0.037504002,-0.044202,0.13410598,,0.039638013,,0.101610005,0.09524253,0.37909362,0.07251783,282.9373,16388,16,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00053858+8527582,1.41076,85.466187,5272.1567,4.5197024,0.051321,0.046736,0.0082281,-0.030439999,-0.018321998,0.040239003,0.0294029,0.04811651,0.039551,0.003318999,0.06972,,0.013858002,,0.037871007,0.026925515,0.12367359,0.16899064,365.60837,16388,50331664,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00053858+8527582,1.41076,85.466187,5280.986,4.526727,0.061778,0.060548,0.0091573,0.0041545033,-0.005186498,0.030685,-0.004700098,0.061202504,0.037992,0.0074850023,0.100688,,0.030973002,,0.039541006,0.04906451,0.124215595,0.11888265,337.77182,16388,0,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00054222-7234415,1.425926,-72.578209,5172.5527,3.8459406,-0.15114,-0.15215,0.054768004,-0.010643005,-0.074223,0.068217,0.115105,0.086872004,0.013020605,0.027902,0.077389,-0.12156999,-0.04169683,-0.039794832,0.0635725,-0.018628001,0.045862004,0.051050942,514.08044,16384,0,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00054486+8453193,1.436923,84.888718,6018.525,4.0580835,0.099401,0.099928,-0.0504607,-0.20616701,-0.138257,0.42198303,0.028915904,-0.108918495,0.020398997,-0.016038,0.11235801,,,,0.06936201,0.11618852,-0.5373844,14.211616,178.28532,4,2052,14,"[18, 20, 25, 26, 40, 52, 53, 58, 59, 60, 73, 78, 79, 86]"
2M00055551+7147173,1.481319,71.788162,4531.109,4.598323,-0.56854,-0.56149,0.1490453,0.011207998,0.11610001,,0.14935291,0.08596653,0.068211615,0.11070603,,,-0.026470006,,0.05274999,-0.15258747,,0.051249,170.40292,708,0,9,"[17, 18, 24, 25, 52, 58, 79, 85, 86]"
2M00055826+1401419,1.492785,14.028311,5956.304,4.2243304,-0.17309,-0.16864,0.0148813,-0.030176997,-0.010761097,-0.29494995,0.124032915,0.0076565146,0.074927,-0.06919278,0.166881,,-0.17391099,,0.06666,-0.048337474,0.0689936,0.063448474,246.54346,4,16777216,3,"[42, 43, 83]"
2M00060328-7711352,1.513674,-77.193138,6477.37,4.2898016,-0.045613,-0.048711,0.0092034,-0.031647,-0.0005824007,-0.494982,0.1564709,-0.041313495,0.131653,-0.022646997,0.054254796,,-0.34820297,,-0.06255899,-0.059446488,-0.13950539,0.1397756,675.94604,0,16777216,8,"[1, 13, 27, 28, 67, 68, 94, 95]"
2M00062190-5148392,1.591283,-51.81089,6361.1357,4.028188,0.049723,0.054476,-0.029021699,-0.0029872023,-0.021112002,0.658067,0.1245599,-0.0702445,0.051184997,-0.102961,0.09863,,-0.46150398,,-0.007658001,-0.07360349,0.0390366,0.0,184.06348,0,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00063481+5544223,1.645068,55.739532,5615.792,3.818973,-0.02822,-0.022522,-0.0322737,-0.052916996,-0.025398,0.11184201,-0.008534199,-0.040059492,0.0744938,-0.07045809,0.118834004,,-0.209179,,-0.014773002,0.05965452,-0.24105439,0.08835421,153.07225,16513,0,8,"[17, 24, 57, 58, 77, 78, 84, 85]"
2M00063674+2901175,1.65327000618,29.0215015411,5366.4087,4.520937,0.070937,0.066612,-0.0564747,-0.139255,-0.112715,0.038074,-0.0744181,-0.08250649,0.007022001,-0.0042859986,0.027202003,,-0.058776997,,0.016944006,0.031011514,0.17923161,0.100135624,152.81409,0,0,3,"[17, 57, 84]"
2M00063754-7251578,1.656428,-72.866081,4775.534,4.0862565,-0.54124,-0.53284,0.0345143,-0.30966997,0.29075003,-0.18698996,0.010850906,-0.060081482,0.03168404,0.08495605,0.091856,,-0.48797095,,0.014549971,-0.078647494,-0.7296964,0.25564992,305.6201,740,16777216,8,"[1, 27, 28, 67, 68, 94, 95, 103]"
2M00063829-2034055,1.659544,-20.568205,6165.586,4.234838,-0.41791,-0.42068,0.0383053,0.032729983,0.043074965,0.74458003,0.051405877,0.066996396,0.12568197,0.12239596,0.18760599,,0.08397898,,0.0062099993,-0.08051747,0.4227756,6.226096,257.36368,0,0,4,"[2, 29, 96, 107]"
2M00064418+7541165,1.68412,75.687943,6585.7827,3.8059723,-0.19914,-0.17471,0.1116153,0.21722001,0.24927,1.08977,0.3533029,0.115277514,0.123686,,-0.05972399,,0.11655901,,-0.086299986,0.081712514,0.91218364,3.4850566,321.5358,17088,133124,11,"[18, 19, 24, 25, 52, 58, 59, 78, 79, 85, 86]"
2M00064728-2019344,1.697009,-20.326246,5946.1616,4.3043704,0.0071373,0.00735,-0.0031178002,-0.0663367,-0.037296697,0.1588973,0.0265562,0.0104848035,0.0868333,-0.0340867,0.138666,,-0.40047368,,0.008277001,0.031212514,-0.0475764,0.073514216,298.60306,16384,0,3,"[2, 29, 107]"
2M00070214-2030207,1.758933,-20.505774,5867.7017,4.416253,-0.25042,-0.25102,-0.0012022001,-0.065496,-0.053864002,-0.007957786,0.092387915,0.010921508,0.0638105,0.0069220066,0.117936015,,-0.413831,,0.031810015,0.06608254,-0.1700064,0.035734203,382.24954,4,0,4,"[2, 29, 96, 107]"
2M00070887-2042208,1.786974,-20.70579,5674.8813,3.9958572,0.069284,0.078089,-0.0035607,-0.097426996,-0.05771,-0.129455,-0.0341641,0.0470715,0.037574,-0.050728,0.17362699,,-0.255546,,0.0038640052,-0.044076487,0.0039001033,0.0050049378,207.78531,16577,0,5,"[2, 29, 69, 96, 107]"
2M00072503+6909502,1.854325,69.163971,4734.3213,4.5788293,0.17171,0.16825,-0.0132437,-0.016128987,-0.12411,0.002609536,-0.0550531,0.015900508,-0.0025770068,0.001049012,0.019586012,,0.04498601,,0.055070013,0.023732513,0.1823236,0.027320255,169.2995,16388,0,6,"[17, 18, 25, 52, 58, 85]"
2M00072939+8519090,1.872482,85.319176,5834.75,4.2053638,0.34091,0.34038,-0.048034698,-0.06396702,-0.08278903,0.5321199,-0.034442127,-0.06174153,0.02938798,-0.09303802,0.15905598,,0.19427896,,0.09432,0.1669625,0.31762362,0.13342258,207.44066,4,50331652,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00072974-5217322,1.873935,-52.292305,5072.4062,4.5154133,-0.067434,-0.068091,0.0400163,0.011868998,0.05779,-0.007818699,0.0259769,0.0832775,0.061167996,0.011570998,0.15248099,,-0.076476,,0.05413,0.021693505,0.1492545,0.0,151.08711,16388,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00073329-5111027,1.888749,-51.184101,6290.666,4.1494327,0.08204,0.07992,-0.0143327,-0.029508006,0.011692494,-0.43888998,0.07256489,-0.0680115,0.126138,-0.049689002,0.083776005,,-0.480601,,-0.0828369,0.05529251,-1.2040565,0.0,173.97838,0,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00073353-7729283,1.889709,-77.491211,5443.639,4.3898864,0.21041,0.20385,0.0078062,0.039757997,0.039286003,0.15434,0.0768089,0.05613351,0.10406801,-0.059450597,0.16746598,,-0.057106003,,0.047069997,0.07006252,0.18998358,0.14511192,358.92813,16388,16777216,8,"[1, 13, 27, 28, 67, 68, 94, 95]"
2M00073970-7710053,1.915455,-77.168152,6018.4185,4.1874933,0.14551,0.1451,-0.0223267,-0.14025,-0.099250995,0.25338,-0.045527093,-0.060321495,0.08671701,0.034265995,0.12104598,,-0.137341,,0.022420004,0.07298452,0.026923597,0.090698265,199.00844,0,16777220,8,"[1, 13, 27, 28, 67, 68, 94, 95]"
2M00074463-7721319,1.935999,-77.358879,5142.845,4.249154,-0.48776,-0.49747,0.2119053,0.10342297,0.35470998,-0.25789002,0.4890729,0.2692085,0.20786297,0.17535597,0.376236,,-0.044810623,,0.033580005,-0.106547505,0.4859196,0.1314843,162.73846,68,16777216,8,"[1, 13, 27, 28, 67, 68, 94, 95]"
2M00075234-2049568,1.968118,-20.832466,4970.655,4.504346,0.21824,0.21704,0.0026954398,0.027456999,-0.026271015,0.108799994,0.011144385,0.039183497,0.06284699,-0.030438006,0.13077599,,0.0030589998,,0.03786999,0.042582512,0.1711936,0.55250496,175.69731,16388,0,5,"[2, 29, 69, 96, 107]"
2M00075815+8454309,1.992322,84.9086,5005.7964,4.5174437,-0.16938,-0.169,0.0140763,-0.12586,0.12087001,-0.12687,0.2282429,-0.03263049,0.033517003,0.03088601,0.03269601,,-0.110136,,-0.037739992,-0.03613749,0.022183597,0.15475437,156.53752,68,2052,14,"[18, 20, 25, 26, 40, 52, 53, 58, 59, 60, 73, 78, 79, 86]"
2M00080204-5126279,2.008524,-51.441105,5326.6924,4.4117627,0.098478,0.097358,0.052469302,0.090307996,0.18194,0.012582995,0.06893289,0.1195925,0.100006,-0.046678007,0.210658,,-0.030629009,,0.018321998,-0.01546149,0.19125561,0.0,172.1488,16388,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00081281-2034538,2.053416,-20.581612,4732.341,4.5526443,0.15811,0.15752,0.0036438098,0.00020325184,-0.078072004,0.044185996,-0.0028602034,0.050762504,0.021671996,-0.018737003,0.088906005,,-0.020422995,,-0.014679998,0.014521509,0.07093361,0.06454127,522.51776,16388,0,4,"[2, 29, 69, 107]"
2M00081858-2057485,2.077421,-20.963495,6272.435,3.957271,-0.32782,-0.33386,0.0642233,0.089925006,0.097385004,-0.42817,0.1891329,0.034790516,0.18966301,0.048646003,0.12697601,,,,-0.036599994,-0.07354748,-0.13852635,0.04197643,442.83188,0,0,4,"[2, 29, 69, 107]"
2M00082208-2101390,2.09203,-21.02751,4962.762,4.5182447,-0.14778,-0.14124,0.0753463,-0.072932005,0.081545,-0.1297,0.1848129,0.113620505,0.07876,0.017492004,0.135946,,-0.066893995,,0.001000002,-0.08467749,0.013913602,0.06001685,364.42853,16448,0,5,"[2, 29, 69, 96, 107]"
